年,男女別,総数,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100歳以上
大正9年,総数,422938,12913,9884,9126,8611,8628,9062,9108,8898,8432,7921,7909,7568,7924,8138,7726,8569,8814,9245,9377,9826,9439,8428,8916,8936,8751,8767,8827,8027,8111,7280,7552,7635,7445,7015,6563,6283,6348,5991,5827,5647,5481,5397,5323,4922,5057,4478,4160,3897,3579,3182,2763,2910,3449,2789,2738,2935,2674,2099,2054,1856,1911,1733,1861,1902,1724,1610,1448,1148,1204,911,861,978,807,569,507,580,428,364,253,218,159,139,99,69,54,44,37,33,31,19,14,2,2,2,0,0,1,3,1,0,2
大正9年,男,224046,6517,4913,4633,4302,4338,4564,4574,4554,4348,4049,3980,3863,4080,4178,4308,4769,5015,5171,5199,5468,4965,4256,4599,4724,4852,5006,4883,4430,4621,4075,4274,4188,4074,3932,3553,3475,3400,3259,3154,3025,3000,2923,2965,2658,2775,2430,2283,2205,1937,1731,1505,1559,1797,1474,1457,1551,1458,1093,1038,924,955,845,943,926,816,743,653,502,512,375,359,387,315,229,220,222,175,134,108,79,46,43,33,26,18,12,10,10,8,5,4,0,1,0,0,0,0,1,0,0,0
大正9年,女,198892,6396,4971,4493,4309,4290,4498,4534,4344,4084,3872,3929,3705,3844,3960,3418,3800,3799,4074,4178,4358,4474,4172,4317,4212,3899,3761,3944,3597,3490,3205,3278,3447,3371,3083,3010,2808,2948,2732,2673,2622,2481,2474,2358,2264,2282,2048,1877,1692,1642,1451,1258,1351,1652,1315,1281,1384,1216,1006,1016,932,956,888,918,976,908,867,795,646,692,536,502,591,492,340,287,358,253,230,145,139,113,96,66,43,36,32,27,23,23,14,10,2,1,2,0,0,1,2,1,0,2
大正14年,総数,405888,13818,10286,10500,10255,9666,9574,8004,7590,7348,7198,7609,8077,7845,7939,7852,8194,8187,8249,8198,7391,7953,7453,8066,8543,8807,8470,7832,8177,7678,7428,7058,6969,6493,6455,5859,6097,6334,6137,5755,5254,5053,5113,4798,4706,4636,4410,4285,4246,3933,3964,3597,3177,2951,2654,2385,2042,2182,2511,1990,1963,2046,1782,1416,1329,1174,1163,1047,1061,1094,995,877,787,598,579,460,417,394,332,223,198,183,166,82,84,53,31,41,18,13,10,5,10,7,6,8,5,0,0,0,0,0
大正14年,男,214341,6974,5130,5269,5125,4869,4856,3962,3811,3688,3605,3861,4136,4101,4146,4253,4369,4443,4494,4560,4291,4329,3827,4164,4546,4739,4487,4190,4514,4184,4119,3928,3826,3534,3613,3307,3435,3497,3420,3249,2867,2782,2795,2616,2561,2520,2415,2317,2351,2137,2130,1916,1727,1622,1418,1271,1092,1176,1271,1031,990,1044,922,728,640,568,565,471,502,497,429,378,312,244,229,166,165,135,115,71,72,62,68,25,31,12,7,6,5,2,6,1,5,1,0,1,0,0,0,0,0,0
大正14年,女,191547,6844,5156,5231,5130,4797,4718,4042,3779,3660,3593,3748,3941,3744,3793,3599,3825,3744,3755,3638,3100,3624,3626,3902,3997,4068,3983,3642,3663,3494,3309,3130,3143,2959,2842,2552,2662,2837,2717,2506,2387,2271,2318,2182,2145,2116,1995,1968,1895,1796,1834,1681,1450,1329,1236,1114,950,1006,1240,959,973,1002,860,688,689,606,598,576,559,597,566,499,475,354,350,294,252,259,217,152,126,121,98,57,53,41,24,35,13,11,4,4,5,6,6,7,5,0,0,0,0,0
昭和5年,総数,620306,18648,17578,16283,17076,16156,15130,13540,13760,13363,12823,12657,10821,10751,10800,11631,12755,13438,13009,13225,12792,12409,11783,11803,12254,10879,11886,11789,12040,11627,11806,10951,10561,10574,10020,9499,9223,8945,8233,8147,7068,7568,7737,7327,6933,6150,5980,5790,5627,5565,5283,5068,4928,4802,4428,4371,4004,3616,3317,3026,2621,2264,2392,2776,2184,2058,2058,1896,1444,1328,1135,1111,1006,1048,983,824,805,638,443,445,332,257,234,208,131,111,107,66,38,34,18,12,11,8,2,5,4,2,3,7,4,0
昭和5年,男,321415,9282,8833,8304,8633,8160,7613,6788,6873,6712,6464,6366,5505,5506,5552,6036,6707,7023,6878,6918,6716,6325,5507,5708,6259,5904,6228,6331,6486,6109,6274,5733,5625,5769,5417,5195,5177,4886,4539,4565,3962,4321,4267,4094,3901,3331,3247,3104,3003,2970,2829,2666,2617,2547,2307,2259,2076,1846,1710,1513,1301,1116,1164,1287,1058,964,989,903,672,581,513,472,419,460,417,316,284,235,163,156,114,73,66,57,35,37,29,24,12,11,4,1,0,0,0,1,2,0,1,1,1,0
昭和5年,女,298891,9366,8745,7979,8443,7996,7517,6752,6887,6651,6359,6291,5316,5245,5248,5595,6048,6415,6131,6307,6076,6084,6276,6095,5995,4975,5658,5458,5554,5518,5532,5218,4936,4805,4603,4304,4046,4059,3694,3582,3106,3247,3470,3233,3032,2819,2733,2686,2624,2595,2454,2402,2311,2255,2121,2112,1928,1770,1607,1513,1320,1148,1228,1489,1126,1094,1069,993,772,747,622,639,587,588,566,508,521,403,280,289,218,184,168,151,96,74,78,42,26,23,14,11,11,8,2,4,2,2,2,6,3,0
昭和10年,総数,704290,20071,17082,18157,17536,17499,16320,16416,15472,16187,15400,14942,13438,14020,14057,14780,15925,13783,14083,14316,14753,14682,14177,13922,14148,13937,13677,13452,12752,12482,10978,11506,11307,11458,11211,11206,10409,9657,9672,9247,8835,8503,8295,7433,7545,6662,6975,7009,6724,6291,5660,5440,5324,5114,5109,4734,4593,4396,4211,3871,3907,3464,3034,2856,2579,2160,1853,1924,2184,1667,1534,1531,1369,1042,910,750,756,619,624,533,485,418,339,230,176,138,101,82,68,33,25,24,16,5,4,3,3,0,0,3,0,0
