町名,フリガナ,性別,総数,0歳,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,10歳,11歳,12歳,13歳,14歳,15歳,16歳,17歳,18歳,19歳,20歳,21歳,22歳,23歳,24歳,25歳,26歳,27歳,28歳,29歳,30歳,31歳,32歳,33歳,34歳,35歳,36歳,37歳,38歳,39歳,40歳,41歳,42歳,43歳,44歳,45歳,46歳,47歳,48歳,49歳,50歳,51歳,52歳,53歳,54歳,55歳,56歳,57歳,58歳,59歳,60歳,61歳,62歳,63歳,64歳,65歳,66歳,67歳,68歳,69歳,70歳,71歳,72歳,73歳,74歳,75歳,76歳,77歳,78歳,79歳,80歳,81歳,82歳,83歳,84歳,85歳,86歳,87歳,88歳,89歳,90歳,91歳,92歳,93歳,94歳,95歳,96歳,97歳,98歳,99歳,100歳以上
青葉区合計,アオバク_ゴウケイ,男,148536,1467,1401,1469,1453,1559,1590,1632,1751,1718,1658,1795,1764,1759,1666,1684,1556,1519,1543,1582,1638,1861,1816,1832,1837,1899,1904,1840,1857,1909,2031,2103,2133,2313,2353,2596,2680,2703,2679,2773,2920,2934,3070,2480,3001,2788,2611,2466,2379,2169,2135,1961,1831,1824,1714,1590,1685,1740,1886,1884,2186,2186,2217,1319,1439,1654,1594,1629,1417,1334,1157,1147,1060,1165,1047,859,847,768,708,629,528,507,455,425,359,275,243,198,157,146,116,64,69,72,63,42,21,15,12,6,4,6
青葉区合計,アオバク_ゴウケイ,女,150838,1347,1401,1396,1450,1478,1522,1578,1588,1689,1668,1738,1638,1630,1658,1585,1409,1426,1436,1422,1489,1637,1632,1644,1745,1774,1778,1802,1844,1989,2043,2079,2339,2365,2447,2726,2911,2828,2937,3076,3017,3029,3035,2383,2824,2598,2416,2400,2054,2078,2025,1893,1798,1746,1741,1694,1751,1815,1832,2112,2368,2254,2158,1428,1533,1727,1623,1677,1526,1330,1144,1205,1176,1137,1033,954,927,869,819,787,724,735,637,631,599,451,393,414,374,358,278,228,204,174,146,104,87,80,55,38,29,39
あかね台一丁目,アカネダイ1,男,1414,14,14,15,17,18,24,15,18,18,19,17,23,17,16,23,22,19,18,21,17,21,18,10,17,16,13,16,22,21,18,16,19,17,17,13,19,21,27,25,19,29,24,27,25,26,16,26,28,20,15,14,28,13,20,15,21,22,25,27,24,24,29,16,14,11,15,10,13,7,8,7,13,8,10,7,8,7,5,3,3,3,4,1,1,3,1,1,2,2,2,0,1,0,0,0,0,0,0,0,0,0
あかね台一丁目,アカネダイ1,女,1394,16,5,15,11,14,12,16,19,16,14,18,19,11,20,13,17,14,25,14,16,17,19,21,23,10,15,27,18,17,21,15,21,8,20,27,18,17,17,40,31,21,23,16,35,29,22,26,21,24,22,18,24,13,24,20,16,18,25,29,27,23,18,4,11,14,17,10,12,12,5,11,13,13,6,2,5,4,6,2,4,11,4,7,4,3,5,2,0,0,0,0,3,2,0,0,1,0,0,0,0,0
あかね台二丁目,アカネダイ2,男,1162,12,13,5,19,18,20,20,29,18,23,18,24,10,17,13,19,18,18,17,13,18,16,12,14,11,8,10,10,13,4,11,6,17,18,21,22,15,24,22,21,23,37,21,24,25,19,33,17,23,18,15,18,16,13,15,12,15,19,7,16,20,13,10,9,8,4,3,4,12,9,6,7,8,3,3,6,1,2,3,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
あかね台二丁目,アカネダイ2,女,1169,9,17,7,13,16,11,21,26,17,16,26,20,17,20,15,11,8,11,20,11,23,13,20,15,13,8,11,10,13,9,9,16,8,13,26,26,23,18,29,30,27,24,23,25,25,28,28,17,13,18,17,16,14,12,12,16,14,10,18,21,13,12,9,10,6,5,7,8,10,4,5,5,5,2,7,5,6,4,3,1,2,3,5,2,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
青葉台一丁目,アオバダイ1,男,2056,17,15,11,11,15,14,13,13,15,7,10,12,14,15,17,21,12,17,22,19,20,17,22,23,25,27,32,32,29,30,32,46,33,30,45,36,25,36,22,35,30,29,33,24,35,28,27,18,26,27,22,32,28,29,22,16,39,36,37,39,38,36,27,25,34,34,31,27,18,20,28,22,34,25,28,20,23,22,12,12,11,17,4,10,6,4,4,6,2,2,3,1,1,1,3,0,0,0,0,0,1
青葉台一丁目,アオバダイ1,女,2288,13,20,9,16,17,9,18,12,12,16,9,13,11,10,12,14,7,14,15,16,16,18,17,20,27,27,32,34,36,30,38,32,32,41,40,37,30,25,38,46,47,34,24,29,29,34,26,25,24,20,30,25,28,33,35,24,31,33,38,50,49,30,27,32,36,40,34,44,37,23,34,35,40,29,24,34,15,25,20,21,26,16,19,19,17,7,10,8,6,4,9,4,2,4,3,2,3,0,0,1,1
青葉台二丁目,アオバダイ2,男,1820,23,21,17,22,11,21,18,24,21,22,21,27,16,22,17,13,12,16,26,16,24,20,25,21,27,34,44,29,26,28,38,26,34,38,35,45,37,44,39,37,55,40,29,33,38,26,25,34,29,25,25,15,15,19,22,16,15,17,22,27,23,28,18,10,13,14,12,8,14,10,11,6,5,5,6,14,10,6,7,3,6,5,5,3,1,2,3,1,3,1,0,0,0,1,1,0,1,0,0,0,0
青葉台二丁目,アオバダイ2,女,1908,24,23,17,18,19,20,19,19,21,20,21,16,22,19,21,8,12,18,22,37,53,22,25,17,25,22,31,22,21,36,35,36,28,39,33,45,45,37,39,43,31,51,37,34,44,28,29,25,19,25,23,23,18,21,15,20,19,19,24,24,31,28,14,3,13,12,14,15,11,11,17,12,8,10,7,9,10,13,14,5,9,10,6,9,0,9,6,5,5,3,1,1,1,3,0,0,0,1,2,1,0
あざみ野一丁目,アザミノ1,男,1868,16,16,26,11,23,19,20,18,17,21,24,22,26,25,14,25,18,15,19,17,9,16,14,25,23,29,29,20,30,32,29,25,17,29,42,32,36,41,30,40,44,50,47,46,56,46,36,20,41,32,26,30,18,20,26,28,13,30,25,21,30,18,12,18,16,20,15,12,7,10,11,10,13,15,6,5,9,6,9,5,5,4,1,2,4,4,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0
あざみ野一丁目,アザミノ1,女,2023,22,22,24,24,19,14,26,20,19,21,23,21,26,24,24,8,14,16,12,26,9,23,29,35,24,25,30,35,35,33,31,41,26,33,50,45,39,44,32,46,33,57,35,50,50,33,43,37,24,44,28,20,21,25,22,18,22,24,23,26,19,21,15,15,14,14,12,20,17,4,17,10,16,7,15,9,8,12,15,5,9,4,6,8,3,4,4,2,5,3,0,3,1,1,0,0,0,0,0,0,0
あざみ野二丁目,アザミノ2,男,1587,20,9,13,19,9,18,4,9,11,8,19,9,10,11,13,18,15,14,24,11,16,20,26,26,27,21,31,29,28,34,28,21,42,23,37,31,37,27,35,29,31,25,23,33,27,21,24,21,23,21,20,15,14,16,20,15,20,18,23,30,23,16,18,13,21,12,17,15,15,6,15,6,9,16,9,14,9,11,7,5,9,11,9,8,5,0,5,1,1,2,0,4,0,0,1,1,0,1,0,0,0
あざみ野二丁目,アザミノ2,女,1589,6,11,18,13,8,8,14,15,7,18,11,18,9,14,10,15,13,15,15,7,15,16,16,21,27,28,32,28,23,21,39,32,32,38,46,34,26,22,28,29,24,23,18,25,20,24,31,17,22,18,26,18,16,26,18,15,22,23,18,30,23,15,19,14,23,19,5,13,21,11,11,16,8,8,13,13,14,17,14,10,7,9,8,3,5,3,4,8,6,4,5,2,2,0,2,0,0,0,0,1,1
あざみ野三丁目,アザミノ3,男,2572,15,13,18,21,15,23,25,22,27,19,27,32,36,36,29,32,19,35,29,31,35,33,29,26,23,33,20,38,22,26,36,29,37,28,47,36,45,31,36,42,41,46,28,48,35,33,29,29,33,35,41,29,41,28,28,31,35,49,31,52,58,62,35,37,43,41,38,50,23,29,23,26,25,34,17,22,17,20,18,13,10,10,12,8,4,4,3,6,3,1,1,0,0,1,0,0,0,0,0,0,0
あざみ野三丁目,アザミノ3,女,2692,13,15,25,21,15,17,18,23,24,26,25,29,29,18,43,28,23,22,20,28,23,30,27,31,33,23,31,33,32,37,30,33,40,29,38,40,40,43,49,52,43,41,31,46,38,40,36,36,32,33,39,30,35,41,27,34,43,44,59,68,57,62,42,47,42,45,43,41,22,29,29,31,27,20,15,20,25,17,12,11,9,10,10,9,9,6,11,9,4,7,2,6,3,1,1,1,1,2,2,0,0
あざみ野四丁目,アザミノ4,男,2288,24,25,17,23,23,23,37,29,29,27,38,33,31,30,33,30,32,29,20,25,22,18,25,25,34,20,21,17,25,27,30,35,30,36,41,44,41,33,44,46,50,41,39,51,43,42,40,37,40,31,31,25,22,14,30,29,23,22,26,26,23,45,24,20,31,32,25,29,23,23,18,21,14,17,14,13,7,8,8,9,8,10,4,9,4,5,1,1,2,1,0,1,1,2,0,0,0,0,0,1,0
あざみ野四丁目,アザミノ4,女,2295,24,18,17,25,31,25,28,23,33,24,30,40,24,31,23,19,17,18,22,22,23,19,22,23,26,20,19,30,32,27,33,36,37,41,41,48,36,50,45,51,51,47,38,56,39,29,42,36,33,30,17,21,26,29,26,18,31,28,29,34,33,44,32,27,28,30,29,23,17,13,20,14,17,15,18,12,7,14,11,8,10,7,4,6,3,6,3,3,6,3,4,4,3,2,2,1,1,0,1,1,0
あざみ野南一丁目,アザミノミナミ1,男,692,11,13,15,12,13,7,9,10,9,7,8,5,13,8,8,11,6,4,8,3,3,9,4,11,3,11,6,5,10,5,10,12,13,20,26,22,19,16,19,21,16,25,18,13,12,16,17,14,6,18,8,6,8,7,7,7,6,7,7,4,4,5,3,4,1,3,5,2,2,0,2,2,0,1,0,0,0,3,0,2,1,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
あざみ野南一丁目,アザミノミナミ1,女,713,8,10,12,10,10,14,8,9,9,11,11,12,14,7,5,6,7,7,5,9,9,9,6,5,4,5,6,15,11,13,13,23,20,19,19,23,13,20,21,13,18,13,16,19,14,14,10,8,10,12,8,11,8,4,9,4,8,5,2,8,4,1,7,3,3,3,5,5,0,2,5,2,2,1,4,2,2,2,0,0,0,1,1,0,2,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0
あざみ野南二丁目,アザミノミナミ2,男,755,10,10,18,9,13,8,10,7,5,13,7,5,6,11,6,6,10,8,10,6,14,16,11,8,6,4,6,5,10,12,11,10,13,13,20,25,22,12,21,17,15,17,12,10,24,14,18,8,13,8,12,10,12,10,8,8,11,8,12,6,8,5,4,5,4,2,8,6,3,2,5,1,4,3,2,2,3,1,3,2,2,1,1,1,1,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
あざみ野南二丁目,アザミノミナミ2,女,828,12,17,9,8,13,17,8,9,13,8,11,9,10,8,11,8,10,7,8,9,10,11,9,7,6,7,10,8,14,13,15,13,17,17,27,16,20,24,24,12,14,19,8,26,15,12,14,10,17,18,11,5,11,8,8,6,5,8,7,6,6,4,2,8,5,2,6,1,4,2,2,4,6,5,8,4,1,4,7,1,6,5,2,3,3,2,3,2,1,3,0,1,1,0,1,0,0,0,0,0,0
あざみ野南三丁目,アザミノミナミ3,男,364,2,0,1,2,3,2,1,5,5,3,4,5,6,8,7,5,10,7,1,5,5,5,5,4,8,3,1,5,1,1,4,3,5,2,6,2,1,8,1,4,5,5,5,12,4,4,6,6,9,10,6,5,5,4,8,5,6,9,7,5,5,8,6,6,7,5,1,3,6,3,7,3,5,0,2,1,1,3,3,0,1,2,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
あざみ野南三丁目,アザミノミナミ3,女,418,2,1,8,2,7,4,1,4,3,5,6,3,8,7,5,2,5,5,6,3,4,5,2,6,6,7,5,8,4,6,4,2,6,4,2,4,8,2,8,9,5,9,7,7,4,7,4,5,5,6,10,7,8,6,10,5,4,7,10,6,4,7,3,6,5,7,5,4,2,3,4,1,2,3,4,6,5,2,5,3,1,3,1,4,1,3,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
あざみ野南四丁目,アザミノミナミ4,男,338,2,5,5,3,1,7,7,1,5,6,6,7,8,4,9,9,3,7,5,4,4,6,3,1,3,3,3,6,1,2,0,2,4,4,4,5,2,10,6,6,4,9,7,8,8,12,4,9,7,9,5,3,6,4,2,4,4,3,4,3,2,4,3,4,5,4,0,4,0,1,3,1,1,0,2,1,1,1,2,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
あざみ野南四丁目,アザミノミナミ4,女,343,5,2,4,3,7,6,6,8,6,3,6,0,5,4,4,8,4,6,1,3,3,3,6,4,5,2,4,2,3,2,5,7,2,3,2,6,6,16,6,6,12,10,5,10,7,7,5,5,7,8,6,4,5,3,0,6,3,2,5,6,4,2,2,2,2,1,2,1,1,3,1,2,3,2,0,2,1,0,0,0,4,0,2,2,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0
千草台,チグザダイ,男,3298,36,38,34,36,42,29,33,36,41,31,36,28,38,39,29,32,25,35,34,27,35,32,36,39,48,57,40,51,48,52,44,52,45,55,65,66,65,64,81,81,70,73,49,64,58,56,50,43,48,44,43,49,57,27,46,52,28,30,40,42,49,44,25,24,36,45,39,34,23,25,26,23,26,21,14,14,16,14,13,16,5,11,9,9,4,6,3,4,5,2,1,2,1,2,2,0,1,0,0,0,0
