町名,フリガナ,性別,総数,0歳,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,10歳,11歳,12歳,13歳,14歳,15歳,16歳,17歳,18歳,19歳,20歳,21歳,22歳,23歳,24歳,25歳,26歳,27歳,28歳,29歳,30歳,31歳,32歳,33歳,34歳,35歳,36歳,37歳,38歳,39歳,40歳,41歳,42歳,43歳,44歳,45歳,46歳,47歳,48歳,49歳,50歳,51歳,52歳,53歳,54歳,55歳,56歳,57歳,58歳,59歳,60歳,61歳,62歳,63歳,64歳,65歳,66歳,67歳,68歳,69歳,70歳,71歳,72歳,73歳,74歳,75歳,76歳,77歳,78歳,79歳,80歳,81歳,82歳,83歳,84歳,85歳,86歳,87歳,88歳,89歳,90歳,91歳,92歳,93歳,94歳,95歳,96歳,97歳,98歳,99歳,100歳,101歳,102歳,103歳,104歳,105歳,106歳,107歳,108歳,109歳,110歳,111歳,112歳,113歳,114歳,115歳,116歳,117歳,118歳,119歳,120歳以上
青葉区合計,アオバク_ゴウケイ,男,150096,1059,1129,1163,1242,1261,1314,1374,1397,1452,1432,1447,1452,1527,1558,1440,1469,1503,1599,1639,1785,1969,1938,1879,1901,1705,1594,1549,1510,1403,1428,1501,1424,1368,1554,1529,1658,1627,1778,1811,1794,1895,1921,2026,2131,2164,2273,2367,2520,2654,2578,2604,2665,2780,2870,2953,2383,2765,2577,2433,2325,2142,1969,1949,1783,1657,1617,1492,1407,1468,1471,1629,1578,1863,1845,1850,1103,1122,1333,1256,1299,1034,1017,825,809,706,748,624,506,423,381,289,252,154,139,98,74,61,26,21,13,6,3,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
青葉区合計,アオバク_ゴウケイ,女,159971,947,1065,1097,1125,1241,1272,1330,1330,1361,1373,1364,1484,1385,1389,1443,1424,1516,1482,1601,1767,1759,1953,1931,1901,1807,1795,1742,1684,1530,1615,1469,1493,1440,1599,1613,1662,1866,1836,1817,1875,1965,2145,2206,2168,2372,2348,2571,2771,2914,2838,2959,3087,3035,3021,2986,2315,2750,2509,2347,2259,1875,1954,1887,1733,1665,1582,1616,1562,1581,1694,1689,1907,2189,2073,1982,1318,1382,1600,1436,1541,1371,1175,1021,1073,1028,966,860,785,765,654,546,520,419,386,285,255,219,136,84,63,58,45,18,12,5,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
あかね台一丁目,アカネダイ1,男,1416,10,13,15,12,13,9,8,11,7,12,15,11,10,21,24,17,17,23,21,13,18,18,22,17,16,21,10,15,11,18,13,12,12,9,21,12,16,13,16,12,14,14,14,13,18,19,18,20,23,17,29,23,28,23,27,22,26,34,24,23,25,13,19,17,22,15,20,12,18,17,23,18,21,21,23,15,13,10,14,6,11,3,6,5,9,4,4,4,6,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
あかね台一丁目,アカネダイ1,女,1436,9,9,9,4,10,6,8,14,12,5,15,14,10,14,17,17,15,24,13,12,19,19,18,19,10,16,15,8,16,13,14,7,10,10,15,23,22,17,10,13,11,20,19,18,25,12,19,23,22,25,19,42,31,26,28,19,34,26,28,22,18,23,15,17,23,12,25,20,12,12,22,25,23,23,15,5,12,16,12,10,11,13,6,10,8,12,4,3,4,4,5,2,0,4,1,3,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
あかね台二丁目,アカネダイ2,男,1152,2,7,12,6,9,9,7,10,11,5,12,11,14,11,23,9,16,20,21,22,25,17,19,18,18,9,16,10,14,10,10,14,10,11,6,8,13,8,6,7,11,8,10,9,15,17,16,15,23,19,24,23,24,23,29,23,26,20,22,34,14,23,19,18,13,11,13,13,9,12,14,10,9,18,13,7,5,5,3,3,2,9,6,5,5,5,3,1,3,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
あかね台二丁目,アカネダイ2,女,1186,4,6,10,1,6,6,6,10,11,9,8,12,11,15,15,16,13,19,15,17,27,31,12,24,15,14,15,10,14,9,11,19,6,12,3,10,11,6,9,4,16,13,6,12,19,20,13,29,26,21,24,27,27,27,26,20,22,25,24,31,12,14,15,16,12,10,12,11,16,9,10,9,16,9,10,9,11,6,6,9,9,10,3,5,8,5,3,3,4,1,4,2,1,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
青葉台一丁目,アオバダイ1,男,1871,13,19,20,12,8,18,12,13,13,13,12,15,15,20,14,17,9,12,19,16,14,20,5,18,9,15,25,24,22,24,22,26,28,32,31,27,22,26,17,30,22,31,27,21,38,27,27,25,33,27,21,19,27,30,36,27,22,39,23,24,24,19,22,19,22,25,20,14,8,19,24,28,25,19,30,23,20,29,20,23,15,15,14,21,11,21,13,10,9,9,7,4,3,4,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
青葉台一丁目,アオバダイ1,女,2203,10,13,12,14,19,18,14,19,10,14,11,17,11,13,13,9,17,14,15,24,15,23,18,23,10,19,17,30,27,20,20,19,23,17,15,20,27,21,19,26,36,32,24,30,28,36,41,33,35,28,25,45,43,47,32,21,29,29,29,25,25,26,25,29,22,22,37,28,18,26,23,27,38,43,31,25,23,30,27,28,43,27,14,29,22,28,21,17,21,10,18,10,9,11,7,2,6,4,3,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
青葉台二丁目,アオバダイ2,男,2496,30,29,28,24,29,25,36,32,27,31,34,41,39,31,24,39,25,17,22,24,30,32,23,24,30,26,23,18,30,24,28,34,29,34,28,32,33,42,43,40,40,42,50,54,66,52,48,48,50,47,49,38,34,51,38,30,43,32,30,23,33,35,21,16,13,15,17,13,13,15,17,15,21,17,23,17,6,8,13,12,7,8,11,9,3,5,3,10,14,11,4,4,5,3,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
青葉台二丁目,アオバダイ2,女,2785,31,22,17,26,29,39,29,39,29,33,29,30,35,32,24,34,29,28,29,32,26,32,37,33,32,44,40,38,25,28,37,34,31,29,32,26,45,45,40,30,51,45,65,62,63,49,61,50,57,54,53,39,44,42,48,41,42,33,30,28,21,17,29,15,18,20,13,16,17,18,20,26,32,25,26,12,7,13,16,13,14,9,14,16,10,12,13,13,14,12,5,11,5,4,4,4,10,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
