町名,フリガナ,性別,総数,0歳,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,10歳,11歳,12歳,13歳,14歳,15歳,16歳,17歳,18歳,19歳,20歳,21歳,22歳,23歳,24歳,25歳,26歳,27歳,28歳,29歳,30歳,31歳,32歳,33歳,34歳,35歳,36歳,37歳,38歳,39歳,40歳,41歳,42歳,43歳,44歳,45歳,46歳,47歳,48歳,49歳,50歳,51歳,52歳,53歳,54歳,55歳,56歳,57歳,58歳,59歳,60歳,61歳,62歳,63歳,64歳,65歳,66歳,67歳,68歳,69歳,70歳,71歳,72歳,73歳,74歳,75歳,76歳,77歳,78歳,79歳,80歳,81歳,82歳,83歳,84歳,85歳,86歳,87歳,88歳,89歳,90歳,91歳,92歳,93歳,94歳,95歳,96歳,97歳,98歳,99歳,100歳以上
旭区合計,アサヒク_ゴウケイ,男,128350,1086,1206,1187,1185,1207,1268,1182,1167,1152,1164,1185,1145,1146,1191,1251,1259,1268,1276,1352,1436,1457,1613,1542,1731,1856,1923,1935,1955,2078,2163,2353,2357,2387,2323,2310,2230,2204,1695,2073,1806,1778,1700,1681,1619,1595,1491,1441,1516,1542,1536,1611,1765,1898,2055,2215,2243,2136,1431,1571,1875,1863,1929,1850,1687,1609,1656,1743,1598,1539,1340,1374,1254,1143,1107,1035,932,906,734,692,562,439,428,329,342,212,213,164,150,118,131,80,57,38,34,21,15,14,4,2,1,2
旭区合計,アサヒク_ゴウケイ,女,128293,987,1168,1089,1126,1090,1207,1128,1142,1090,1113,1134,1060,1096,1176,1144,1136,1233,1180,1296,1435,1439,1394,1533,1585,1658,1703,1820,1832,1895,2121,2130,2127,2286,2089,2013,1936,1947,1527,1802,1692,1670,1573,1536,1495,1503,1414,1460,1424,1495,1556,1595,1728,1944,2141,2265,2325,2263,1493,1589,2007,2077,2130,2041,1916,1636,1719,1676,1683,1623,1434,1479,1327,1320,1228,1124,1070,959,959,826,700,686,612,555,510,417,380,380,322,297,229,206,181,156,109,102,59,36,41,19,15,19
二俣川１丁目,フタマタガワ1,男,2465,37,27,34,19,35,23,28,24,17,19,25,21,19,16,17,17,17,17,15,23,32,28,28,40,43,43,38,49,36,44,67,58,52,51,68,47,62,38,47,51,50,39,32,38,28,37,33,20,19,26,38,39,37,43,35,44,33,23,26,28,27,24,23,28,20,22,26,24,18,17,14,27,19,17,16,19,11,14,11,8,8,8,6,3,3,5,3,1,0,1,0,2,0,0,0,0,0,0,0,0,0
二俣川１丁目,フタマタガワ1,女,2484,36,29,19,32,24,24,26,25,21,20,14,15,25,22,18,16,13,25,20,22,26,30,26,28,35,53,51,41,39,59,62,72,78,69,50,48,46,34,33,35,43,37,29,26,27,19,15,30,35,32,22,32,25,30,42,34,44,25,23,42,31,25,36,28,19,22,21,19,23,28,18,17,27,19,24,17,18,18,14,12,8,9,8,7,9,7,6,4,10,2,2,1,1,0,1,0,0,0,0,0,0
二俣川２丁目,フタマタガワ2,男,1973,20,15,15,16,16,11,21,13,20,8,15,18,8,8,12,18,14,18,30,24,24,17,23,21,29,39,47,31,37,50,53,44,51,45,46,58,37,24,35,34,34,33,33,41,20,33,24,30,20,32,20,30,30,21,36,23,29,24,20,19,16,16,18,16,9,19,19,19,18,9,25,13,18,15,18,17,14,10,10,17,4,8,3,6,3,4,1,3,2,2,1,2,0,0,1,0,0,0,0,0,0
二俣川２丁目,フタマタガワ2,女,2022,17,26,15,15,14,14,22,19,17,12,14,14,22,12,17,20,18,14,17,27,31,34,38,34,32,41,35,44,38,35,47,43,34,33,40,39,34,22,30,29,29,25,27,30,27,20,25,23,19,29,23,22,28,37,33,27,22,20,20,16,24,27,16,20,10,18,31,26,24,23,16,15,26,16,16,20,20,9,17,8,14,3,11,9,6,3,6,6,6,2,3,3,2,2,1,0,0,1,0,0,1
本宿町,ホンジュクチョウ,男,3371,44,45,50,53,43,52,22,29,27,27,35,26,23,28,23,33,27,37,30,29,44,33,23,43,59,68,61,64,70,67,93,79,79,92,90,77,82,56,64,63,57,44,42,42,45,55,31,36,40,41,39,50,42,46,54,53,48,38,41,43,32,40,36,26,34,34,26,22,21,30,26,26,19,15,15,9,18,7,9,12,4,4,4,4,5,6,4,0,3,1,1,0,1,0,0,0,0,0,0,0,0
本宿町,ホンジュクチョウ,女,3213,37,44,43,39,41,39,37,44,32,34,37,29,29,32,29,29,25,27,24,37,37,39,32,44,42,39,44,62,57,90,82,73,58,91,78,62,61,49,58,55,57,39,38,43,33,39,28,26,38,28,38,35,42,61,52,56,46,31,24,46,45,30,42,28,36,33,24,31,20,22,15,23,15,22,13,12,11,13,15,18,15,7,5,10,12,7,13,5,6,7,9,0,3,0,2,2,0,1,0,0,0
南本宿町,ミナミホンジュクチョウ,男,2297,26,45,25,28,30,29,31,31,23,15,30,19,21,21,24,21,16,29,13,25,18,29,19,16,32,26,32,42,49,39,44,48,40,52,47,48,62,42,43,39,29,32,34,35,28,22,23,30,27,26,32,23,23,39,30,35,31,23,24,25,38,24,30,31,18,30,29,20,29,24,27,24,17,10,11,15,18,10,9,4,6,6,3,4,2,3,4,3,3,2,1,2,0,0,0,0,0,0,0,0,0
南本宿町,ミナミホンジュクチョウ,女,2276,18,33,31,30,17,35,21,20,26,24,21,16,15,27,28,18,24,11,16,28,17,22,29,11,35,32,34,35,40,55,34,53,51,41,50,43,40,22,35,29,45,29,27,34,19,20,22,19,19,25,29,27,22,23,40,31,30,28,18,27,31,42,32,31,21,26,27,29,22,26,23,19,15,17,21,11,14,10,9,13,10,14,14,9,5,10,12,10,8,9,4,7,7,5,6,2,2,2,0,0,0
