町名,フリガナ,性別,総数,0歳,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,10歳,11歳,12歳,13歳,14歳,15歳,16歳,17歳,18歳,19歳,20歳,21歳,22歳,23歳,24歳,25歳,26歳,27歳,28歳,29歳,30歳,31歳,32歳,33歳,34歳,35歳,36歳,37歳,38歳,39歳,40歳,41歳,42歳,43歳,44歳,45歳,46歳,47歳,48歳,49歳,50歳,51歳,52歳,53歳,54歳,55歳,56歳,57歳,58歳,59歳,60歳,61歳,62歳,63歳,64歳,65歳,66歳,67歳,68歳,69歳,70歳,71歳,72歳,73歳,74歳,75歳,76歳,77歳,78歳,79歳,80歳,81歳,82歳,83歳,84歳,85歳,86歳,87歳,88歳,89歳,90歳,91歳,92歳,93歳,94歳,95歳,96歳,97歳,98歳,99歳,100歳,101歳,102歳,103歳,104歳,105歳,106歳,107歳,108歳,109歳,110歳,111歳,112歳,113歳,114歳,115歳,116歳,117歳,118歳,119歳,120歳以上
旭区合計,アサヒク_ゴウケイ,男,120435,736,786,838,891,897,930,981,1002,989,1004,1083,1119,1040,1091,1117,1063,1129,1151,1136,1153,1206,1235,1329,1219,1249,1218,1172,1157,1141,1146,1144,1160,1227,1243,1248,1334,1378,1394,1471,1423,1495,1585,1578,1734,1767,1827,2031,2130,2063,2170,2121,2061,2069,2039,1548,1905,1726,1640,1594,1510,1510,1468,1358,1272,1329,1371,1375,1409,1492,1583,1722,1835,1855,1750,1154,1193,1392,1341,1441,1344,1231,1063,1034,1018,899,810,641,603,493,428,315,252,190,139,108,73,35,26,29,13,7,7,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
旭区合計,アサヒク_ゴウケイ,女,126159,769,783,822,867,851,978,904,939,989,1006,1049,1033,987,1043,949,1022,987,1085,1163,1122,1162,1122,1267,1278,1185,1178,1153,1124,1056,1098,1099,1156,1181,1224,1140,1305,1318,1425,1376,1362,1468,1478,1572,1693,1689,1745,2026,2037,1989,2079,1978,1911,1929,1926,1480,1763,1626,1609,1525,1472,1436,1424,1349,1362,1332,1352,1456,1480,1610,1735,1945,2040,2084,2066,1356,1397,1783,1814,1796,1779,1617,1380,1383,1386,1290,1244,1036,992,827,739,683,520,458,372,300,241,167,129,96,52,36,19,26,5,6,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0
二俣川１丁目,フタマタガワ1,男,2178,16,17,14,12,11,15,17,7,17,15,14,22,13,19,16,19,29,23,18,20,14,22,23,25,34,26,20,35,28,31,24,26,28,29,24,29,32,29,31,21,38,30,22,38,39,37,51,47,45,43,33,37,32,29,24,42,42,40,34,29,26,21,23,24,11,18,18,35,29,34,33,26,34,23,14,9,20,20,19,17,20,15,14,15,11,4,11,6,10,5,4,3,4,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
二俣川１丁目,フタマタガワ1,女,2308,13,10,12,17,15,15,17,23,17,14,9,11,19,18,11,13,13,21,17,21,26,26,25,35,33,32,27,18,27,34,28,30,25,32,22,24,22,36,22,21,24,24,40,41,33,44,40,43,32,48,44,33,40,41,26,28,31,33,33,26,25,23,22,11,25,28,31,26,29,21,29,37,24,44,21,20,38,30,25,34,21,12,16,13,16,21,22,15,14,13,9,15,5,3,5,1,4,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
二俣川２丁目,フタマタガワ2,男,2271,15,13,21,18,16,23,16,14,14,18,15,10,20,9,10,11,12,14,11,15,14,21,21,34,30,30,29,42,45,44,31,27,47,37,47,51,33,38,44,27,30,32,36,40,35,35,33,42,33,35,41,30,45,43,45,36,39,31,34,29,22,27,35,23,34,27,32,15,25,25,21,27,22,27,22,18,18,12,9,11,12,10,11,13,12,8,8,11,5,8,2,2,2,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
二俣川２丁目,フタマタガワ2,女,2521,27,17,24,17,11,25,18,12,14,15,18,16,22,17,15,11,9,13,18,20,22,23,28,47,44,42,50,41,37,40,36,47,46,32,39,38,35,39,26,40,29,26,41,37,57,33,39,36,48,33,33,39,41,32,40,43,27,31,32,29,28,34,31,24,26,21,28,27,20,32,36,28,33,31,19,20,14,27,22,15,16,13,17,23,19,16,8,10,13,12,4,8,7,6,0,4,3,5,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
本宿町,ホンジュクチョウ,男,3656,33,37,32,28,24,30,32,34,38,28,37,28,31,47,36,46,46,38,40,48,42,49,44,34,42,46,48,42,59,45,35,39,49,50,68,57,48,50,59,49,40,49,48,58,62,64,62,81,75,74,81,59,68,67,44,60,59,51,45,32,36,39,46,26,34,36,29,39,33,35,41,34,42,39,28,27,28,23,35,25,20,14,13,17,6,11,12,10,7,7,4,3,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
本宿町,ホンジュクチョウ,女,3583,33,24,33,35,29,28,24,27,22,30,27,33,28,35,33,23,40,29,42,45,37,39,46,49,54,42,37,47,45,48,50,54,41,44,43,49,49,58,37,56,44,37,48,50,51,76,73,71,61,61,66,78,66,54,46,66,54,50,37,32,50,30,30,26,26,36,28,36,37,40,52,52,49,38,26,15,37,32,20,36,25,27,23,28,22,10,13,13,14,9,9,9,5,3,1,3,3,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
南本宿町,ミナミホンジュクチョウ,男,2471,25,30,30,24,21,24,34,35,28,25,28,23,26,22,25,28,27,27,27,27,28,25,29,22,23,23,16,33,17,28,29,35,25,28,30,43,32,35,37,38,41,33,38,42,39,46,32,45,45,36,39,44,54,53,37,42,28,21,36,33,27,19,25,23,25,20,18,19,22,21,31,18,20,25,19,19,15,21,21,14,18,15,19,19,10,13,15,9,11,3,2,4,5,4,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
南本宿町,ミナミホンジュクチョウ,女,2530,23,27,27,30,40,29,24,26,19,32,31,28,23,22,23,30,21,24,36,21,25,24,24,26,22,25,23,22,14,19,26,37,32,29,34,33,36,30,41,25,41,47,32,39,30,26,51,32,49,40,43,42,35,41,22,29,25,38,29,31,27,18,18,22,21,16,26,20,21,21,26,34,34,26,29,20,25,23,31,36,22,18,24,19,19,18,16,18,11,10,9,17,9,6,2,2,3,2,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
