町名,フリガナ,性別,総数,0歳,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,10歳,11歳,12歳,13歳,14歳,15歳,16歳,17歳,18歳,19歳,20歳,21歳,22歳,23歳,24歳,25歳,26歳,27歳,28歳,29歳,30歳,31歳,32歳,33歳,34歳,35歳,36歳,37歳,38歳,39歳,40歳,41歳,42歳,43歳,44歳,45歳,46歳,47歳,48歳,49歳,50歳,51歳,52歳,53歳,54歳,55歳,56歳,57歳,58歳,59歳,60歳,61歳,62歳,63歳,64歳,65歳,66歳,67歳,68歳,69歳,70歳,71歳,72歳,73歳,74歳,75歳,76歳,77歳,78歳,79歳,80歳,81歳,82歳,83歳,84歳,85歳,86歳,87歳,88歳,89歳,90歳,91歳,92歳,93歳,94歳,95歳,96歳,97歳,98歳,99歳,100歳以上
保土ケ谷区合計,ホドガヤク_ゴウケイ,男,102075,751,787,793,800,797,784,799,811,768,826,804,795,799,877,870,950,915,951,987,1054,1120,1171,1219,1330,1262,1314,1204,1106,1151,1195,1187,1223,1188,1321,1267,1304,1321,1375,1370,1488,1528,1513,1561,1675,1714,1765,1764,1712,1776,1758,1673,1414,1706,1562,1540,1431,1328,1357,1266,1186,1158,1192,1109,1102,1167,1296,1312,1401,1554,1470,1415,854,919,1106,1050,1112,993,948,837,851,801,775,687,588,589,484,400,379,274,253,198,182,120,81,52,48,19,16,9,5,6
保土ケ谷区合計,ホドガヤク_ゴウケイ,女,103645,651,731,752,724,727,751,759,778,780,770,806,816,731,832,801,869,829,925,899,1038,1045,1091,1130,1122,1096,1069,1078,990,1009,1078,1031,1115,1216,1164,1154,1215,1289,1285,1305,1361,1342,1428,1509,1560,1623,1690,1646,1648,1691,1619,1646,1246,1529,1518,1409,1342,1215,1192,1190,1122,1121,1109,1084,1138,1205,1241,1325,1497,1645,1610,1585,961,1110,1336,1295,1421,1297,1267,1032,1105,1076,1081,1064,921,876,785,768,609,554,522,400,367,334,227,182,156,99,88,55,40,80
新井町,アライチョウ,男,3407,11,22,17,12,24,20,29,28,27,29,33,37,38,39,31,45,29,46,21,46,27,30,21,32,20,30,22,23,20,19,23,26,17,30,23,26,40,25,43,44,62,46,43,56,62,59,74,72,68,79,48,43,74,43,53,38,49,42,38,34,34,30,35,32,38,44,37,43,71,52,49,21,51,39,47,61,45,67,40,54,45,55,40,37,32,20,15,22,15,9,5,4,0,3,3,3,0,0,0,1,0
新井町,アライチョウ,女,3528,13,11,15,12,19,21,28,30,38,37,41,36,26,38,28,31,39,31,22,24,28,22,25,26,28,15,16,19,15,13,18,22,22,21,31,26,27,36,36,52,40,50,52,53,60,57,58,50,57,53,56,36,56,42,34,40,34,42,34,31,27,34,32,40,38,56,50,66,51,64,68,30,65,79,58,77,78,77,68,65,67,63,55,37,39,25,34,25,17,20,12,5,13,3,7,3,2,0,3,2,0
仏向町,ブッコウチョウ,男,6155,84,76,60,84,55,50,56,60,41,60,56,60,49,58,50,44,54,54,43,52,52,56,59,81,66,63,83,54,66,79,66,109,94,112,95,96,79,114,94,107,122,111,94,125,117,139,92,97,105,92,87,87,91,93,88,62,44,70,64,67,62,46,65,59,58,47,66,72,62,69,70,40,41,50,49,68,46,54,41,53,47,40,57,43,43,31,23,34,21,27,7,16,9,7,5,1,4,3,1,0,0
仏向町,ブッコウチョウ,女,6232,64,73,57,67,56,64,61,51,61,52,48,52,47,54,55,68,45,59,45,57,69,58,63,55,66,50,70,44,69,77,82,82,110,93,94,96,102,90,80,88,79,85,96,106,81,104,90,102,86,86,80,61,83,76,61,50,50,51,63,46,45,43,39,51,62,49,54,70,82,82,79,49,42,56,84,77,84,78,62,69,73,71,73,67,64,68,58,53,54,28,33,37,25,19,12,11,5,4,5,1,4
仏向西,ブッコウニシ,男,2045,8,23,9,19,15,9,23,13,20,13,8,20,22,9,23,29,18,12,20,32,25,30,31,33,26,33,33,20,24,20,21,16,9,16,22,24,15,25,20,23,33,24,27,25,17,22,31,25,28,30,27,24,34,46,38,50,49,55,47,59,48,33,24,20,22,35,24,34,29,36,15,7,13,11,15,17,21,21,11,13,16,10,5,5,15,8,10,4,7,1,3,3,4,0,3,0,0,0,0,0,0
仏向西,ブッコウニシ,女,1998,8,8,11,12,14,17,17,12,9,15,16,16,12,17,11,18,16,17,21,24,25,34,25,38,26,28,18,16,18,20,8,15,17,14,18,11,21,29,29,15,12,16,21,34,27,38,23,43,37,36,32,38,41,48,54,52,45,48,42,41,28,23,18,19,15,17,25,37,22,30,15,13,21,29,17,19,12,20,11,11,16,17,19,19,9,11,7,10,8,7,11,5,3,1,2,4,0,0,1,0,2
藤塚町,フジツカチョウ,男,837,6,2,5,8,5,6,8,4,8,8,7,7,8,11,7,3,6,7,9,7,9,7,5,8,12,11,8,9,15,14,8,11,8,11,11,13,8,4,10,10,15,12,13,14,11,19,17,18,12,14,9,10,8,14,12,10,14,13,14,9,8,13,16,10,11,13,22,6,24,15,22,11,15,6,7,4,10,6,5,2,5,6,5,1,0,2,2,2,2,1,0,1,1,0,1,0,0,0,0,0,0
藤塚町,フジツカチョウ,女,858,3,7,3,5,8,5,5,9,8,9,10,8,4,10,9,9,7,9,5,10,5,12,8,8,8,10,7,3,8,10,10,9,14,4,8,16,7,6,11,12,16,13,16,13,11,16,10,9,14,11,12,13,7,18,15,14,10,13,23,9,10,9,15,14,17,10,12,16,16,14,14,9,6,11,8,12,12,8,7,3,7,5,4,4,4,5,1,4,4,2,1,3,0,4,2,2,0,1,0,0,0
神戸町,ゴウドチョウ,男,926,5,8,5,6,4,6,6,3,7,5,4,2,6,6,3,11,6,5,5,6,5,6,21,25,40,36,23,22,13,11,17,13,14,8,14,10,20,8,11,7,17,14,10,7,20,18,20,14,13,9,8,4,10,10,16,8,6,16,5,13,13,19,12,12,18,16,10,14,8,12,6,10,9,15,7,11,5,7,3,5,5,4,5,5,1,4,2,5,4,2,1,2,2,0,0,1,0,0,0,0,0
神戸町,ゴウドチョウ,女,850,7,7,4,2,4,5,6,6,5,6,6,13,11,8,9,5,6,6,3,6,5,4,11,8,9,11,10,13,7,14,10,11,11,8,7,17,15,7,15,13,9,14,12,15,12,14,13,8,6,12,12,10,11,7,6,9,15,11,16,10,9,12,10,8,15,13,10,13,14,12,11,8,8,12,8,11,10,13,6,3,10,11,6,4,6,4,10,8,8,7,5,3,2,0,2,2,2,1,0,0,0
権太坂一丁目,ゴンタザカ1,男,1573,7,4,11,10,9,12,16,10,16,16,13,13,12,16,17,13,9,15,16,16,20,12,13,15,13,13,12,17,13,4,9,12,13,14,21,14,21,24,24,29,24,30,21,34,22,33,32,23,20,30,25,14,27,31,27,22,28,13,13,17,19,16,18,18,21,26,26,29,26,30,21,18,19,18,23,23,18,13,12,13,17,14,12,13,7,15,6,5,6,5,2,6,2,1,2,0,1,0,0,0,2
権太坂一丁目,ゴンタザカ1,女,1701,8,10,11,15,16,8,10,15,19,20,17,18,18,19,18,22,14,20,20,11,10,21,19,14,13,10,18,7,7,12,13,10,19,16,13,18,24,25,20,24,26,28,27,28,30,23,22,25,21,28,29,23,19,22,33,31,12,14,21,20,14,16,25,16,22,13,31,25,31,33,24,18,14,16,18,22,19,25,19,21,23,17,19,16,14,17,11,13,10,9,7,5,3,3,4,0,0,4,0,0,0
権太坂二丁目,ゴンタザカ2,男,954,8,12,8,7,9,7,13,12,13,14,11,13,13,14,12,16,17,14,11,11,19,10,8,13,5,7,12,8,5,3,7,15,4,6,8,14,7,18,14,13,21,28,15,18,19,18,20,18,24,16,12,17,21,17,24,17,10,13,9,3,6,8,8,7,5,12,6,11,11,13,8,6,6,6,3,7,6,6,5,2,6,7,5,5,5,2,1,5,0,2,1,1,0,1,0,0,0,0,0,0,0
権太坂二丁目,ゴンタザカ2,女,944,5,6,11,11,6,7,11,12,12,13,16,20,12,9,12,14,11,13,18,14,16,7,16,7,6,5,3,5,5,9,9,9,6,5,10,15,16,16,14,20,22,14,20,19,17,23,15,13,25,22,20,7,17,12,18,11,5,6,10,8,11,8,5,4,10,5,7,10,7,8,15,4,6,14,7,8,5,9,6,5,9,3,5,6,4,1,7,3,3,2,1,2,2,1,1,1,2,1,0,0,0
権太坂三丁目,ゴンタザカ3,男,1655,10,11,16,17,12,9,10,12,23,23,16,14,16,16,20,25,23,22,23,22,24,23,12,17,13,13,5,10,10,13,18,17,19,14,16,14,20,22,12,19,22,18,23,27,35,22,38,25,36,34,19,21,40,22,20,23,21,17,17,19,18,13,17,21,18,27,29,30,39,19,35,20,30,23,21,21,20,18,12,12,9,8,6,7,5,9,2,3,3,3,3,1,2,1,0,0,0,0,0,0,0
権太坂三丁目,ゴンタザカ3,女,1718,6,5,10,11,7,17,16,10,15,11,17,19,17,17,20,25,22,26,17,19,21,11,13,16,7,6,11,5,19,8,13,19,17,14,24,13,22,22,15,26,15,19,24,31,34,28,28,33,30,27,37,29,21,22,19,16,10,16,29,19,21,23,24,30,23,29,29,45,36,30,42,16,19,26,21,30,17,22,8,18,15,15,18,6,9,8,5,8,1,5,4,7,4,3,0,1,0,2,1,1,0
