町名,フリガナ,性別,総数,0歳,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,10歳,11歳,12歳,13歳,14歳,15歳,16歳,17歳,18歳,19歳,20歳,21歳,22歳,23歳,24歳,25歳,26歳,27歳,28歳,29歳,30歳,31歳,32歳,33歳,34歳,35歳,36歳,37歳,38歳,39歳,40歳,41歳,42歳,43歳,44歳,45歳,46歳,47歳,48歳,49歳,50歳,51歳,52歳,53歳,54歳,55歳,56歳,57歳,58歳,59歳,60歳,61歳,62歳,63歳,64歳,65歳,66歳,67歳,68歳,69歳,70歳,71歳,72歳,73歳,74歳,75歳,76歳,77歳,78歳,79歳,80歳,81歳,82歳,83歳,84歳,85歳,86歳,87歳,88歳,89歳,90歳,91歳,92歳,93歳,94歳,95歳,96歳,97歳,98歳,99歳,100歳,101歳,102歳,103歳,104歳,105歳,106歳,107歳,108歳,109歳,110歳,111歳,112歳,113歳,114歳,115歳,116歳,117歳,118歳,119歳,120歳以上
保土ケ谷区合計,ホドガヤク_ゴウケイ,男,101682,678,677,733,753,798,783,781,799,765,789,817,785,818,815,783,808,883,880,1007,1035,1117,1209,1307,1296,1359,1253,1271,1208,1253,1153,1073,1108,1170,1190,1235,1175,1328,1286,1342,1306,1376,1347,1482,1510,1481,1543,1674,1754,1746,1783,1700,1756,1747,1666,1373,1679,1543,1531,1401,1298,1333,1220,1157,1125,1150,1088,1061,1114,1243,1256,1340,1486,1374,1346,802,850,1021,935,1018,905,842,721,702,659,646,568,468,453,354,302,250,176,156,108,92,55,29,18,23,6,8,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
保土ケ谷区合計,ホドガヤク_ゴウケイ,女,103518,590,596,701,677,753,750,722,722,749,755,769,769,779,804,818,734,833,816,889,896,1056,1056,1201,1285,1214,1184,1143,1093,1034,1039,985,1000,1108,1045,1074,1245,1172,1109,1256,1272,1290,1290,1353,1384,1418,1492,1563,1619,1701,1672,1640,1671,1616,1635,1237,1510,1492,1436,1317,1210,1168,1165,1096,1095,1084,1069,1104,1170,1218,1312,1474,1624,1593,1525,921,1081,1298,1258,1364,1248,1195,958,1028,987,993,956,817,755,667,625,481,418,375,281,243,196,133,97,83,36,34,22,8,7,8,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
新井町,アライチョウ,男,3241,18,6,10,14,20,23,11,24,21,29,30,28,29,32,33,38,38,30,43,33,41,17,44,31,34,18,30,17,26,18,23,19,20,17,26,19,24,26,26,38,25,42,41,56,48,44,54,67,57,77,68,66,74,44,39,68,41,49,40,49,35,32,36,30,26,37,32,39,44,37,42,65,51,47,21,48,40,40,57,43,58,30,45,38,41,35,26,25,16,12,14,10,7,3,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
新井町,アライチョウ,女,3365,7,15,13,19,17,15,13,21,18,28,30,39,38,36,36,22,36,30,29,35,30,20,24,21,19,19,27,19,7,15,20,15,17,15,21,16,22,28,26,33,33,30,55,38,45,47,51,60,61,61,54,50,55,55,37,49,39,32,40,38,37,35,27,27,33,30,40,37,59,47,63,54,59,66,32,65,76,57,71,73,72,63,60,55,52,48,30,32,19,35,21,13,12,8,4,5,3,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
仏向町,ブッコウチョウ,男,6256,71,67,70,74,63,61,75,57,47,56,61,44,60,56,57,51,54,49,45,60,62,56,66,61,78,66,73,91,64,73,64,73,83,75,103,77,109,83,90,81,111,87,101,119,112,92,132,114,133,95,109,99,97,89,84,94,98,86,60,43,74,57,60,63,42,65,55,55,47,64,68,58,62,66,33,46,49,44,64,42,47,40,49,40,38,53,38,38,29,21,26,14,19,4,8,4,5,3,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
仏向町,ブッコウチョウ,女,6368,46,64,61,61,66,54,58,58,60,59,47,61,51,49,52,52,54,60,68,52,62,53,60,81,67,69,58,77,61,74,70,67,82,79,87,97,93,90,97,91,91,81,91,88,88,93,109,81,109,89,103,94,82,85,59,80,78,63,50,47,51,61,46,44,41,37,50,57,51,58,67,83,86,80,51,48,56,81,77,87,78,61,69,70,69,69,58,57,59,50,47,42,23,24,26,15,14,6,5,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
仏向西,ブッコウニシ,男,1992,6,14,14,9,25,12,24,15,9,21,14,19,14,8,22,22,9,22,30,17,16,21,35,23,30,21,27,23,30,29,13,17,21,21,21,13,15,23,20,17,27,15,22,33,18,25,27,16,21,31,24,28,28,25,23,34,45,39,46,51,54,45,57,47,32,21,20,21,32,23,35,28,37,16,6,10,9,14,15,20,19,9,11,15,7,5,5,10,5,8,3,6,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
仏向西,ブッコウニシ,女,1965,7,14,10,11,12,9,12,15,19,18,10,9,17,15,13,15,15,9,20,15,20,26,26,20,30,16,32,23,22,16,12,17,20,13,14,16,18,17,10,23,29,26,17,16,17,20,32,24,36,24,42,34,34,35,36,39,49,52,50,43,48,41,40,27,25,17,20,14,18,26,35,22,31,15,12,20,28,17,17,12,20,12,14,16,13,16,15,9,11,8,4,7,4,10,1,3,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
藤塚町,フジツカチョウ,男,824,5,5,5,9,3,5,7,5,5,9,4,7,8,7,8,9,11,7,3,7,6,10,9,7,9,5,9,11,5,8,6,12,10,7,8,7,12,8,15,6,4,10,10,10,12,11,14,15,19,17,16,11,10,8,11,11,13,13,12,16,17,13,11,7,12,16,10,12,14,24,6,25,15,20,12,13,5,6,4,8,5,5,2,4,4,4,1,0,2,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
藤塚町,フジツカチョウ,女,804,1,3,3,2,9,4,4,7,4,4,5,9,8,8,8,4,9,9,9,7,8,6,10,7,7,7,11,5,11,8,1,8,8,6,3,10,4,7,16,5,5,10,13,17,13,15,11,11,16,12,10,11,10,10,14,7,18,16,15,11,11,20,8,9,9,14,14,16,10,11,17,16,15,13,9,5,11,8,11,12,6,7,2,5,4,3,3,4,5,0,4,1,2,1,2,1,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
