逕コ蜷繝輔Μ繧ャ繝諤ァ蛻・,邱乗焚,0豁ウ,1豁ウ,2豁ウ,3豁ウ,4豁ウ,5豁ウ,6豁ウ,7豁ウ,8豁ウ,9豁ウ,10豁ウ,11豁ウ,12豁ウ,13豁ウ,14豁ウ,15豁ウ,16豁ウ,17豁ウ,18豁ウ,19豁ウ,20豁ウ,21豁ウ,22豁ウ,23豁ウ,24豁ウ,25豁ウ,26豁ウ,27豁ウ,28豁ウ,29豁ウ,30豁ウ,31豁ウ,32豁ウ,33豁ウ,34豁ウ,35豁ウ,36豁ウ,37豁ウ,38豁ウ,39豁ウ,40豁ウ,41豁ウ,42豁ウ,43豁ウ,44豁ウ,45豁ウ,46豁ウ,47豁ウ,48豁ウ,49豁ウ,50豁ウ,51豁ウ,52豁ウ,53豁ウ,54豁ウ,55豁ウ,56豁ウ,57豁ウ,58豁ウ,59豁ウ,60豁ウ,61豁ウ,62豁ウ,63豁ウ,64豁ウ,65豁ウ,66豁ウ,67豁ウ,68豁ウ,69豁ウ,70豁ウ,71豁ウ,72豁ウ,73豁ウ,74豁ウ,75豁ウ,76豁ウ,77豁ウ,78豁ウ,79豁ウ,80豁ウ,81豁ウ,82豁ウ,83豁ウ,84豁ウ,85豁ウ,86豁ウ,87豁ウ,88豁ウ,89豁ウ,90豁ウ,91豁ウ,92豁ウ,93豁ウ,94豁ウ,95豁ウ,96豁ウ,97豁ウ,98豁ウ,99豁ウ,100豁ウ莉・荳
逎ッ蟄仙玄蜷郁ィ繧、繧ス繧エ繧ッ_繧エ繧ヲ繧ア繧、,逕キ,82954,756,758,746,755,677,696,699,728,683,705,694,646,715,707,739,743,814,834,906,975,962,953,1056,1152,1233,1311,1371,1448,1553,1687,1566,1527,1532,1510,1452,1471,1131,1353,1180,1249,1094,1126,1035,1013,1068,989,1032,1086,964,1117,1170,1331,1421,1579,1551,1495,1037,1059,1262,1256,1257,1194,992,963,887,935,920,949,865,880,791,742,686,707,626,577,536,516,388,343,316,249,208,178,156,127,141,95,88,74,51,44,30,40,14,7,10,6,6,2,0
逎ッ蟄仙玄蜷郁ィ繧、繧ス繧エ繧ッ_繧エ繧ヲ繧ア繧、,螂ウ,84019,686,739,762,707,684,718,631,682,672,650,662,629,679,701,704,792,725,843,814,906,948,971,1039,1035,1137,1165,1202,1300,1411,1525,1542,1397,1357,1342,1301,1323,993,1239,1167,1125,1036,1015,1014,1012,958,928,981,1005,985,1065,1217,1294,1384,1602,1577,1511,957,1024,1284,1330,1332,1202,1168,1014,1009,1076,1150,1057,954,978,929,998,844,807,691,742,707,658,514,493,463,409,398,334,315,268,241,228,190,157,141,97,94,85,55,35,34,27,14,4,23
鬥ャ蝣エ逕コ,繝舌ヰ繝√Ι繧ヲ,逕キ,614,1,4,6,2,3,3,2,4,7,3,7,6,4,3,2,4,3,4,6,6,8,7,11,14,4,16,8,12,15,12,12,13,8,5,6,13,8,7,10,5,7,7,7,6,4,9,14,5,13,7,10,11,9,15,12,15,8,7,12,9,13,14,7,5,5,11,3,10,6,6,6,3,5,3,3,2,6,5,4,4,10,1,3,2,2,1,2,1,0,4,3,1,1,1,0,0,0,0,0,0,0
鬥ャ蝣エ逕コ,繝舌ヰ繝√Ι繧ヲ,螂ウ,645,7,9,5,7,1,5,5,4,4,5,4,4,5,3,4,5,3,2,6,4,9,4,7,10,16,9,12,10,8,12,11,8,9,7,8,9,8,8,7,2,7,8,4,6,5,6,6,4,8,12,10,9,7,14,11,9,8,0,13,9,16,11,5,10,9,5,7,4,10,7,7,12,5,13,4,10,6,8,5,6,10,6,7,3,5,5,7,3,3,2,3,5,1,1,2,0,0,0,0,0,0
蜴溽伴,繝上Λ繝槭メ,逕キ,704,4,7,6,2,6,5,7,7,4,1,3,2,6,10,5,11,4,9,10,1,10,6,8,9,12,10,12,11,19,18,19,18,18,11,12,16,13,14,10,14,6,13,11,7,9,8,11,7,7,10,11,16,14,17,9,16,6,11,10,11,6,7,6,8,4,7,5,8,4,6,9,5,2,7,3,5,4,4,4,2,4,1,2,5,0,1,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0
蜴溽伴,繝上Λ繝槭メ,螂ウ,715,4,7,5,3,7,3,2,5,8,2,7,6,6,11,3,10,6,5,10,5,12,6,12,6,16,11,15,16,18,11,12,9,3,12,17,12,13,10,13,11,6,13,7,3,11,8,5,9,11,13,8,13,17,14,7,10,4,4,15,10,13,7,5,6,2,6,5,9,10,8,4,6,3,6,6,7,8,10,7,4,6,6,4,3,4,6,5,4,0,1,2,1,2,0,0,0,0,1,0,0,0
譚ア逕コ,繝偵ぎ繧キ繝√Ι繧ヲ,逕キ,1080,10,5,10,8,7,1,6,1,10,11,14,8,18,11,12,8,11,10,15,13,13,18,13,20,11,23,14,15,12,23,12,25,17,17,23,17,5,13,11,18,16,23,10,16,12,10,18,16,11,17,31,24,19,31,34,20,20,16,26,20,22,17,5,11,7,7,10,9,7,11,4,10,7,9,4,5,6,5,3,4,2,3,0,2,1,3,2,1,2,0,0,0,1,0,0,0,0,0,1,0,0
譚ア逕コ,繝偵ぎ繧キ繝√Ι繧ヲ,螂ウ,1312,4,8,11,5,7,7,9,7,10,9,11,14,12,14,19,8,14,14,11,34,23,21,27,21,26,29,21,19,22,23,26,15,22,19,20,18,11,18,25,18,15,18,19,19,26,18,17,17,15,16,28,29,24,26,28,18,19,18,19,25,13,15,13,11,12,13,7,18,4,17,10,11,8,8,10,8,14,4,3,6,5,5,3,1,3,3,3,5,2,4,1,1,4,0,0,0,0,0,0,0,1
蠎慍逕コ,繝偵Ο繝√メ繝ァ繧ヲ,逕キ,608,0,5,5,1,4,2,8,1,7,7,6,3,6,2,6,5,6,6,6,9,8,5,12,5,7,5,3,4,11,5,11,11,5,7,8,4,5,8,7,10,6,11,12,6,5,11,7,9,7,16,11,18,13,14,17,9,9,8,5,14,12,9,3,5,7,8,7,3,8,9,9,10,6,7,9,7,4,6,4,6,3,3,7,3,3,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0
蠎慍逕コ,繝偵Ο繝√メ繝ァ繧ヲ,螂ウ,649,4,2,2,4,1,2,4,2,5,10,5,4,6,10,6,9,9,8,9,4,2,8,4,10,7,4,5,6,6,5,7,7,7,10,5,9,1,5,12,9,6,8,8,8,13,8,10,10,7,13,11,16,13,7,15,6,6,7,6,14,8,11,3,8,8,9,8,10,8,14,14,6,8,10,5,12,8,13,3,7,11,5,3,7,1,3,3,1,6,0,2,0,1,0,0,0,1,4,0,0,1
荵⒧惠逕コ,繝偵し繧ュ,逕キ,1161,11,9,4,8,5,3,11,11,8,7,9,7,12,4,11,12,12,7,9,7,13,16,14,16,21,18,17,29,23,32,33,17,21,16,18,20,18,15,16,17,17,9,14,17,14,14,16,14,8,12,16,17,18,28,30,17,18,17,16,22,24,13,15,15,6,14,16,10,16,11,10,10,8,14,7,12,6,6,6,6,8,9,4,3,6,4,1,1,2,2,1,0,2,0,2,0,0,0,0,0,0
