町名,フリガナ,性別,総数,0歳,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,10歳,11歳,12歳,13歳,14歳,15歳,16歳,17歳,18歳,19歳,20歳,21歳,22歳,23歳,24歳,25歳,26歳,27歳,28歳,29歳,30歳,31歳,32歳,33歳,34歳,35歳,36歳,37歳,38歳,39歳,40歳,41歳,42歳,43歳,44歳,45歳,46歳,47歳,48歳,49歳,50歳,51歳,52歳,53歳,54歳,55歳,56歳,57歳,58歳,59歳,60歳,61歳,62歳,63歳,64歳,65歳,66歳,67歳,68歳,69歳,70歳,71歳,72歳,73歳,74歳,75歳,76歳,77歳,78歳,79歳,80歳,81歳,82歳,83歳,84歳,85歳,86歳,87歳,88歳,89歳,90歳,91歳,92歳,93歳,94歳,95歳,96歳,97歳,98歳,99歳,100歳以上
磯子区合計,イソゴク_ゴウケイ,男,81604,656,704,712,727,661,744,695,677,609,649,646,669,663,674,727,681,654,659,757,794,787,819,826,827,876,820,856,930,928,1005,1013,1042,1071,1033,1131,1129,1114,1184,1271,1368,1414,1445,1427,1435,1450,1346,1279,1327,1067,1247,1128,1177,1058,1060,993,1004,1002,938,966,1022,888,1031,1098,1210,1261,1415,1308,1338,860,886,1063,1014,1005,975,850,759,700,722,678,682,622,596,515,446,362,344,299,244,223,164,137,106,69,50,39,22,11,12,10,6,11
磯子区合計,イソゴク_ゴウケイ,女,84023,603,603,645,595,645,671,681,620,613,598,669,623,678,687,687,633,679,689,650,746,715,730,730,702,809,824,833,826,867,942,966,956,1034,1007,1067,1035,1151,1129,1212,1253,1239,1403,1399,1304,1285,1307,1226,1228,920,1186,1127,1106,1017,1004,983,999,944,915,950,979,942,1042,1140,1219,1260,1469,1495,1420,906,962,1201,1189,1194,1117,1067,919,931,947,1013,916,822,829,751,781,608,584,453,481,425,337,244,221,191,161,133,89,78,46,36,29,51
馬場町,ババチョウ,男,633,5,10,3,9,3,6,2,9,3,2,4,6,5,6,6,2,3,4,4,2,7,4,8,7,7,5,7,9,8,6,4,8,13,7,9,11,6,17,6,5,16,12,11,12,6,10,4,8,9,8,4,6,6,10,9,6,7,5,11,10,11,9,9,9,8,14,13,9,5,7,12,11,15,14,4,8,6,9,5,8,5,3,7,4,0,0,0,0,4,2,0,0,3,0,0,0,0,0,0,0,1
馬場町,ババチョウ,女,631,2,5,3,3,1,6,5,5,6,6,10,4,7,6,10,7,1,5,3,7,5,7,4,4,7,5,8,5,4,3,5,6,11,9,7,8,8,11,9,10,10,7,6,9,7,5,8,4,7,9,9,3,11,6,6,8,6,7,8,4,8,12,9,8,8,10,11,10,9,0,13,9,13,12,7,10,10,4,8,4,11,8,6,9,3,7,3,8,2,3,3,3,3,3,2,1,0,0,1,1,1
原町,ハラマチ,男,676,9,3,6,6,3,6,4,8,3,5,4,4,1,8,4,3,6,4,8,6,7,2,4,9,10,11,11,16,8,17,12,7,14,11,9,9,13,6,12,12,12,11,8,13,16,14,11,8,19,6,8,8,5,11,10,9,10,9,11,6,5,8,8,16,12,11,7,9,5,10,10,7,4,8,2,4,5,3,5,3,3,4,7,2,1,3,0,1,3,1,1,1,0,0,0,0,0,0,0,1,0
原町,ハラマチ,女,666,1,4,6,6,4,3,1,2,4,2,7,3,3,3,5,2,7,4,4,6,13,4,8,9,14,13,11,10,5,11,18,12,19,5,11,5,10,8,10,6,11,7,16,8,5,9,13,8,10,4,12,8,6,13,6,4,10,9,3,11,12,11,7,13,12,12,6,8,3,4,12,11,10,8,3,6,3,3,4,9,6,7,2,5,1,5,5,5,4,4,3,2,3,3,0,1,0,0,0,1,0
東町,ヒガシチョウ,男,1063,12,3,6,9,10,12,8,9,2,10,6,5,5,9,7,7,6,2,9,6,6,9,11,12,19,10,13,9,12,7,12,7,12,15,13,15,10,24,16,17,23,19,21,30,12,22,19,31,11,13,15,13,14,14,6,12,12,13,16,16,10,16,24,24,17,18,27,19,17,13,16,16,22,14,4,10,4,9,6,5,3,10,4,7,4,6,1,2,2,2,3,0,1,2,0,1,0,0,0,0,0
東町,ヒガシチョウ,女,1232,5,3,10,6,13,7,7,7,5,11,7,6,9,8,9,4,10,6,9,9,14,11,9,13,14,8,19,9,17,10,7,21,9,15,17,21,23,26,18,21,24,17,20,18,19,18,27,20,14,14,24,17,13,17,19,13,17,16,14,14,17,15,26,32,21,22,21,19,19,22,20,18,11,13,15,11,8,16,8,12,6,13,6,12,7,5,6,5,7,2,1,2,1,0,3,0,0,1,0,0,1
広地町,ヒロチチョウ,男,548,3,2,5,6,5,6,5,5,2,3,1,6,6,3,5,4,5,0,9,1,5,6,5,5,4,1,6,3,9,5,10,8,5,2,7,9,7,7,6,3,6,5,13,7,5,9,5,8,3,12,6,9,8,10,11,3,6,13,9,7,6,16,10,11,8,13,15,8,5,4,7,10,6,6,4,4,4,7,4,2,6,9,5,5,3,3,4,3,2,2,0,1,1,2,2,0,0,0,0,0,0
広地町,ヒロチチョウ,女,592,3,2,2,4,3,1,4,3,5,4,1,1,3,2,1,2,5,4,6,6,5,8,9,3,5,12,5,8,8,8,6,2,3,2,7,7,5,8,4,4,5,7,6,6,5,10,7,9,1,7,11,6,11,8,5,9,14,7,11,5,7,11,11,13,13,10,16,10,5,6,6,10,8,9,4,6,8,7,6,11,6,12,9,6,8,8,1,5,6,8,1,4,2,1,0,3,0,2,2,0,0
