町名,フリガナ,性別,総数,0歳,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,10歳,11歳,12歳,13歳,14歳,15歳,16歳,17歳,18歳,19歳,20歳,21歳,22歳,23歳,24歳,25歳,26歳,27歳,28歳,29歳,30歳,31歳,32歳,33歳,34歳,35歳,36歳,37歳,38歳,39歳,40歳,41歳,42歳,43歳,44歳,45歳,46歳,47歳,48歳,49歳,50歳,51歳,52歳,53歳,54歳,55歳,56歳,57歳,58歳,59歳,60歳,61歳,62歳,63歳,64歳,65歳,66歳,67歳,68歳,69歳,70歳,71歳,72歳,73歳,74歳,75歳,76歳,77歳,78歳,79歳,80歳,81歳,82歳,83歳,84歳,85歳,86歳,87歳,88歳,89歳,90歳,91歳,92歳,93歳,94歳,95歳,96歳,97歳,98歳,99歳,100歳,101歳,102歳,103歳,104歳,105歳,106歳,107歳,108歳,109歳,110歳,111歳,112歳,113歳,114歳,115歳,116歳,117歳,118歳,119歳,120歳以上
磯子区合計,イソゴク_ゴウケイ,男,82451,513,575,553,671,637,659,713,719,693,687,724,683,750,719,694,663,681,681,710,737,769,841,814,849,846,916,926,901,894,882,908,851,847,949,989,1012,1004,1093,1120,1113,1070,1139,1147,1167,1208,1282,1370,1425,1468,1456,1467,1442,1359,1291,1332,1072,1271,1139,1197,1050,1060,1016,961,960,910,900,990,820,950,1032,1080,1122,1264,1182,1180,756,749,872,839,834,772,658,538,514,498,473,446,360,319,247,200,158,132,103,70,56,31,26,12,13,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
磯子区合計,イソゴク_ゴウケイ,女,85011,537,547,582,611,626,636,673,644,645,676,614,656,723,677,634,624,614,673,637,710,785,779,794,774,806,812,823,784,787,763,743,825,874,870,915,902,963,1031,1035,1037,1040,1080,1055,1184,1138,1229,1288,1280,1451,1444,1316,1329,1321,1295,1284,957,1189,1145,1121,1010,1033,979,979,948,917,913,932,931,1020,1098,1166,1207,1384,1386,1337,875,921,1115,1102,1100,987,959,827,762,797,805,720,611,580,482,473,364,332,237,206,172,107,76,59,41,36,16,9,1,7,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
馬場町,ババチョウ,男,632,4,5,2,1,4,3,2,3,7,5,8,4,3,2,6,3,4,5,8,3,8,11,6,9,11,9,5,3,5,5,5,10,11,9,8,11,5,7,7,9,3,6,9,9,14,7,7,13,9,11,13,9,8,9,7,9,9,6,8,10,9,11,4,8,6,7,11,11,8,7,8,7,14,10,7,4,5,10,9,12,10,3,4,4,8,4,4,3,4,3,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
馬場町,ババチョウ,女,622,5,3,5,5,4,5,5,1,4,2,1,1,6,4,4,6,3,8,2,7,6,4,8,5,5,7,7,8,7,12,6,7,5,7,7,5,4,6,6,8,7,9,7,8,10,9,8,9,8,9,9,7,7,11,8,8,11,10,6,7,8,6,7,5,6,7,5,9,10,8,8,6,11,12,11,10,2,14,7,11,12,8,7,5,1,9,4,7,6,2,3,3,3,2,2,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
原町,ハラマチ,男,678,9,4,4,4,2,3,2,8,5,4,4,3,7,3,7,4,4,4,4,0,10,8,6,10,4,10,2,11,8,7,15,13,8,11,14,10,13,14,7,16,10,6,6,12,6,10,9,15,14,11,11,13,14,9,9,17,7,10,10,7,9,11,7,7,11,10,4,4,7,8,12,11,9,7,7,5,8,9,5,2,5,2,3,5,4,4,0,3,3,5,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
原町,ハラマチ,女,653,3,4,3,6,6,2,10,1,4,5,5,5,3,2,2,4,1,7,5,2,6,8,1,5,7,7,10,8,10,12,8,11,14,8,9,3,6,14,6,9,3,8,10,15,7,7,7,13,7,13,9,4,8,13,10,10,5,12,6,6,13,7,4,8,9,5,8,11,8,6,12,13,12,7,7,4,2,9,12,10,8,6,7,4,5,4,7,5,5,3,2,1,4,3,2,2,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
東町,ヒガシチョウ,男,1231,12,12,19,16,9,12,11,8,8,5,8,11,11,9,8,3,10,5,6,8,11,12,13,11,8,9,13,5,11,15,17,15,20,21,15,26,22,21,18,16,9,11,20,13,16,22,22,20,20,25,30,15,16,18,31,11,17,20,21,15,16,5,12,20,14,12,12,10,12,23,25,14,21,25,14,18,11,12,14,21,13,4,10,5,4,2,4,4,3,1,3,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
東町,ヒガシチョウ,女,1422,9,20,13,11,11,6,13,7,5,6,2,8,8,10,8,5,11,7,6,10,7,12,14,16,13,18,16,14,14,14,19,31,17,26,17,21,20,23,20,19,20,11,15,22,23,23,22,19,26,19,22,17,15,29,26,18,15,24,20,16,19,19,14,17,17,12,18,18,17,26,27,26,20,21,20,17,20,15,16,12,11,13,8,8,12,11,8,7,8,4,9,4,2,4,3,4,2,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
広地町,ヒロチチョウ,男,564,4,2,4,1,7,2,2,5,3,6,6,3,7,4,5,2,3,1,4,8,3,7,5,5,3,10,4,5,5,6,2,4,3,6,7,9,6,8,11,11,5,6,10,6,3,9,3,11,7,14,7,10,7,7,9,5,12,4,10,9,10,12,3,7,10,8,9,5,13,10,12,7,12,14,11,6,5,5,8,4,4,3,2,4,3,2,4,3,4,3,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
広地町,ヒロチチョウ,女,597,2,2,3,5,6,7,4,5,4,6,4,2,2,2,2,5,6,3,2,5,6,4,1,4,9,7,8,3,4,3,3,9,7,5,8,5,11,7,4,6,1,11,8,7,9,3,5,6,5,7,6,6,13,5,7,2,8,11,6,12,6,5,13,14,9,10,4,7,10,11,14,10,10,16,7,6,5,5,9,6,9,3,7,7,6,3,9,9,5,8,4,5,6,1,3,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
