町名,フリガナ,性別,総数,0歳,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,10歳,11歳,12歳,13歳,14歳,15歳,16歳,17歳,18歳,19歳,20歳,21歳,22歳,23歳,24歳,25歳,26歳,27歳,28歳,29歳,30歳,31歳,32歳,33歳,34歳,35歳,36歳,37歳,38歳,39歳,40歳,41歳,42歳,43歳,44歳,45歳,46歳,47歳,48歳,49歳,50歳,51歳,52歳,53歳,54歳,55歳,56歳,57歳,58歳,59歳,60歳,61歳,62歳,63歳,64歳,65歳,66歳,67歳,68歳,69歳,70歳,71歳,72歳,73歳,74歳,75歳,76歳,77歳,78歳,79歳,80歳,81歳,82歳,83歳,84歳,85歳,86歳,87歳,88歳,89歳,90歳,91歳,92歳,93歳,94歳,95歳,96歳,97歳,98歳,99歳,100歳以上
泉区合計,イズミク_ゴウケイ,男,76625,731,742,753,736,787,784,774,834,754,769,791,764,778,826,751,748,746,770,845,753,820,847,877,808,825,893,935,1022,1095,1150,1188,1423,1400,1393,1437,1387,1380,1339,1346,1063,1280,1142,1109,1016,966,958,936,949,873,893,884,931,954,1043,1073,1173,1306,1294,1340,820,967,1174,1068,1136,1110,1036,902,935,928,933,826,743,728,644,629,533,481,455,362,340,305,221,181,153,139,146,77,86,83,79,55,48,30,25,30,15,4,7,5,0,2
泉区合計,イズミク_ゴウケイ,女,77058,609,706,721,741,768,763,785,800,753,743,758,763,707,696,706,707,732,767,756,799,737,814,837,800,854,915,918,934,1026,1096,1179,1282,1347,1359,1387,1308,1329,1222,1264,1014,1174,1060,997,920,911,935,882,877,848,862,937,930,943,1021,1088,1264,1410,1413,1333,852,945,1233,1246,1229,1139,1060,914,966,930,854,880,797,770,663,624,550,509,464,456,390,384,308,332,295,312,301,201,204,201,178,142,114,107,74,63,53,39,27,19,2,24
上飯田町,カミイイダチョウ,男,9308,84,86,95,96,102,100,106,87,101,69,93,121,79,85,72,79,77,92,94,78,76,106,110,106,90,97,103,117,98,135,147,177,173,170,213,184,190,163,158,126,149,142,120,118,105,100,99,85,87,82,89,88,83,103,116,118,143,126,161,87,127,147,163,187,188,172,134,142,150,156,118,131,96,88,78,75,61,55,43,39,49,30,19,22,14,18,8,7,8,13,11,6,4,5,3,0,0,3,2,0,0
上飯田町,カミイイダチョウ,女,9785,64,91,89,80,105,89,100,106,103,82,93,74,86,75,85,74,80,70,81,91,80,83,84,85,88,77,91,113,109,142,134,161,184,197,161,161,164,152,155,120,132,122,112,85,72,102,69,86,75,81,82,107,111,101,108,153,188,182,203,131,147,188,197,208,200,208,172,154,165,133,144,132,105,102,99,84,70,73,68,65,61,40,51,38,46,39,36,30,32,30,19,17,19,15,10,7,5,5,3,0,7
下飯田町,シモイイダチョウ,男,1174,5,11,6,8,6,8,5,6,11,5,11,15,6,14,4,5,13,7,13,13,5,15,11,13,10,13,12,20,14,13,16,20,23,16,15,20,27,18,18,11,28,10,10,12,8,17,9,15,10,10,14,9,16,14,21,19,27,13,21,11,9,24,14,18,24,17,19,22,28,20,22,23,16,15,19,14,11,15,17,4,9,5,3,4,9,5,3,3,1,0,1,1,0,0,1,1,1,0,0,0,0
下飯田町,シモイイダチョウ,女,1208,8,7,9,10,5,12,8,9,10,3,10,11,7,17,6,19,17,7,5,14,6,7,9,12,18,12,12,8,14,13,13,20,15,11,18,20,19,13,15,10,16,11,17,10,13,5,10,5,10,17,15,13,16,14,16,18,20,20,22,16,17,21,25,25,22,21,21,19,27,24,21,25,23,17,12,12,10,12,10,11,13,10,9,8,6,10,4,4,5,6,4,4,1,2,2,0,1,0,1,0,0
池の谷,イケノヤ,男,35,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,2,0,1,1,1,1,1,2,2,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
池の谷,イケノヤ,女,64,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,1,0,1,0,0,1,3,0,1,1,3,0,3,2,3,1,4,3,4,3,2,1,1,3,2,2,2,2,1,0,1
和泉町,イヅミチョウ,男,24271,231,238,244,222,239,235,238,260,211,247,232,194,230,216,218,217,193,211,237,235,258,245,283,255,270,340,364,365,381,394,411,493,469,493,496,483,434,406,420,339,373,337,314,317,299,238,263,263,222,244,245,279,285,304,347,352,431,453,412,291,347,446,368,358,390,363,334,325,312,303,279,249,230,206,199,166,139,140,104,104,91,71,55,38,49,37,23,29,15,21,8,20,7,11,10,4,0,2,2,0,0
和泉町,イヅミチョウ,女,23697,211,236,235,241,230,205,241,222,229,213,205,217,193,195,185,190,191,209,214,220,201,254,260,269,276,306,309,305,363,380,406,421,443,419,447,394,419,361,382,288,332,274,259,262,243,255,218,223,242,235,290,260,279,293,353,457,488,487,442,291,320,434,404,409,390,330,301,335,295,271,254,233,217,207,213,161,147,131,119,111,101,89,92,92,94,100,56,68,75,54,44,44,35,24,24,16,12,9,6,1,11
