町名,フリガナ,性別,総数,0歳,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,10歳,11歳,12歳,13歳,14歳,15歳,16歳,17歳,18歳,19歳,20歳,21歳,22歳,23歳,24歳,25歳,26歳,27歳,28歳,29歳,30歳,31歳,32歳,33歳,34歳,35歳,36歳,37歳,38歳,39歳,40歳,41歳,42歳,43歳,44歳,45歳,46歳,47歳,48歳,49歳,50歳,51歳,52歳,53歳,54歳,55歳,56歳,57歳,58歳,59歳,60歳,61歳,62歳,63歳,64歳,65歳,66歳,67歳,68歳,69歳,70歳,71歳,72歳,73歳,74歳,75歳,76歳,77歳,78歳,79歳,80歳,81歳,82歳,83歳,84歳,85歳,86歳,87歳,88歳,89歳,90歳,91歳,92歳,93歳,94歳,95歳,96歳,97歳,98歳,99歳,100歳,101歳,102歳,103歳,104歳,105歳,106歳,107歳,108歳,109歳,110歳,111歳,112歳,113歳,114歳,115歳,116歳,117歳,118歳,119歳,120歳以上
泉区合計,イズミク_ゴウケイ,男,74952,484,559,543,569,538,573,619,620,595,658,648,647,694,706,768,712,733,753,774,718,752,733,742,778,737,680,767,711,715,738,704,692,709,753,795,741,807,847,868,852,841,901,997,1030,1041,1089,1151,1364,1360,1323,1340,1345,1300,1358,1343,1016,1219,1030,1020,963,937,917,857,879,784,811,783,831,849,945,945,1034,1129,1088,1119,691,762,935,830,875,778,748,573,616,588,521,454,362,301,245,191,157,101,93,55,43,27,12,4,6,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
泉区合計,イズミク_ゴウケイ,女,77845,485,515,523,543,545,529,569,541,554,617,589,668,629,702,655,662,643,694,697,763,779,770,758,755,747,706,704,771,739,745,656,707,706,710,723,792,799,793,801,830,859,909,874,940,1003,1093,1170,1280,1323,1323,1360,1296,1295,1214,1231,1009,1116,1028,1005,929,879,886,855,807,794,786,875,896,884,943,1017,1186,1321,1320,1233,784,873,1130,1122,1110,993,956,787,799,729,664,643,577,504,415,352,328,233,190,164,117,84,64,46,38,37,21,14,8,6,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
上飯田町,カミイイダチョウ,男,8562,44,43,53,48,52,56,60,61,47,49,71,60,89,95,80,93,84,80,90,86,84,80,99,73,74,65,70,72,62,61,50,68,67,86,64,71,82,90,99,84,83,91,105,104,109,121,130,158,169,176,190,158,171,141,157,114,141,120,110,110,98,82,98,92,74,97,87,91,91,112,109,118,146,129,158,86,93,119,142,151,142,132,89,97,92,87,58,61,28,25,15,17,7,9,12,7,6,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
上飯田町,カミイイダチョウ,女,9171,40,48,53,54,54,48,55,58,37,62,68,74,65,77,73,75,80,78,89,81,93,83,72,89,85,75,64,63,65,55,56,60,59,61,65,72,88,71,82,86,89,86,74,104,107,113,128,152,154,186,169,166,158,129,140,107,119,116,109,87,76,101,72,82,78,86,87,109,109,91,108,171,175,178,190,137,152,173,187,190,181,195,153,131,125,99,103,82,65,48,53,41,25,28,23,16,8,12,9,5,4,2,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
下飯田町,シモイイダチョウ,男,1244,3,9,11,12,10,4,16,7,14,15,9,7,20,13,9,15,12,14,10,12,10,13,7,10,12,13,15,20,11,16,8,7,14,7,20,14,6,13,12,19,13,17,18,18,17,18,16,16,18,18,19,33,26,21,17,19,30,8,18,18,11,18,6,14,12,8,11,9,16,12,20,16,21,13,18,6,4,21,8,13,15,11,10,17,21,10,9,9,7,7,10,2,3,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
下飯田町,シモイイダチョウ,女,1303,10,16,5,9,8,7,13,16,9,10,10,11,20,7,9,9,5,13,10,14,7,21,17,10,18,7,8,14,8,17,12,15,13,11,3,10,5,18,14,16,16,17,14,15,11,18,16,22,24,12,21,22,20,23,18,10,20,11,17,12,16,10,12,9,13,17,13,17,15,12,17,15,15,20,19,13,15,21,23,20,21,16,16,20,21,19,14,13,20,10,3,7,4,3,0,3,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
池の谷,イケノヤ,男,64,1,2,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,2,1,0,1,3,0,1,0,0,1,2,2,1,3,0,1,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,1,1,2,2,1,1,2,0,1,0,2,0,0,4,0,1,3,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
池の谷,イケノヤ,女,81,0,4,2,1,0,2,1,2,0,1,0,2,0,2,0,1,1,0,0,1,1,0,0,0,1,0,0,1,2,0,1,3,0,0,1,1,1,2,1,1,0,1,2,0,1,1,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,2,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,1,2,2,2,0,1,1,0,3,4,2,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
和泉町,イズミチョウ,男,7027,48,50,48,50,44,46,47,47,49,66,54,63,44,62,69,54,57,60,73,50,61,69,68,69,70,63,72,74,71,68,56,68,68,50,89,72,61,89,74,74,85,77,88,113,86,111,106,123,101,117,121,138,120,132,118,94,110,83,104,87,85,91,74,78,65,65,70,80,82,91,95,108,116,114,113,84,95,122,109,92,86,78,77,74,68,63,42,35,31,22,13,6,9,5,3,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
和泉町,イズミチョウ,女,7122,32,35,44,46,55,42,60,44,37,47,52,62,42,51,50,51,52,58,61,66,72,61,77,63,67,79,58,61,59,67,62,57,56,69,59,66,55,79,79,85,78,91,74,94,86,103,104,119,120,123,121,111,115,93,105,78,92,79,84,86,70,73,74,69,78,67,81,78,95,83,102,135,168,150,143,75,105,137,130,112,104,80,79,81,51,56,59,61,41,42,44,27,18,21,14,8,8,6,5,6,5,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
和泉中央北一丁目,イズミチュウオウキタ1,男,1010,5,13,15,19,6,9,11,8,6,8,8,6,10,5,12,4,5,10,8,6,9,9,13,12,6,14,7,11,10,12,17,11,6,13,16,7,15,16,15,14,7,10,6,18,12,11,13,20,16,18,22,14,15,14,16,12,20,14,18,15,19,7,10,7,8,7,10,7,7,12,14,4,15,8,17,4,10,20,12,8,14,21,12,11,7,8,6,3,2,7,4,2,2,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
和泉中央北一丁目,イズミチュウオウキタ1,女,990,11,10,6,6,4,10,12,12,6,4,3,6,4,6,9,10,5,10,9,7,10,9,7,10,12,6,12,9,15,10,10,12,10,8,11,17,13,13,14,7,9,14,14,13,22,14,10,8,19,15,12,17,14,10,16,16,14,9,12,10,9,7,6,3,7,10,7,9,8,9,16,9,22,21,11,15,11,18,14,17,17,25,11,20,7,12,5,7,3,3,4,2,5,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
和泉中央北二丁目,イズミチュウオウキタ2,男,1180,10,9,18,6,11,9,11,10,11,8,6,8,13,13,6,7,8,5,6,8,4,13,13,10,17,14,19,18,14,12,16,14,21,17,26,19,20,17,15,11,12,18,17,20,20,16,12,33,20,21,18,19,26,16,22,18,11,9,15,20,10,9,13,14,10,11,10,10,15,13,3,17,20,18,14,12,13,13,7,8,13,15,7,6,6,5,8,6,5,3,3,2,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
和泉中央北二丁目,イズミチュウオウキタ2,女,1220,13,7,4,12,16,10,15,10,10,8,13,12,6,4,8,9,7,8,10,12,11,4,15,5,13,14,18,17,17,13,18,12,11,12,12,20,11,23,15,20,23,15,19,18,11,11,24,17,23,17,22,18,17,10,17,24,19,14,10,10,16,13,10,10,15,15,13,8,8,11,12,21,15,16,18,15,13,17,15,15,13,13,10,15,15,11,10,7,5,5,6,4,8,0,2,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
和泉中央北三丁目,イズミチュウオウキタ3,男,841,5,4,5,11,8,6,8,9,6,5,11,11,7,5,7,5,1,8,1,7,14,4,14,7,5,8,6,10,8,9,7,9,3,7,8,9,8,6,7,7,9,14,11,4,13,10,19,12,12,20,13,12,16,15,7,12,21,12,9,6,11,5,14,8,7,7,9,15,6,11,10,15,15,16,8,12,12,13,15,12,11,10,11,8,7,5,11,5,2,4,2,5,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
