町名,フリガナ,性別,総数,0歳,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,10歳,11歳,12歳,13歳,14歳,15歳,16歳,17歳,18歳,19歳,20歳,21歳,22歳,23歳,24歳,25歳,26歳,27歳,28歳,29歳,30歳,31歳,32歳,33歳,34歳,35歳,36歳,37歳,38歳,39歳,40歳,41歳,42歳,43歳,44歳,45歳,46歳,47歳,48歳,49歳,50歳,51歳,52歳,53歳,54歳,55歳,56歳,57歳,58歳,59歳,60歳,61歳,62歳,63歳,64歳,65歳,66歳,67歳,68歳,69歳,70歳,71歳,72歳,73歳,74歳,75歳,76歳,77歳,78歳,79歳,80歳,81歳,82歳,83歳,84歳,85歳,86歳,87歳,88歳,89歳,90歳,91歳,92歳,93歳,94歳,95歳,96歳,97歳,98歳,99歳,100歳以上
神奈川区合計,カナガワク_ゴウケイ,男,119060,1039,1045,996,947,976,931,934,921,936,928,919,848,949,864,905,930,857,889,964,1064,1176,1247,1374,1514,1584,1745,1740,1768,1807,1822,1913,1868,1914,1811,1838,1833,1815,1866,1922,1956,1934,2089,2145,2264,2197,2095,2171,2200,2105,2205,1587,1963,1802,1666,1554,1465,1401,1358,1316,1278,1225,1250,1278,1287,1403,1422,1592,1690,1658,1501,922,1000,1113,1073,1098,1009,887,762,817,722,731,613,571,534,465,419,386,334,251,195,185,158,99,75,52,47,37,26,7,7,9
神奈川区合計,カナガワク_ゴウケイ,女,116037,1010,986,955,937,880,950,920,865,913,899,829,829,885,861,843,865,895,873,874,948,991,1091,1177,1275,1431,1418,1507,1534,1502,1608,1637,1635,1669,1685,1637,1661,1695,1723,1781,1817,1725,1876,2070,2115,2034,2080,1862,1937,1859,1785,1427,1657,1549,1387,1332,1278,1311,1286,1182,1167,1186,1162,1151,1165,1314,1355,1536,1650,1646,1582,957,1036,1314,1297,1247,1215,1158,988,939,1013,1026,1003,925,875,762,765,709,656,546,465,404,364,266,221,189,144,128,88,50,45,85
青木町,アオキチョウ,男,735,8,5,6,5,2,3,4,2,2,2,2,3,4,2,0,0,1,2,0,3,7,10,10,20,20,20,17,26,19,38,20,25,18,22,13,14,12,15,12,26,12,14,15,15,10,13,8,22,12,20,9,9,8,12,7,6,9,9,7,4,2,5,2,3,6,1,9,4,13,2,0,4,1,1,4,2,4,0,5,3,3,3,2,4,2,1,1,3,0,1,1,2,0,0,0,0,0,0,0,0,0
青木町,アオキチョウ,女,653,5,12,2,6,1,6,0,4,4,0,4,2,2,3,3,2,3,1,4,8,6,5,5,10,10,12,14,13,12,23,11,12,14,15,18,16,10,15,21,16,12,13,8,11,14,14,11,12,9,7,9,11,8,5,4,3,7,6,7,3,3,4,3,5,4,5,9,9,9,4,1,5,4,8,3,2,4,2,8,9,5,9,4,4,2,7,4,2,3,1,2,2,0,0,1,0,1,0,1,0,0
旭ケ丘,アサヒガオカ,男,731,7,3,8,5,5,4,5,4,5,5,7,5,7,13,1,4,4,9,4,7,2,8,11,13,11,8,9,6,14,9,13,11,8,12,13,9,10,14,7,9,8,11,13,11,10,8,16,8,16,21,9,12,8,14,9,5,8,8,8,18,7,14,6,13,13,8,8,11,11,6,3,4,5,10,8,5,8,7,4,5,5,5,2,9,7,3,1,1,3,3,2,1,0,2,1,0,0,0,0,0,0
旭ケ丘,アサヒガオカ,女,745,3,5,4,3,5,3,5,6,2,4,4,3,2,4,4,8,10,3,10,4,9,7,6,12,10,11,9,10,12,9,11,10,10,12,9,9,12,13,7,12,6,4,11,15,12,14,12,15,9,8,12,12,6,9,11,10,5,15,14,11,7,7,6,7,9,9,10,6,5,10,9,4,8,10,10,11,11,5,6,4,8,10,4,5,6,7,7,6,3,6,4,6,8,2,1,2,0,1,0,1,1
千若町,チワカチョウ,男,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      
千若町,チワカチョウ,女,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      
 # 千若町１丁目,チワカチョウ1,男,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      
 # 千若町１丁目,チワカチョウ1,女,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      
 # 千若町２丁目,チワカチョウ2,男,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      ,X      
