町名,フリガナ,性別,総数,0歳,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,10歳,11歳,12歳,13歳,14歳,15歳,16歳,17歳,18歳,19歳,20歳,21歳,22歳,23歳,24歳,25歳,26歳,27歳,28歳,29歳,30歳,31歳,32歳,33歳,34歳,35歳,36歳,37歳,38歳,39歳,40歳,41歳,42歳,43歳,44歳,45歳,46歳,47歳,48歳,49歳,50歳,51歳,52歳,53歳,54歳,55歳,56歳,57歳,58歳,59歳,60歳,61歳,62歳,63歳,64歳,65歳,66歳,67歳,68歳,69歳,70歳,71歳,72歳,73歳,74歳,75歳,76歳,77歳,78歳,79歳,80歳,81歳,82歳,83歳,84歳,85歳,86歳,87歳,88歳,89歳,90歳,91歳,92歳,93歳,94歳,95歳,96歳,97歳,98歳,99歳,100歳,101歳,102歳,103歳,104歳,105歳,106歳,107歳,108歳,109歳,110歳,111歳,112歳,113歳,114歳,115歳,116歳,117歳,118歳,119歳,120歳以上
神奈川区合計,カナガワク_ゴウケイ,男,121041,898,959,961,961,993,965,923,945,922,953,915,963,939,947,862,959,888,919,1017,1075,1201,1313,1428,1678,1792,1816,1900,1833,1797,1750,1735,1793,1737,1781,1800,1892,1795,1799,1768,1804,1836,1910,1939,1957,2037,2136,2239,2172,2106,2172,2164,2047,2183,1579,1956,1754,1654,1512,1461,1346,1328,1270,1235,1187,1211,1211,1243,1338,1336,1472,1563,1542,1418,863,919,1028,969,1002,915,799,679,698,614,598,491,443,393,340,292,272,221,152,134,95,87,48,33,23,17,13,9,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
神奈川区合計,カナガワク_ゴウケイ,女,118959,891,950,921,978,943,936,916,879,930,916,883,918,910,830,824,884,877,863,924,1024,1148,1196,1330,1513,1570,1590,1510,1612,1572,1628,1550,1498,1638,1670,1636,1701,1629,1635,1630,1685,1711,1749,1802,1771,1909,2082,2131,2051,2075,1880,1903,1829,1799,1436,1663,1530,1364,1318,1269,1288,1254,1181,1140,1160,1132,1116,1158,1287,1311,1506,1612,1616,1522,921,1006,1251,1259,1216,1162,1101,928,873,925,936,925,807,757,645,627,559,488,416,332,293,219,159,126,98,74,63,41,23,17,4,9,1,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0
青木町,アオキチョウ,男,780,9,7,9,3,6,4,5,4,5,3,1,2,2,1,3,3,2,2,2,1,1,4,10,15,18,20,30,31,21,19,22,24,23,21,21,14,20,22,12,15,13,11,22,11,15,17,13,11,10,12,19,8,20,9,7,10,13,9,6,9,9,6,3,2,6,2,3,4,1,8,4,13,2,0,4,1,1,3,2,4,0,5,3,1,1,1,4,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
青木町,アオキチョウ,女,725,18,7,8,5,7,4,4,2,4,0,2,3,0,3,2,1,3,3,3,2,1,7,13,10,13,17,18,23,15,19,20,18,19,18,7,13,13,22,11,9,14,21,14,13,11,10,10,14,14,13,14,11,5,11,13,7,4,4,3,5,5,7,5,2,4,3,5,3,5,9,8,9,4,1,4,3,7,3,2,4,2,7,9,4,7,2,3,1,6,3,3,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
旭ケ丘,アサヒガオカ,男,742,7,2,5,5,5,6,3,4,6,5,4,5,7,7,6,7,15,1,5,5,12,9,10,7,9,15,14,11,15,8,8,9,6,12,5,13,10,14,10,10,11,8,9,12,10,12,12,9,7,18,7,16,22,10,14,8,13,6,5,7,7,8,16,9,14,6,12,10,7,8,12,10,4,4,5,5,10,8,5,6,6,4,4,5,5,2,7,3,0,0,0,0,2,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
旭ケ丘,アサヒガオカ,女,738,3,6,7,4,7,3,4,6,3,4,5,3,4,4,2,3,3,5,8,10,2,10,7,6,9,4,16,12,12,10,9,7,8,12,13,6,8,9,12,11,10,7,12,7,5,12,12,14,16,11,15,8,8,15,13,6,7,10,9,4,13,14,12,9,8,6,7,10,9,8,7,6,10,7,3,8,10,10,12,11,5,6,2,7,8,4,4,5,5,6,5,2,4,4,3,5,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
千若町,チワカチョウ,男,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
千若町,チワカチョウ,女,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
 # 千若町１丁目,チワカチョウ1,男,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
 # 千若町１丁目,チワカチョウ1,女,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
 # 千若町２丁目,チワカチョウ2,男,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
 # 千若町２丁目,チワカチョウ2,女,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
