町名,フリガナ,性別,総数,0歳,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,10歳,11歳,12歳,13歳,14歳,15歳,16歳,17歳,18歳,19歳,20歳,21歳,22歳,23歳,24歳,25歳,26歳,27歳,28歳,29歳,30歳,31歳,32歳,33歳,34歳,35歳,36歳,37歳,38歳,39歳,40歳,41歳,42歳,43歳,44歳,45歳,46歳,47歳,48歳,49歳,50歳,51歳,52歳,53歳,54歳,55歳,56歳,57歳,58歳,59歳,60歳,61歳,62歳,63歳,64歳,65歳,66歳,67歳,68歳,69歳,70歳,71歳,72歳,73歳,74歳,75歳,76歳,77歳,78歳,79歳,80歳,81歳,82歳,83歳,84歳,85歳,86歳,87歳,88歳,89歳,90歳,91歳,92歳,93歳,94歳,95歳,96歳,97歳,98歳,99歳,100歳以上
金沢区合計,カナザワク_ゴウケイ,男,98004,568,654,671,770,740,760,711,794,807,858,875,890,875,834,958,911,934,905,1027,1140,1194,1108,1056,1092,988,969,943,909,893,941,930,1040,970,1026,1041,1092,1161,1153,1200,1174,1249,1359,1387,1450,1583,1651,1659,1596,1572,1627,1526,1568,1227,1528,1302,1320,1297,1282,1170,1222,1109,1149,1153,1211,1227,1231,1454,1516,1591,1742,1658,1655,963,1117,1267,1263,1204,1082,932,881,851,802,807,714,562,527,423,379,302,277,230,173,134,101,46,44,30,18,17,8,17
金沢区合計,カナザワク_ゴウケイ,女,101767,573,647,673,702,743,705,730,791,786,758,834,838,886,773,872,914,918,846,869,1001,966,1057,1012,1006,1010,889,871,921,805,884,930,861,919,970,1050,1077,1011,1140,1182,1115,1240,1343,1372,1437,1584,1623,1630,1613,1591,1540,1505,1546,1220,1476,1385,1248,1355,1213,1250,1186,1190,1179,1170,1337,1220,1365,1442,1591,1754,1854,1858,1812,1115,1177,1468,1361,1436,1364,1145,1023,1007,1002,981,901,835,798,679,649,524,495,408,345,325,266,198,162,115,108,72,53,91
朝比奈町,アサヒナチョウ,男,186,0,3,0,0,2,1,0,0,2,0,5,2,3,1,5,2,2,3,5,3,6,3,4,3,1,3,1,0,0,1,2,5,2,2,3,2,2,0,1,4,1,1,0,1,2,3,3,7,4,11,8,9,3,4,2,2,3,1,1,3,0,2,0,4,3,0,2,3,3,1,2,5,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
朝比奈町,アサヒナチョウ,女,185,2,0,0,2,1,1,4,1,2,3,3,1,3,4,4,4,5,1,0,3,2,2,5,4,3,2,0,1,2,3,0,1,1,1,1,3,1,3,4,1,1,2,0,4,3,5,4,5,3,12,8,5,2,2,4,4,1,1,1,1,1,1,2,1,0,1,1,2,0,4,3,0,0,1,2,1,0,0,1,1,1,1,2,1,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0
東朝比奈一丁目,ヒガシアサヒナ1,男,1216,6,8,7,9,7,7,9,7,5,9,14,10,5,8,11,11,7,4,17,18,11,6,8,8,9,10,6,9,5,8,7,13,13,7,11,15,4,13,10,16,14,13,21,23,21,18,12,15,20,24,23,21,12,19,19,14,15,11,13,11,12,17,12,11,19,12,17,16,18,23,17,19,10,17,37,30,33,20,19,25,21,9,17,13,13,13,8,11,3,6,4,4,1,1,1,0,0,0,0,0,0
東朝比奈一丁目,ヒガシアサヒナ1,女,1371,5,5,9,9,12,7,12,11,8,10,13,9,10,9,13,13,8,16,11,14,11,13,15,13,15,6,9,5,4,12,4,10,11,14,12,10,7,8,12,7,16,19,19,19,20,21,27,13,21,19,24,16,14,21,21,15,8,17,15,16,19,19,15,19,15,19,17,20,34,43,21,35,21,27,36,18,21,31,10,17,20,14,23,7,14,14,11,15,6,9,2,1,4,4,1,2,0,2,0,0,2
東朝比奈二丁目,ヒガシアサヒナ2,男,900,7,5,6,6,11,1,7,5,12,10,9,13,10,7,9,10,6,8,12,8,4,4,5,9,6,9,4,3,3,4,9,9,13,4,5,5,4,7,4,6,9,13,12,14,14,13,13,18,19,16,12,17,7,18,8,12,8,11,13,8,8,11,9,6,8,13,8,13,9,14,7,15,7,16,12,13,25,23,14,18,10,18,18,13,15,13,8,4,4,5,3,1,2,2,1,0,0,0,0,0,0
東朝比奈二丁目,ヒガシアサヒナ2,女,989,3,2,7,4,3,7,6,2,3,7,8,7,12,10,8,9,10,8,4,7,10,10,11,3,8,6,0,10,8,4,4,13,5,7,5,6,6,6,6,4,13,7,16,17,16,15,17,13,21,14,15,14,6,12,12,12,10,10,12,13,8,12,7,16,9,8,9,8,17,11,27,25,17,18,25,25,27,21,26,16,16,17,10,14,13,10,10,7,3,6,10,4,5,3,1,1,1,1,0,1,0
東朝比奈三丁目,ヒガシアサヒナ3,男,671,1,4,4,3,3,3,2,5,5,5,4,7,9,5,4,5,15,10,8,5,5,2,9,6,4,7,8,6,3,9,7,5,2,5,6,8,4,11,7,8,11,7,10,8,13,11,11,10,14,9,13,6,8,10,7,6,10,5,8,11,11,8,6,7,11,8,6,9,9,19,7,14,8,7,7,15,9,9,8,8,8,6,12,12,5,5,7,5,1,2,1,0,1,2,0,1,0,0,0,0,0
東朝比奈三丁目,ヒガシアサヒナ3,女,713,6,2,4,3,2,2,5,5,5,2,6,8,5,2,7,5,8,7,5,5,6,8,6,4,8,7,6,5,2,1,8,6,7,4,1,7,5,9,9,5,10,5,9,11,9,12,7,7,15,10,10,16,11,8,14,6,10,10,8,6,8,6,8,9,9,13,7,11,11,18,16,6,17,11,8,9,14,12,20,8,12,6,7,8,10,4,7,5,5,6,5,2,4,2,2,1,1,0,2,0,1
