町名,フリガナ,性別,総数,0歳,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,10歳,11歳,12歳,13歳,14歳,15歳,16歳,17歳,18歳,19歳,20歳,21歳,22歳,23歳,24歳,25歳,26歳,27歳,28歳,29歳,30歳,31歳,32歳,33歳,34歳,35歳,36歳,37歳,38歳,39歳,40歳,41歳,42歳,43歳,44歳,45歳,46歳,47歳,48歳,49歳,50歳,51歳,52歳,53歳,54歳,55歳,56歳,57歳,58歳,59歳,60歳,61歳,62歳,63歳,64歳,65歳,66歳,67歳,68歳,69歳,70歳,71歳,72歳,73歳,74歳,75歳,76歳,77歳,78歳,79歳,80歳,81歳,82歳,83歳,84歳,85歳,86歳,87歳,88歳,89歳,90歳,91歳,92歳,93歳,94歳,95歳,96歳,97歳,98歳,99歳,100歳,101歳,102歳,103歳,104歳,105歳,106歳,107歳,108歳,109歳,110歳,111歳,112歳,113歳,114歳,115歳,116歳,117歳,118歳,119歳,120歳以上
金沢区合計,カナザワク_ゴウケイ,男,96307,489,584,639,622,690,682,775,756,739,724,812,803,850,872,895,892,836,957,955,1037,1052,1169,1178,1096,969,1007,983,917,875,854,872,842,903,947,1030,958,990,1029,1056,1153,1173,1174,1167,1251,1377,1377,1457,1583,1658,1679,1604,1545,1611,1500,1558,1218,1496,1313,1313,1241,1254,1152,1190,1085,1138,1122,1189,1180,1191,1396,1463,1534,1686,1579,1557,903,1052,1184,1160,1096,972,840,770,735,679,681,571,422,416,306,259,203,154,134,83,72,46,27,18,12,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
金沢区合計,カナザワク_ゴウケイ,女,100191,466,539,579,623,668,681,694,723,707,727,801,791,764,845,847,877,797,879,973,989,935,967,1033,1003,980,916,880,874,776,747,791,766,841,920,841,890,946,1056,1059,1034,1166,1202,1141,1230,1353,1360,1456,1566,1609,1658,1623,1578,1536,1509,1533,1216,1463,1368,1271,1334,1202,1216,1185,1184,1174,1149,1317,1204,1348,1411,1548,1726,1828,1819,1754,1082,1128,1422,1317,1382,1298,1091,935,933,912,894,816,740,676,562,516,398,376,291,227,215,176,102,72,54,41,30,19,10,6,5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
朝比奈町,アサヒナチョウ,男,183,1,3,0,1,2,0,0,1,1,0,0,2,0,5,2,3,1,5,3,2,3,6,3,6,3,2,3,3,4,1,0,0,0,1,3,1,4,3,2,3,0,1,4,2,1,1,3,2,3,2,7,3,10,8,8,2,4,2,4,2,1,1,3,0,2,1,3,2,1,1,3,1,1,2,5,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
朝比奈町,アサヒナチョウ,女,179,1,0,2,1,0,1,2,2,1,4,1,2,5,3,1,3,4,5,4,6,2,0,1,2,1,1,4,1,2,0,1,1,3,0,2,1,1,0,2,1,3,5,1,1,2,0,4,3,5,7,5,3,11,7,5,0,3,3,4,1,1,1,1,1,1,1,1,0,0,2,2,0,4,3,0,1,1,2,1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
東朝比奈一丁目,ヒガシアサヒナ1,男,1260,7,9,14,7,9,10,7,8,7,8,7,6,8,15,12,7,8,10,10,10,4,17,17,12,10,10,8,6,10,11,10,14,12,10,16,18,14,15,15,6,17,13,14,13,17,26,25,19,20,13,17,21,23,21,19,12,20,19,14,12,12,13,8,13,17,12,13,19,10,16,16,19,21,15,18,10,11,35,27,32,18,18,17,19,9,15,10,10,12,8,6,3,4,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
東朝比奈一丁目,ヒガシアサヒナ1,女,1413,12,7,9,7,10,7,8,13,5,14,11,8,10,15,10,9,14,14,14,10,16,11,12,12,12,13,13,17,8,11,8,8,13,5,13,15,17,16,16,8,7,13,6,18,20,21,19,21,20,31,14,22,22,28,15,15,21,22,15,8,15,13,18,21,18,13,20,14,17,16,21,32,36,21,34,21,26,35,18,20,31,9,16,18,13,20,6,11,11,9,11,5,6,2,1,3,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
東朝比奈二丁目,ヒガシアサヒナ2,男,872,5,5,4,6,5,5,9,16,2,8,6,12,10,10,13,10,8,10,10,5,7,12,5,4,7,6,5,8,6,2,2,5,4,14,10,14,4,5,4,7,6,3,7,10,14,12,15,13,11,10,19,18,17,11,19,6,18,8,13,8,12,10,8,7,10,8,6,6,12,8,11,10,15,7,15,6,12,11,10,23,20,13,18,7,13,13,12,10,12,6,3,2,5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
東朝比奈二丁目,ヒガシアサヒナ2,女,960,2,2,2,5,2,7,5,5,8,7,3,3,8,8,9,12,10,8,9,10,8,4,8,7,6,9,3,6,3,2,9,8,8,3,11,5,9,5,8,6,6,6,5,13,9,16,17,16,13,20,14,21,14,12,14,6,12,11,12,9,10,12,13,8,11,7,16,9,7,9,8,14,9,27,25,15,16,24,25,26,19,26,14,16,14,9,13,12,6,9,8,2,3,7,2,4,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
東朝比奈三丁目,ヒガシアサヒナ3,男,638,2,3,4,3,3,3,2,3,3,2,4,4,5,4,6,9,6,3,5,14,8,9,6,10,3,8,3,2,5,6,6,6,8,7,6,3,7,5,8,3,9,5,5,6,8,10,10,12,10,13,10,13,7,12,6,6,10,7,5,10,4,13,10,10,11,6,6,13,8,5,9,8,17,7,13,6,6,8,14,8,9,7,8,6,5,9,7,5,5,7,4,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
東朝比奈三丁目,ヒガシアサヒナ3,女,704,2,4,0,5,3,4,3,1,2,5,6,5,3,6,9,6,2,7,5,6,8,6,4,7,6,5,4,4,5,4,7,3,1,7,7,8,4,2,5,7,6,7,6,8,5,11,11,13,12,8,7,14,10,9,15,11,7,14,6,12,9,8,5,7,6,6,10,9,12,7,11,9,20,18,6,17,12,9,9,12,12,21,8,13,7,9,7,10,1,6,6,4,5,2,2,2,2,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大道一丁目,ダイドウ1,男,1123,6,3,8,10,6,7,9,7,5,6,5,10,10,9,10,11,10,13,11,13,8,6,8,10,8,12,13,14,9,17,15,13,12,11,15,8,8,23,13,6,16,16,19,11,18,16,14,14,17,12,15,16,20,22,23,7,17,9,17,7,8,7,18,10,15,10,23,12,23,8,17,20,24,21,25,12,13,18,20,20,14,3,8,9,8,13,10,7,5,3,3,1,3,2,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大道一丁目,ダイドウ1,女,1103,16,3,9,8,9,6,8,7,6,5,3,6,6,8,7,7,9,8,6,7,9,7,11,12,3,8,7,10,8,8,12,10,11,17,8,11,9,11,9,8,13,12,15,10,10,19,19,11,18,22,9,16,14,11,13,8,8,8,13,14,13,13,11,9,13,14,16,15,12,13,20,30,15,24,27,11,11,26,20,22,14,16,11,17,15,14,18,13,8,10,13,3,4,6,1,2,1,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大道二丁目,ダイドウ2,男,698,5,9,14,11,9,4,5,4,10,13,7,8,6,11,11,4,3,4,5,5,5,1,7,9,3,5,7,3,11,7,3,13,7,4,7,8,13,15,12,13,7,10,12,10,13,7,14,8,5,13,10,6,12,9,8,8,8,8,7,14,4,3,7,13,10,7,8,4,13,8,13,7,13,8,6,7,1,11,7,4,9,5,8,3,1,3,6,3,3,3,2,4,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
