町名,フリガナ,性別,総数,0歳,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,10歳,11歳,12歳,13歳,14歳,15歳,16歳,17歳,18歳,19歳,20歳,21歳,22歳,23歳,24歳,25歳,26歳,27歳,28歳,29歳,30歳,31歳,32歳,33歳,34歳,35歳,36歳,37歳,38歳,39歳,40歳,41歳,42歳,43歳,44歳,45歳,46歳,47歳,48歳,49歳,50歳,51歳,52歳,53歳,54歳,55歳,56歳,57歳,58歳,59歳,60歳,61歳,62歳,63歳,64歳,65歳,66歳,67歳,68歳,69歳,70歳,71歳,72歳,73歳,74歳,75歳,76歳,77歳,78歳,79歳,80歳,81歳,82歳,83歳,84歳,85歳,86歳,87歳,88歳,89歳,90歳,91歳,92歳,93歳,94歳,95歳,96歳,97歳,98歳,99歳,100歳以上
港北区合計,コウホクク_ゴウケイ,男,168497,1786,1692,1623,1618,1495,1311,1458,1412,1348,1305,1389,1343,1426,1466,1413,1409,1432,1329,1416,1586,1649,1658,1809,1978,2080,2145,2364,2432,2692,2766,2929,2961,2867,2869,3018,2978,2997,3032,3117,3135,3278,3212,3148,3201,3197,3200,3198,3128,2395,2885,2582,2449,2309,2159,2102,1939,1846,1697,1681,1780,1646,1725,1782,1838,1970,2162,2237,2021,1272,1347,1476,1505,1452,1379,1291,1055,1092,992,1057,930,810,784,706,610,562,463,424,383,340,266,219,160,117,103,55,42,32,25,22,13,13
港北区合計,コウホクク_ゴウケイ,女,167965,1680,1649,1515,1471,1387,1462,1348,1324,1315,1288,1300,1355,1346,1276,1421,1406,1423,1331,1363,1422,1528,1590,1728,1832,2031,2163,2245,2362,2539,2746,2618,2720,2644,2728,2661,2767,2825,2823,2949,2853,3075,3061,3011,3102,2940,2958,2795,2772,2156,2565,2344,2208,2061,2045,1931,1836,1802,1599,1693,1644,1617,1635,1823,1814,1947,2199,2229,2126,1360,1483,1735,1740,1715,1649,1512,1267,1337,1315,1338,1242,1198,1098,1016,1002,945,824,773,654,613,577,433,350,343,249,225,132,115,83,76,43,101
富士塚一丁目,フジヅカ1,男,968,6,3,5,5,9,4,5,9,6,8,9,10,8,11,6,10,16,8,13,10,16,12,11,8,13,10,16,14,14,15,10,13,13,14,11,15,9,12,5,15,15,11,11,18,22,15,13,22,10,9,12,17,19,22,17,17,21,12,14,15,11,11,9,14,14,10,14,16,12,9,12,6,6,7,12,12,10,6,7,6,6,4,2,8,7,5,4,0,2,1,1,1,1,2,0,0,1,0,0,0,0
富士塚一丁目,フジヅカ1,女,1022,5,2,7,10,12,7,7,5,6,12,10,9,4,9,5,9,5,12,1,7,14,11,9,14,6,14,13,11,12,6,8,11,17,9,8,14,8,10,16,8,14,15,14,22,13,17,15,18,13,19,10,20,22,17,17,17,17,16,19,10,5,12,13,15,7,17,20,17,11,12,8,10,8,14,7,10,15,9,13,10,12,10,8,13,4,9,5,8,5,5,9,1,3,5,2,1,0,0,0,1,0
富士塚二丁目,フジヅカ2,男,1414,8,10,7,12,12,7,5,5,10,12,9,9,14,15,16,15,10,13,15,17,12,20,17,19,18,22,24,21,25,26,22,23,29,19,14,17,23,21,26,19,24,17,19,23,15,17,22,22,31,34,15,35,26,23,20,19,18,16,14,16,14,23,14,18,14,29,27,26,8,11,9,13,12,13,12,5,7,10,8,7,6,10,7,9,5,5,4,6,6,2,1,2,1,3,0,0,3,0,0,0,0
富士塚二丁目,フジヅカ2,女,1450,16,6,9,5,13,8,11,14,9,8,9,10,10,8,18,19,7,14,14,14,14,12,16,27,17,23,21,22,22,19,13,19,20,13,24,16,18,15,16,21,21,12,22,13,17,22,27,26,28,23,37,22,24,18,15,15,21,18,14,26,26,14,29,18,13,22,35,14,8,8,13,7,13,5,16,12,16,9,18,10,12,8,8,7,13,14,9,11,13,7,7,3,5,6,3,0,1,3,1,1,1
日吉一丁目,ヒヨシ1,男,1055,4,5,8,5,10,6,15,6,3,2,10,7,6,11,9,5,13,7,17,7,9,12,16,19,9,17,22,12,26,25,25,14,14,17,16,12,11,10,21,14,16,17,19,13,17,21,12,18,18,17,13,11,8,10,11,14,17,9,14,18,10,7,14,13,17,19,10,17,11,10,11,11,18,9,14,7,10,5,8,7,8,8,5,2,4,1,4,8,2,2,3,3,2,4,0,0,0,0,0,0,1
日吉一丁目,ヒヨシ1,女,1153,11,11,7,9,5,7,5,4,7,3,11,5,4,4,11,9,7,11,6,8,8,12,12,16,21,13,22,19,17,23,16,12,14,22,24,13,10,18,20,14,15,13,19,19,13,14,14,18,11,14,11,19,19,11,14,16,14,6,17,12,14,15,16,14,16,15,15,12,16,14,15,16,15,8,8,15,10,11,8,13,11,8,6,11,12,11,11,9,8,12,3,6,7,2,1,1,1,1,2,0,4
日吉二丁目,ヒヨシ2,男,1505,14,12,14,10,10,6,10,6,6,7,12,6,6,11,13,6,5,5,10,18,19,21,40,38,34,31,41,26,36,32,42,24,26,25,31,32,24,35,29,37,21,25,23,21,24,32,14,20,10,16,14,21,24,7,18,16,10,14,16,18,18,17,11,15,17,19,21,19,13,8,14,11,10,12,9,11,10,14,7,8,8,7,8,5,8,3,6,2,3,4,0,3,2,1,3,0,1,2,1,0,0
日吉二丁目,ヒヨシ2,女,1498,6,12,7,12,8,9,4,7,6,7,10,2,10,5,5,9,6,9,9,14,17,19,21,28,28,34,26,34,36,34,32,29,25,27,29,33,24,25,25,20,25,25,22,17,19,18,22,25,16,23,15,16,17,17,9,18,13,15,12,9,11,30,14,20,11,26,27,24,12,10,16,13,14,23,15,9,11,15,14,7,12,8,9,9,11,13,8,6,7,7,6,4,10,3,2,2,1,0,0,0,2
日吉三丁目,ヒヨシ3,男,1260,8,10,3,6,8,4,4,3,4,4,9,15,5,3,7,11,6,3,2,17,25,27,24,33,41,29,36,40,35,40,36,38,35,37,30,24,37,18,35,22,13,22,30,19,21,23,20,16,15,16,17,12,11,12,9,15,14,8,5,14,6,9,7,4,10,14,11,7,7,5,7,11,7,5,9,3,6,3,9,7,0,3,4,2,1,1,5,1,3,2,2,0,1,0,0,0,0,1,1,0,0
日吉三丁目,ヒヨシ3,女,1024,6,11,5,7,3,4,3,11,2,6,6,4,10,5,6,7,5,5,6,10,17,17,13,18,14,21,22,21,29,30,18,25,19,18,15,22,22,27,17,15,14,17,17,21,17,17,21,15,8,13,13,9,13,9,9,9,8,12,11,3,9,4,9,10,9,11,13,7,8,3,6,13,10,11,16,3,8,5,9,7,12,12,8,9,8,6,6,1,1,2,0,0,3,1,2,0,1,0,1,1,1
日吉四丁目,ヒヨシ4,男,933,12,5,7,4,5,6,1,2,3,3,3,6,5,8,5,5,8,3,4,12,27,16,18,25,37,18,28,23,25,32,32,23,12,25,23,13,18,17,9,16,12,14,16,13,17,20,16,11,9,11,10,11,8,5,8,17,9,6,6,7,5,6,5,18,7,6,8,3,6,8,14,6,6,1,6,7,5,5,2,4,4,3,5,3,7,2,5,3,0,0,2,0,0,0,1,0,0,0,0,0,0
