町名,フリガナ,性別,総数,0歳,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,10歳,11歳,12歳,13歳,14歳,15歳,16歳,17歳,18歳,19歳,20歳,21歳,22歳,23歳,24歳,25歳,26歳,27歳,28歳,29歳,30歳,31歳,32歳,33歳,34歳,35歳,36歳,37歳,38歳,39歳,40歳,41歳,42歳,43歳,44歳,45歳,46歳,47歳,48歳,49歳,50歳,51歳,52歳,53歳,54歳,55歳,56歳,57歳,58歳,59歳,60歳,61歳,62歳,63歳,64歳,65歳,66歳,67歳,68歳,69歳,70歳,71歳,72歳,73歳,74歳,75歳,76歳,77歳,78歳,79歳,80歳,81歳,82歳,83歳,84歳,85歳,86歳,87歳,88歳,89歳,90歳,91歳,92歳,93歳,94歳,95歳,96歳,97歳,98歳,99歳,100歳,101歳,102歳,103歳,104歳,105歳,106歳,107歳,108歳,109歳,110歳,111歳,112歳,113歳,114歳,115歳,116歳,117歳,118歳,119歳,120歳以上
港北区合計,コウホクク_ゴウケイ,男,175265,1479,1543,1543,1617,1609,1567,1617,1564,1454,1484,1536,1472,1303,1435,1453,1363,1314,1398,1405,1562,1702,1809,1992,2236,2424,2453,2581,2616,2566,2620,2558,2545,2379,2470,2574,2526,2713,2748,2687,2734,2632,2769,2740,2848,2881,3012,2991,3132,3108,3040,3115,3055,3099,3048,3017,2339,2787,2461,2340,2180,1998,1948,1849,1727,1570,1587,1594,1490,1533,1543,1635,1731,1900,1931,1720,1084,1118,1274,1253,1163,1085,1016,802,764,716,721,611,503,446,402,317,257,190,161,134,97,65,35,19,12,8,3,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
港北区合計,コウホクク_ゴウケイ,女,176942,1440,1462,1433,1430,1418,1528,1475,1497,1452,1449,1389,1310,1444,1371,1303,1325,1321,1317,1413,1512,1539,1781,1990,2320,2361,2443,2440,2517,2517,2524,2447,2488,2497,2399,2430,2407,2578,2562,2507,2534,2503,2561,2682,2671,2687,2863,2814,3044,2975,2987,3063,2960,2938,2801,2770,2137,2499,2287,2135,1975,1930,1854,1728,1705,1520,1606,1570,1536,1549,1717,1713,1827,2071,2063,1977,1289,1367,1585,1612,1570,1492,1333,1109,1158,1104,1114,1002,929,816,722,690,591,501,438,291,255,225,161,94,89,42,26,15,19,3,2,5,1,2,0,2,0,0,0,0,0,0,0,0,0,0
富士塚一丁目,フジヅカ1,男,993,7,3,10,5,5,8,9,4,3,8,10,11,5,6,11,5,12,9,11,8,13,8,13,20,11,18,22,12,11,10,10,11,10,9,7,12,20,20,13,15,12,13,14,11,13,7,14,19,14,10,19,21,15,14,19,11,7,12,18,19,20,15,16,21,12,13,14,8,9,8,12,14,8,13,13,10,7,12,4,5,6,8,8,9,3,3,6,2,2,1,6,3,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
富士塚一丁目,フジヅカ1,女,1029,4,8,6,7,4,6,8,11,2,5,10,12,11,9,7,7,12,12,9,4,11,8,11,9,16,9,15,9,12,12,10,5,17,6,8,13,13,13,11,16,10,10,12,12,8,22,11,11,12,18,19,15,16,17,16,15,17,8,19,20,16,17,14,19,14,17,10,5,9,13,14,7,16,16,14,11,10,7,10,8,11,5,7,12,10,7,10,10,6,7,7,3,6,3,3,1,1,3,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
富士塚二丁目,フジヅカ2,男,1467,11,10,14,12,15,13,8,15,14,10,15,13,11,5,7,14,12,10,11,16,16,22,22,17,23,21,21,20,20,25,16,22,19,18,21,16,25,21,14,21,18,14,16,16,22,19,18,26,16,23,22,17,15,27,23,33,34,13,38,23,25,21,19,19,14,11,15,11,24,12,17,15,26,24,19,7,10,9,5,9,11,9,5,6,9,8,4,4,7,4,4,4,2,2,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
富士塚二丁目,フジヅカ2,女,1525,17,9,10,16,5,9,12,17,7,13,8,14,10,12,12,9,13,10,12,14,11,21,21,17,22,19,19,24,24,24,19,15,16,15,13,18,24,17,21,22,14,21,22,19,19,17,20,18,18,25,14,20,17,34,31,34,20,34,21,21,19,16,16,22,16,13,25,24,13,25,17,12,22,33,13,7,8,11,6,13,5,13,11,15,6,16,5,5,8,6,4,9,8,10,5,6,4,2,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
日吉一丁目,ヒヨシ1,男,1117,7,3,3,8,11,2,8,5,8,12,8,13,9,14,7,6,4,12,10,10,15,18,16,15,10,20,23,20,18,17,16,19,22,8,8,18,21,18,10,14,21,9,13,13,14,21,18,12,20,19,16,18,16,11,18,19,18,13,10,11,10,13,17,17,9,16,21,8,7,15,13,14,14,9,12,10,7,9,9,15,7,10,6,7,4,6,6,6,7,4,1,1,1,1,4,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
日吉一丁目,ヒヨシ1,女,1160,10,8,4,12,2,9,10,5,9,9,6,6,6,4,6,8,4,9,7,7,9,15,15,15,17,17,18,10,25,18,16,18,6,20,13,9,18,14,14,15,14,14,15,10,12,21,13,14,14,21,19,19,14,18,22,13,16,14,20,17,12,14,16,13,7,15,16,13,18,15,13,12,15,11,12,15,13,14,16,12,8,6,14,9,8,7,11,10,6,5,9,9,6,5,3,1,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
日吉二丁目,ヒヨシ2,男,1570,15,14,21,8,13,12,16,11,7,13,9,6,5,9,12,5,8,12,7,10,17,20,22,27,31,22,29,35,21,30,34,26,35,30,26,29,26,43,24,27,20,24,17,16,34,30,29,25,26,24,14,23,28,25,28,16,18,16,20,24,11,15,16,11,14,16,18,17,15,11,13,14,17,16,15,13,6,14,11,7,12,6,6,7,10,6,7,4,2,6,0,6,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
日吉二丁目,ヒヨシ2,女,1631,18,13,9,14,9,15,11,5,10,9,8,9,11,8,11,4,9,9,4,14,13,20,20,30,31,36,34,34,27,29,22,24,33,26,24,35,42,25,26,19,22,25,25,23,21,19,21,26,29,18,17,21,21,28,26,17,21,13,19,24,17,14,16,13,12,13,9,11,27,16,15,12,24,23,23,11,10,14,10,13,21,14,8,9,10,11,4,10,7,9,7,5,9,4,3,2,3,0,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
