町名,フリガナ,性別,総数,0歳,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,10歳,11歳,12歳,13歳,14歳,15歳,16歳,17歳,18歳,19歳,20歳,21歳,22歳,23歳,24歳,25歳,26歳,27歳,28歳,29歳,30歳,31歳,32歳,33歳,34歳,35歳,36歳,37歳,38歳,39歳,40歳,41歳,42歳,43歳,44歳,45歳,46歳,47歳,48歳,49歳,50歳,51歳,52歳,53歳,54歳,55歳,56歳,57歳,58歳,59歳,60歳,61歳,62歳,63歳,64歳,65歳,66歳,67歳,68歳,69歳,70歳,71歳,72歳,73歳,74歳,75歳,76歳,77歳,78歳,79歳,80歳,81歳,82歳,83歳,84歳,85歳,86歳,87歳,88歳,89歳,90歳,91歳,92歳,93歳,94歳,95歳,96歳,97歳,98歳,99歳,100歳以上
港南区合計,コウナンク_ゴウケイ,男,106139,805,780,829,847,840,898,922,888,866,957,898,1002,936,950,977,1045,1031,1083,1066,1049,1021,1034,959,982,1018,1004,1000,1095,1096,1117,1200,1184,1235,1245,1281,1287,1290,1378,1535,1532,1638,1776,1912,1874,1896,1836,1845,1798,1850,1407,1706,1612,1557,1416,1358,1311,1306,1273,1196,1184,1293,1180,1242,1341,1528,1509,1697,1786,1639,1015,1170,1347,1390,1381,1307,1180,1068,1132,1084,1055,933,758,707,682,611,458,401,315,297,198,160,108,81,53,36,32,14,11,10,7,10
港南区合計,コウナンク_ゴウケイ,女,110788,717,710,798,777,839,881,840,838,805,849,885,915,989,926,1032,987,1029,999,968,1004,1044,1016,1054,992,938,980,1061,1140,1035,972,1065,1182,1288,1148,1207,1288,1292,1350,1430,1520,1577,1719,1839,1861,1924,1797,1862,1711,1709,1399,1708,1533,1449,1437,1323,1305,1345,1218,1217,1175,1321,1249,1286,1437,1546,1714,1867,1990,1954,1256,1308,1717,1644,1666,1624,1449,1163,1303,1243,1282,1155,1015,987,855,735,661,611,511,446,367,316,247,201,178,164,130,79,63,48,37,65
東永谷一丁目,ヒガシナガヤ1,男,971,5,6,6,6,8,6,8,4,8,9,8,16,11,14,7,15,10,13,16,10,6,13,11,9,8,7,4,10,12,7,8,7,8,5,12,10,5,2,11,9,8,18,17,15,23,15,24,16,12,16,23,13,15,18,11,11,14,19,12,8,5,5,9,10,13,10,17,11,13,9,10,7,14,13,17,12,11,14,13,18,13,13,16,7,9,5,5,3,6,0,1,1,0,1,1,0,1,0,0,0,0
東永谷一丁目,ヒガシナガヤ1,女,1060,7,4,6,6,7,11,9,8,7,4,12,5,7,9,11,18,7,14,6,13,11,13,10,10,6,10,10,7,8,7,5,5,13,5,11,7,4,8,9,14,14,11,20,21,16,21,20,15,21,18,14,14,9,12,10,15,12,12,7,7,10,9,12,9,10,21,19,13,14,10,15,17,22,19,24,17,17,13,19,26,13,10,13,15,6,7,12,7,7,4,4,4,4,1,0,2,0,1,1,0,0
東永谷二丁目,ヒガシナガヤ2,男,585,3,6,4,6,5,8,8,7,3,4,6,7,3,4,4,6,4,3,3,5,5,8,2,7,8,4,3,8,5,6,6,5,3,8,13,7,7,14,4,10,12,6,12,10,4,9,10,8,10,5,7,7,8,7,12,8,11,5,6,11,6,9,3,9,12,8,4,8,11,4,11,10,6,8,4,6,5,7,7,6,9,10,3,3,6,1,2,0,0,3,1,1,0,0,1,0,0,1,0,0,0
東永谷二丁目,ヒガシナガヤ2,女,619,5,7,4,5,6,4,8,2,2,7,4,4,8,8,6,8,4,3,5,4,5,10,6,4,8,9,6,2,2,6,4,5,9,6,5,10,12,6,5,6,9,11,13,6,13,6,8,10,5,4,11,4,9,14,9,9,6,8,7,4,5,7,9,8,6,7,9,13,11,7,8,8,10,6,10,5,8,6,12,20,4,7,5,4,3,5,4,6,2,4,2,0,0,2,0,0,0,0,0,0,0
東永谷三丁目,ヒガシナガヤ3,男,1693,6,10,8,9,9,11,12,15,10,12,10,17,10,18,10,16,19,22,15,18,20,29,16,19,22,19,12,16,23,20,8,18,20,16,12,13,18,14,22,29,21,27,35,24,22,27,24,25,31,20,20,30,36,26,29,31,28,26,21,16,17,19,17,29,27,23,18,31,28,16,14,32,19,22,28,25,12,26,22,21,17,13,14,18,10,7,8,4,2,2,1,3,3,1,0,0,0,1,1,0,0
東永谷三丁目,ヒガシナガヤ3,女,1768,7,11,9,9,11,11,8,10,8,7,16,14,9,13,14,19,9,19,17,24,23,21,22,20,11,10,28,22,13,11,14,12,19,12,20,14,16,22,11,25,18,24,18,19,28,21,36,22,33,27,29,32,28,29,26,27,27,24,22,16,18,16,32,30,15,31,25,21,36,24,31,31,28,30,27,30,25,28,26,20,20,18,12,15,13,13,11,6,6,11,3,4,1,1,5,1,0,1,2,2,2
日限山一丁目,ヒギリヤマ1,男,1877,5,11,11,17,4,15,20,17,18,16,28,21,18,31,19,22,20,19,20,22,28,19,14,22,13,13,17,24,10,13,8,10,19,10,17,17,10,18,17,24,24,36,30,31,42,34,38,37,49,41,36,41,35,27,40,37,22,24,16,22,18,16,25,15,19,12,31,26,17,18,6,17,22,20,25,27,24,23,24,28,15,14,13,12,19,14,11,6,6,3,3,1,4,1,1,2,0,0,0,0,0
日限山一丁目,ヒギリヤマ1,女,2039,8,13,11,9,14,20,13,19,17,19,19,26,20,18,27,28,26,24,30,32,23,15,22,15,15,16,11,16,20,10,9,16,17,14,12,18,21,12,16,43,28,34,20,47,40,47,41,27,45,36,46,29,31,36,26,24,25,27,25,15,23,16,15,14,23,18,28,31,26,10,23,30,37,34,34,24,24,18,26,24,27,19,17,14,11,15,7,13,13,10,5,5,7,3,4,3,3,0,1,0,1
日限山二丁目,ヒギリヤマ2,男,509,1,3,4,2,3,4,2,8,8,2,9,8,2,4,7,6,9,7,2,6,5,4,15,7,1,5,4,2,3,1,1,3,2,1,3,4,3,3,4,5,5,5,6,7,3,5,10,8,9,7,6,11,12,11,11,9,10,10,4,6,12,4,6,2,7,7,8,10,9,7,6,7,3,4,7,6,6,12,11,9,4,8,4,5,2,2,3,4,3,0,1,1,0,0,1,0,0,0,0,0,0
日限山二丁目,ヒギリヤマ2,女,554,0,1,0,1,4,1,3,4,2,3,3,4,3,5,3,5,3,8,7,7,5,7,5,12,8,1,5,7,2,2,4,4,2,0,1,1,7,6,5,6,5,5,7,15,9,10,14,13,9,5,8,11,20,8,6,7,14,10,5,6,5,4,5,8,8,7,8,6,9,13,8,10,16,12,5,11,5,5,7,10,5,3,5,5,6,2,4,3,4,1,0,2,3,0,0,3,1,0,1,0,0
日限山三丁目,ヒギリヤマ3,男,953,3,5,5,7,12,9,5,10,5,12,7,9,11,6,15,10,11,11,16,9,8,12,5,5,8,5,5,3,6,6,8,9,5,8,9,9,7,11,15,9,9,14,14,20,16,14,22,10,14,14,24,9,10,7,8,6,9,8,3,4,5,8,8,9,6,8,10,22,15,8,19,10,19,32,19,22,24,23,24,15,23,12,8,10,6,4,2,2,5,1,4,1,2,0,0,1,0,0,0,0,0
日限山三丁目,ヒギリヤマ3,女,977,5,10,9,6,10,7,6,7,5,4,11,7,5,10,8,4,10,11,8,7,6,5,6,6,5,6,7,5,2,3,8,12,10,7,3,5,4,11,16,16,12,12,15,19,19,14,22,17,18,8,18,12,9,7,9,7,8,6,6,6,6,8,10,14,14,9,33,18,30,16,24,18,28,34,30,18,20,9,17,15,9,5,9,10,5,9,3,4,1,5,2,0,3,1,1,1,0,0,1,0,0
日限山四丁目,ヒギリヤマ4,男,954,4,6,3,5,5,7,9,3,10,8,5,7,4,9,3,13,14,15,10,11,7,7,4,4,6,6,7,4,9,9,4,5,6,7,4,6,5,10,9,18,10,21,15,13,6,12,17,17,14,15,14,16,10,13,9,12,10,7,6,6,8,8,10,4,6,9,17,14,16,13,18,18,23,34,29,18,21,15,28,20,16,11,16,7,11,6,6,1,7,6,3,1,0,0,0,1,1,1,0,0,0
日限山四丁目,ヒギリヤマ4,女,1047,5,3,3,7,14,6,7,8,10,9,10,11,8,11,8,7,6,5,6,13,9,7,6,4,1,7,6,5,12,4,1,7,3,4,2,8,5,7,8,9,15,16,16,16,22,14,21,15,13,13,15,15,13,10,6,9,11,4,12,4,10,6,8,10,10,20,26,22,30,25,28,36,27,38,28,21,17,19,13,16,8,12,11,12,8,7,7,5,3,6,2,4,2,2,6,3,2,3,0,0,2
日野一丁目,ヒノ1,男,375,8,3,5,3,4,5,8,3,7,5,4,5,3,1,2,5,2,3,3,2,1,0,2,2,3,2,6,3,5,6,6,9,9,3,3,9,7,4,12,4,6,7,9,2,7,4,5,8,9,5,5,4,5,3,5,6,6,4,4,6,3,3,5,1,5,4,7,4,4,2,3,5,6,3,6,7,1,3,2,5,2,1,1,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
日野一丁目,ヒノ1,女,393,5,1,4,5,2,2,5,2,5,3,2,4,5,6,1,5,5,3,5,4,5,1,3,5,4,3,5,6,5,3,7,8,2,4,1,10,7,4,5,5,8,8,5,16,4,6,4,8,2,4,7,5,4,7,3,2,4,2,5,4,6,5,4,4,6,5,4,6,4,7,5,4,6,5,2,2,5,2,3,0,4,4,1,2,6,4,0,0,2,1,2,0,0,1,2,2,0,0,0,1,1
