町名,フリガナ,性別,総数,0歳,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,10歳,11歳,12歳,13歳,14歳,15歳,16歳,17歳,18歳,19歳,20歳,21歳,22歳,23歳,24歳,25歳,26歳,27歳,28歳,29歳,30歳,31歳,32歳,33歳,34歳,35歳,36歳,37歳,38歳,39歳,40歳,41歳,42歳,43歳,44歳,45歳,46歳,47歳,48歳,49歳,50歳,51歳,52歳,53歳,54歳,55歳,56歳,57歳,58歳,59歳,60歳,61歳,62歳,63歳,64歳,65歳,66歳,67歳,68歳,69歳,70歳,71歳,72歳,73歳,74歳,75歳,76歳,77歳,78歳,79歳,80歳,81歳,82歳,83歳,84歳,85歳,86歳,87歳,88歳,89歳,90歳,91歳,92歳,93歳,94歳,95歳,96歳,97歳,98歳,99歳,100歳,101歳,102歳,103歳,104歳,105歳,106歳,107歳,108歳,109歳,110歳,111歳,112歳,113歳,114歳,115歳,116歳,117歳,118歳,119歳,120歳以上
港南区合計,コウナンク_ゴウケイ,男,104700,699,727,719,740,761,730,795,835,840,873,852,895,955,882,878,990,912,1003,948,977,997,1101,1075,1142,1100,1078,1069,1017,1013,982,1106,1045,1097,1112,1139,1182,1174,1216,1253,1261,1317,1301,1388,1369,1546,1522,1646,1775,1903,1869,1856,1838,1825,1763,1795,1402,1702,1566,1511,1357,1302,1271,1240,1202,1118,1113,1198,1119,1151,1239,1433,1392,1565,1633,1482,912,1017,1174,1204,1172,1103,977,862,857,799,757,634,477,418,380,328,216,175,113,98,57,39,20,12,11,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
港南区合計,コウナンク_ゴウケイ,女,110295,654,667,679,713,743,702,786,733,840,797,843,895,863,849,833,852,898,942,1000,933,1035,1013,1063,1045,998,1054,1117,1082,1011,1031,988,1015,1035,1108,1067,1025,1065,1182,1279,1150,1245,1334,1324,1370,1424,1519,1557,1763,1859,1868,1937,1836,1847,1721,1696,1386,1685,1498,1421,1420,1296,1278,1310,1181,1171,1169,1281,1223,1244,1400,1480,1656,1809,1903,1866,1195,1236,1604,1550,1553,1487,1305,1015,1152,1089,1069,921,811,754,605,505,421,383,297,217,151,130,92,55,50,32,21,12,5,6,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
東永谷一丁目,ヒガシナガヤ1,男,907,9,4,5,5,4,5,3,9,10,4,10,7,9,6,6,13,12,15,9,13,5,12,10,8,10,9,5,7,3,8,12,6,5,11,10,10,6,10,5,6,9,12,6,3,10,10,9,19,17,14,21,18,22,15,13,16,23,14,15,17,12,13,14,20,9,9,4,4,7,9,11,8,17,8,11,9,9,6,11,12,17,11,8,11,10,16,6,7,9,0,2,1,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
東永谷一丁目,ヒガシナガヤ1,女,981,4,4,5,3,6,10,8,3,8,7,6,11,9,9,8,6,13,3,5,8,11,15,5,10,5,5,9,10,5,15,8,3,6,5,10,6,5,8,10,6,10,8,6,7,8,14,15,11,21,20,15,19,22,15,19,15,13,16,9,14,10,13,13,10,5,7,8,10,10,9,10,21,17,13,12,9,13,15,21,18,21,16,13,11,18,22,11,7,8,10,2,6,7,4,4,3,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
東永谷二丁目,ヒガシナガヤ2,男,573,2,3,6,5,5,4,7,7,5,6,7,7,4,7,4,5,5,9,4,3,5,6,3,2,4,3,5,5,2,5,3,1,5,6,6,8,9,6,6,9,12,8,4,12,6,9,13,5,13,13,8,11,10,8,9,4,8,6,8,7,10,6,11,5,7,10,6,7,3,8,10,6,4,5,10,4,10,9,5,8,3,5,5,5,6,5,6,5,3,3,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
東永谷二丁目,ヒガシナガヤ2,女,609,3,4,4,7,4,4,7,9,6,6,7,4,9,3,4,7,4,5,9,8,5,7,4,3,6,6,3,6,4,4,3,7,4,2,4,7,8,6,12,6,3,11,13,6,4,8,9,11,13,5,14,9,6,10,4,3,11,6,10,13,9,9,5,8,7,3,5,7,9,5,5,6,9,11,8,6,8,8,7,6,8,6,7,5,7,15,3,5,3,3,2,3,1,4,0,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
東永谷三丁目,ヒガシナガヤ3,男,1620,4,9,9,6,11,11,10,12,8,12,9,12,11,13,11,13,12,18,9,20,9,15,16,19,18,11,17,14,10,11,23,19,19,15,26,26,15,19,22,18,12,15,22,18,21,26,23,34,30,25,25,32,24,28,30,22,22,28,34,26,27,24,22,20,19,15,14,20,15,25,24,22,17,28,24,13,13,27,20,19,25,19,10,22,16,11,11,8,8,10,5,1,3,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
東永谷三丁目,ヒガシナガヤ3,女,1725,14,10,13,8,12,19,10,17,8,13,14,10,12,11,8,12,16,16,7,12,14,19,9,13,13,22,20,15,13,10,14,14,23,23,23,17,16,15,18,14,16,15,17,21,12,17,18,27,19,23,31,22,37,23,33,29,26,27,26,25,22,26,26,24,18,18,17,18,30,26,15,29,22,21,35,22,28,28,24,27,24,27,24,22,21,19,16,13,11,8,8,8,7,2,2,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
日限山一丁目,ヒギリヤマ1,男,1961,12,16,13,21,17,6,14,20,15,20,6,17,20,20,21,19,30,23,15,28,20,23,22,19,24,14,21,14,15,15,8,12,24,24,14,23,16,17,25,13,26,17,16,26,31,26,25,35,45,35,45,41,40,39,41,42,37,43,31,30,40,36,22,24,18,22,15,14,20,15,18,13,30,22,15,15,6,14,22,18,24,20,17,19,17,21,9,10,7,8,9,3,4,3,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
日限山一丁目,ヒギリヤマ1,女,2137,11,13,9,15,15,17,15,22,18,18,19,23,16,19,16,18,17,32,16,19,27,26,28,20,26,29,19,14,15,14,18,21,15,22,24,14,12,22,21,16,21,25,26,17,20,50,30,40,28,48,39,45,41,29,50,38,47,28,30,34,25,23,28,24,24,16,21,19,14,16,21,19,23,29,26,10,22,25,38,32,33,22,23,18,21,18,21,16,10,12,8,11,4,11,5,3,4,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
日限山二丁目,ヒギリヤマ2,男,485,1,3,1,1,2,1,3,3,3,4,5,6,6,13,7,5,9,6,4,4,7,5,10,6,2,3,2,2,9,2,0,2,3,2,3,2,1,2,2,3,1,6,4,3,8,3,10,5,6,8,5,5,10,11,9,7,5,12,13,11,9,9,9,10,4,6,11,4,5,1,7,6,6,10,10,5,6,7,3,4,5,6,6,9,11,4,1,3,2,2,1,0,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
日限山二丁目,ヒギリヤマ2,女,533,0,2,3,0,5,0,0,3,0,3,2,4,5,6,4,3,3,3,5,5,3,5,4,7,6,4,2,4,4,3,6,1,3,5,2,4,4,3,3,2,2,0,5,8,4,7,9,6,10,17,11,8,13,13,10,4,8,12,18,8,5,6,13,10,4,6,6,4,6,8,8,7,9,5,8,11,8,10,15,12,4,10,3,3,6,7,5,2,6,6,0,1,5,1,4,1,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
日限山三丁目,ヒギリヤマ3,男,904,8,4,3,6,5,6,6,8,5,12,14,9,6,10,5,18,6,9,11,5,12,11,12,8,11,3,5,2,6,3,5,4,5,5,6,4,7,7,10,8,7,14,8,13,16,10,10,17,14,17,13,13,17,10,18,13,23,9,12,3,9,8,8,9,3,4,5,6,5,10,8,7,10,21,11,8,17,9,18,30,17,17,21,17,16,10,22,7,6,7,2,3,0,1,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
日限山三丁目,ヒギリヤマ3,女,939,3,7,5,4,6,5,8,9,12,4,10,9,8,7,4,6,11,9,8,8,7,4,11,7,8,3,4,2,0,6,4,5,4,5,6,8,6,11,15,9,5,5,7,13,14,15,12,15,17,17,15,12,19,15,17,8,16,9,8,6,11,8,8,6,5,5,7,7,8,11,14,10,30,16,27,16,23,19,26,27,27,15,20,6,15,12,8,5,7,8,4,4,1,3,0,2,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
日限山四丁目,ヒギリヤマ4,男,934,3,3,7,9,7,10,10,10,5,5,9,8,9,6,13,8,5,8,3,9,3,13,10,12,7,4,9,7,3,3,3,10,7,5,8,9,8,8,4,10,7,9,10,14,9,14,12,21,11,14,9,9,21,9,15,16,17,15,9,14,7,12,9,6,4,5,7,7,11,4,6,6,18,13,15,9,15,18,21,30,25,16,16,16,25,18,13,7,10,4,5,4,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
日限山四丁目,ヒギリヤマ4,女,1036,2,8,8,4,4,8,6,4,7,10,14,8,8,7,10,10,10,10,7,12,8,7,4,4,5,10,6,9,6,6,4,11,6,5,11,6,7,12,6,7,8,12,6,5,10,10,10,16,15,19,15,12,22,15,14,10,14,15,15,9,4,8,12,4,14,4,10,5,9,9,10,19,23,19,27,25,26,33,25,35,25,18,15,19,13,15,9,10,8,8,3,5,4,5,1,4,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
日野一丁目,ヒノ1,男,440,4,5,3,6,5,4,7,1,2,4,5,5,8,2,5,6,4,7,2,1,2,5,1,6,11,6,8,16,9,3,6,8,6,7,10,5,7,6,10,4,7,8,8,6,14,4,6,7,9,4,5,7,6,4,8,6,2,4,5,2,4,6,5,4,4,6,2,2,5,1,5,2,5,3,4,1,2,5,4,2,6,5,1,2,2,3,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
日野一丁目,ヒノ1,女,445,6,4,6,3,4,3,4,3,5,5,2,2,5,2,4,3,0,4,6,4,1,4,7,6,6,8,11,6,6,12,8,9,4,7,5,8,7,4,5,4,6,10,8,7,2,5,11,8,5,17,5,8,3,7,2,2,6,5,5,7,2,3,4,3,3,3,6,3,3,4,6,4,4,6,4,7,5,4,6,4,2,1,6,1,2,0,3,4,1,2,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
日野二丁目,ヒノ2,男,1523,5,10,11,7,10,19,9,5,14,10,14,14,10,11,11,12,10,13,15,11,20,14,17,14,28,23,20,24,18,21,21,23,13,24,12,8,12,20,16,14,17,14,18,22,20,20,24,20,31,23,22,28,27,28,33,16,28,22,32,30,19,29,20,18,15,13,10,19,14,19,27,18,21,20,19,15,10,11,16,18,11,15,12,10,11,5,14,3,7,6,6,5,1,2,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
日野二丁目,ヒノ2,女,1537,9,4,6,7,3,10,8,8,16,13,8,8,12,14,11,14,16,13,12,13,19,15,21,16,21,24,22,22,13,15,17,19,16,16,10,10,23,14,13,10,14,16,9,18,19,24,20,35,23,33,20,29,29,18,25,27,30,25,17,20,14,17,20,17,13,27,11,17,15,19,22,25,21,18,22,13,18,22,22,19,10,25,10,21,14,17,19,4,14,10,4,9,4,3,3,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
日野三丁目,ヒノ3,男,1447,3,5,4,6,11,5,4,13,8,9,14,12,15,11,18,21,17,26,29,19,21,28,35,19,13,11,13,7,10,9,6,5,11,8,13,13,4,4,13,14,13,17,9,11,20,12,16,36,21,27,36,25,34,40,49,38,40,44,34,22,33,30,35,35,20,29,19,18,21,12,14,19,11,12,15,6,10,6,8,6,7,4,7,1,3,5,1,3,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
日野三丁目,ヒノ3,女,1506,3,11,7,7,6,4,8,2,11,6,13,16,23,15,16,23,19,15,24,13,39,22,21,15,22,28,15,14,11,13,10,8,11,9,9,2,7,8,15,13,10,18,16,16,21,23,23,29,37,48,46,28,38,37,41,40,46,29,27,33,36,31,29,20,20,17,18,11,11,12,10,14,13,11,9,9,7,11,9,6,5,4,3,10,3,4,4,6,2,0,7,5,4,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
日野四丁目,ヒノ4,男,1143,5,3,6,4,1,11,11,9,8,13,13,18,5,12,5,11,10,11,13,7,12,18,13,16,16,7,9,5,11,12,8,8,8,10,9,10,11,16,8,11,17,14,18,16,10,17,22,19,30,18,23,31,15,19,22,8,18,24,10,14,10,13,12,13,12,10,18,12,12,13,13,21,13,15,16,18,12,20,14,13,10,17,12,10,8,10,7,3,5,4,7,1,3,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
日野四丁目,ヒノ4,女,1164,7,7,12,7,1,11,6,1,9,7,4,5,14,8,10,10,15,11,10,14,9,17,11,7,8,7,5,7,8,9,10,9,12,13,9,11,10,15,9,9,10,18,14,13,23,12,11,18,17,24,22,16,18,25,16,9,19,9,16,14,8,14,19,17,13,14,19,9,12,12,11,25,18,22,21,15,12,16,25,31,19,13,9,9,12,15,6,9,9,5,9,4,8,3,5,3,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
日野五丁目,ヒノ5,男,1045,8,9,9,11,9,8,6,9,15,12,12,10,15,9,9,10,10,11,12,13,12,12,12,9,20,17,13,9,13,12,12,17,12,13,14,15,12,13,21,11,16,11,15,16,19,10,16,21,18,20,15,21,20,11,16,12,21,8,16,12,6,10,7,12,10,10,11,9,9,10,13,11,12,14,17,5,8,5,3,9,8,11,12,4,8,3,5,4,2,0,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
日野五丁目,ヒノ5,女,1075,16,4,8,10,13,9,13,7,4,12,5,7,9,10,7,8,13,13,8,14,8,10,18,11,10,15,13,19,7,16,12,12,11,12,14,13,14,22,19,8,14,11,15,17,14,14,21,12,20,13,13,17,21,19,20,11,15,11,8,9,11,7,7,13,11,9,11,7,7,15,11,10,13,12,21,17,2,15,10,11,16,15,9,10,10,7,9,2,6,8,2,1,6,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
日野六丁目,ヒノ6,男,800,20,15,18,15,17,19,5,14,9,11,4,12,8,8,7,7,2,5,7,7,12,13,19,17,12,17,12,15,11,13,17,19,19,15,12,17,12,25,8,11,17,22,11,19,11,16,13,17,21,15,12,16,10,12,11,3,8,10,9,1,2,3,2,1,0,1,0,1,0,2,2,0,1,0,2,1,0,2,4,0,1,1,2,4,1,0,0,0,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
日野六丁目,ヒノ6,女,666,16,24,16,8,18,6,7,13,12,6,10,8,4,6,4,10,11,11,12,3,5,9,13,9,10,8,12,17,12,13,20,21,13,14,18,11,10,12,15,14,6,10,4,11,12,13,13,10,7,9,10,10,5,11,3,4,3,4,3,0,2,0,0,3,2,0,1,2,1,0,2,1,3,2,0,1,3,2,1,2,1,1,3,3,2,3,1,3,3,0,3,0,1,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
