町名,フリガナ,性別,総数,0歳,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,10歳,11歳,12歳,13歳,14歳,15歳,16歳,17歳,18歳,19歳,20歳,21歳,22歳,23歳,24歳,25歳,26歳,27歳,28歳,29歳,30歳,31歳,32歳,33歳,34歳,35歳,36歳,37歳,38歳,39歳,40歳,41歳,42歳,43歳,44歳,45歳,46歳,47歳,48歳,49歳,50歳,51歳,52歳,53歳,54歳,55歳,56歳,57歳,58歳,59歳,60歳,61歳,62歳,63歳,64歳,65歳,66歳,67歳,68歳,69歳,70歳,71歳,72歳,73歳,74歳,75歳,76歳,77歳,78歳,79歳,80歳,81歳,82歳,83歳,84歳,85歳,86歳,87歳,88歳,89歳,90歳,91歳,92歳,93歳,94歳,95歳,96歳,97歳,98歳,99歳,100歳以上
緑区合計,ミドリク_ゴウケイ,男,89257,690,750,805,782,766,805,850,881,849,875,905,852,887,840,888,939,950,952,922,925,939,885,936,903,948,901,975,961,955,1060,1036,1002,1082,1165,1104,1189,1153,1231,1307,1338,1369,1347,1453,1555,1664,1671,1623,1665,1696,1564,1588,1208,1545,1346,1305,1100,1083,1097,1052,979,907,925,923,908,952,996,1079,1119,1156,1220,1137,767,804,954,933,923,904,764,729,697,694,594,498,443,441,357,286,239,221,173,110,85,78,46,32,21,18,13,9,4,5
緑区合計,ミドリク_ゴウケイ,女,91079,752,761,754,744,788,775,793,832,797,786,821,803,844,900,856,914,866,899,918,942,942,937,1019,961,904,971,897,905,913,922,990,1001,1102,1083,1099,1117,1082,1202,1174,1201,1325,1401,1381,1521,1649,1627,1572,1531,1508,1466,1434,1165,1395,1224,1147,1095,1039,1032,1000,951,901,942,878,967,984,1084,1046,1243,1311,1382,1339,834,929,1156,1076,1127,1028,889,815,803,817,786,714,667,562,538,466,412,322,307,255,250,183,152,117,96,82,65,40,28,56
青砥町,アオトチョウ,男,2369,22,21,28,26,21,30,33,18,30,29,18,19,31,21,15,22,26,28,31,16,24,29,25,33,27,27,22,22,34,22,22,21,24,32,36,27,33,30,33,48,46,49,37,43,44,45,50,48,41,51,48,46,39,37,27,27,27,18,20,21,22,33,22,27,19,20,21,29,19,29,23,12,15,21,20,22,19,16,10,23,20,23,14,15,14,8,9,6,5,4,4,1,1,1,1,1,0,0,0,0,0
青砥町,アオトチョウ,女,2180,21,21,20,22,19,19,23,18,21,20,22,15,20,22,23,14,23,18,25,18,20,18,24,29,19,24,26,26,25,21,17,29,36,22,26,25,29,37,32,38,37,33,36,46,43,52,41,40,32,39,34,33,24,37,20,24,25,20,26,16,14,24,23,18,21,21,24,23,28,32,28,7,29,26,25,21,26,25,19,21,17,22,14,16,13,10,8,9,3,7,6,4,1,3,1,0,1,3,0,1,1
台村町,ダイムラチョウ,男,2225,27,23,26,30,24,18,16,30,15,21,21,23,23,11,15,20,21,16,21,24,25,32,25,21,25,30,36,33,33,42,33,30,46,41,38,36,40,39,32,47,34,39,36,41,38,38,51,55,42,45,36,31,31,28,45,29,23,25,28,27,22,18,22,23,12,15,9,15,26,20,24,15,12,18,14,12,8,8,8,10,14,12,7,6,7,7,2,7,3,0,6,3,2,2,2,1,2,0,0,0,0
台村町,ダイムラチョウ,女,2223,32,36,21,20,23,23,17,25,15,12,25,30,16,20,20,17,24,17,17,32,27,28,24,36,25,42,26,28,37,35,29,40,42,35,30,41,30,37,25,37,40,38,28,40,34,45,35,33,40,38,41,27,29,32,28,27,25,22,18,16,17,15,20,17,17,17,13,30,20,17,32,12,16,18,15,13,15,18,16,17,18,17,16,9,11,7,6,11,11,6,5,5,3,2,4,2,0,1,0,0,2
白山一丁目,ハクサン1,男,2466,16,20,19,18,19,15,24,27,12,26,19,15,26,21,33,31,29,26,20,27,32,23,28,29,20,25,22,24,28,30,22,30,33,33,25,32,28,35,26,35,40,29,35,59,44,55,48,54,49,43,63,48,53,41,41,33,31,34,35,27,29,24,41,30,27,40,39,40,32,49,24,25,22,30,18,18,19,15,9,13,10,5,8,8,3,2,5,6,1,5,1,2,0,1,0,0,0,0,0,0,0
白山一丁目,ハクサン1,女,2538,17,22,13,20,15,17,16,19,20,23,24,21,19,26,28,31,27,29,31,39,37,25,13,27,24,15,19,21,19,17,26,36,30,36,37,27,38,36,28,36,35,34,45,58,60,49,57,51,48,46,55,36,34,36,36,31,40,25,46,36,32,36,36,41,35,37,28,45,29,43,32,28,29,24,19,16,26,18,12,17,11,10,13,11,8,9,6,6,5,2,5,2,1,2,0,0,0,0,2,0,0
白山二丁目,ハクサン2,男,1269,8,10,12,17,13,14,17,12,14,12,14,9,7,18,11,12,6,10,10,7,13,9,11,10,11,18,18,12,15,20,16,14,15,17,19,17,16,28,21,21,21,20,20,26,31,22,22,28,22,15,15,13,19,27,13,17,16,15,15,15,10,14,9,11,18,9,19,10,26,18,20,10,11,15,14,15,13,8,11,6,12,9,3,11,2,1,3,3,3,3,1,0,2,1,1,0,0,1,0,0,0
白山二丁目,ハクサン2,女,1230,12,12,5,15,17,16,10,12,12,16,12,5,7,11,10,9,12,10,11,6,17,10,10,14,10,12,13,13,8,9,19,9,13,20,17,16,15,25,20,16,23,21,14,23,21,18,20,21,21,19,18,17,23,8,18,13,14,12,13,11,15,14,15,13,14,10,14,23,23,21,19,11,8,15,20,13,14,7,14,12,8,7,8,9,9,7,4,3,3,5,3,4,0,3,2,1,2,0,0,2,1
