町名,フリガナ,性別,総数,0歳,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,10歳,11歳,12歳,13歳,14歳,15歳,16歳,17歳,18歳,19歳,20歳,21歳,22歳,23歳,24歳,25歳,26歳,27歳,28歳,29歳,30歳,31歳,32歳,33歳,34歳,35歳,36歳,37歳,38歳,39歳,40歳,41歳,42歳,43歳,44歳,45歳,46歳,47歳,48歳,49歳,50歳,51歳,52歳,53歳,54歳,55歳,56歳,57歳,58歳,59歳,60歳,61歳,62歳,63歳,64歳,65歳,66歳,67歳,68歳,69歳,70歳,71歳,72歳,73歳,74歳,75歳,76歳,77歳,78歳,79歳,80歳,81歳,82歳,83歳,84歳,85歳,86歳,87歳,88歳,89歳,90歳,91歳,92歳,93歳,94歳,95歳,96歳,97歳,98歳,99歳,100歳,101歳,102歳,103歳,104歳,105歳,106歳,107歳,108歳,109歳,110歳,111歳,112歳,113歳,114歳,115歳,116歳,117歳,118歳,119歳,120歳以上
緑区合計,ミドリク_ゴウケイ,男,90067,691,696,774,713,792,806,801,768,829,852,869,850,887,922,858,890,841,891,942,941,1003,974,995,988,986,964,963,987,928,955,1014,1041,1103,1023,1049,1126,1133,1162,1210,1197,1251,1310,1341,1354,1326,1466,1537,1636,1657,1625,1642,1694,1569,1565,1203,1505,1321,1278,1072,1058,1058,1029,958,881,899,900,900,910,960,1034,1086,1129,1185,1087,739,761,902,883,849,817,678,630,608,608,512,428,380,339,275,205,172,138,96,58,50,42,25,12,3,8,4,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
緑区合計,ミドリク_ゴウケイ,女,91946,653,711,716,718,733,767,751,777,754,788,826,809,786,807,810,829,919,871,923,916,954,1023,1046,1008,943,1079,973,905,975,934,920,931,937,994,1025,1146,1068,1114,1124,1084,1206,1173,1212,1312,1393,1368,1520,1655,1627,1576,1532,1502,1478,1435,1160,1378,1213,1121,1060,1035,1029,970,935,894,933,879,954,979,1088,1032,1231,1298,1361,1311,825,916,1113,1068,1088,991,854,775,753,781,714,659,607,518,444,384,319,249,217,177,174,117,90,56,51,36,26,20,9,8,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
青砥町,アオトチョウ,男,2440,18,24,21,22,29,32,28,23,28,34,18,30,28,19,19,33,19,18,23,28,30,38,20,31,34,24,29,35,27,32,26,37,36,24,30,29,26,27,24,33,33,33,46,47,46,38,42,43,43,49,49,44,50,47,45,42,38,31,24,24,16,17,24,20,29,27,25,18,19,16,23,19,28,21,11,14,17,19,19,15,14,8,18,17,21,12,14,13,5,7,4,4,0,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
青砥町,アオトチョウ,女,2221,17,17,18,27,15,23,19,15,21,22,18,22,23,22,13,20,23,24,15,22,17,27,26,25,19,33,31,18,22,26,26,20,26,19,30,32,18,30,27,31,39,34,37,43,36,34,47,41,52,42,37,34,42,33,33,30,37,20,25,28,20,24,14,12,25,24,15,18,17,25,22,29,31,23,6,28,22,23,19,25,24,17,21,17,19,14,15,12,7,8,10,1,2,4,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
台村町,ダイムラチョウ,男,2259,26,20,27,19,16,22,26,14,19,18,31,16,17,16,22,21,14,13,20,20,19,27,33,30,34,38,36,37,42,44,37,39,42,23,32,37,30,37,38,38,34,37,39,37,38,33,38,36,35,46,53,42,50,39,29,31,30,41,28,18,26,28,23,24,19,20,24,11,16,8,19,20,21,19,13,9,17,14,12,8,6,6,10,14,11,6,6,5,4,1,3,3,0,3,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
台村町,ダイムラチョウ,女,2258,27,18,18,26,24,17,21,20,19,17,21,16,12,25,29,16,20,23,20,32,25,28,34,35,33,43,44,44,41,39,26,42,27,37,30,41,35,28,41,28,34,20,33,41,30,28,39,30,45,27,32,40,36,41,24,28,29,28,27,24,19,19,14,16,16,18,14,18,18,13,30,20,15,31,14,16,15,14,11,15,16,16,18,15,16,11,10,7,5,7,10,7,4,3,3,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
白山一丁目,ハクサン1,男,2408,15,13,18,14,21,17,18,18,17,20,24,17,25,21,14,29,20,34,28,29,31,19,26,31,26,29,29,20,21,12,19,24,21,21,28,33,27,25,28,31,31,25,35,33,30,37,61,45,55,47,51,56,41,61,48,53,42,39,32,29,34,32,24,28,23,38,29,24,37,39,40,32,45,22,22,22,30,18,16,19,12,7,9,9,4,7,7,3,1,2,3,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
白山一丁目,ハクサン1,女,2510,12,12,9,13,22,12,19,15,16,14,22,17,25,23,19,18,28,32,32,25,27,30,37,42,23,20,21,27,14,31,21,12,19,24,30,30,38,31,27,37,36,27,36,37,35,43,57,59,47,57,47,50,47,53,30,34,35,35,29,38,26,44,31,31,38,36,36,36,34,26,47,27,41,34,28,30,26,20,16,26,17,9,14,9,9,13,8,8,6,5,8,3,3,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
白山二丁目,ハクサン2,男,1276,8,9,12,10,8,10,19,13,12,20,11,15,12,12,9,7,17,11,11,8,10,8,8,13,12,12,9,11,17,17,13,15,23,12,17,18,17,21,21,16,29,25,18,17,15,19,25,29,21,23,28,26,16,17,15,20,25,13,17,16,16,12,16,8,13,8,11,17,9,18,11,23,17,20,10,12,15,13,14,12,8,10,4,11,8,2,9,1,1,2,2,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
白山二丁目,ハクサン2,女,1250,13,5,9,14,13,9,14,16,18,9,9,12,14,12,4,6,11,12,8,14,12,10,11,17,15,13,17,11,9,11,13,14,5,18,14,12,19,20,17,17,26,21,13,18,19,16,26,24,20,19,26,22,15,19,20,23,8,18,13,15,11,11,12,16,13,14,14,13,10,15,21,22,20,18,11,6,15,17,14,13,7,13,11,6,6,7,7,10,5,3,1,1,3,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
