町名,フリガナ,性別,総数,0歳,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,10歳,11歳,12歳,13歳,14歳,15歳,16歳,17歳,18歳,19歳,20歳,21歳,22歳,23歳,24歳,25歳,26歳,27歳,28歳,29歳,30歳,31歳,32歳,33歳,34歳,35歳,36歳,37歳,38歳,39歳,40歳,41歳,42歳,43歳,44歳,45歳,46歳,47歳,48歳,49歳,50歳,51歳,52歳,53歳,54歳,55歳,56歳,57歳,58歳,59歳,60歳,61歳,62歳,63歳,64歳,65歳,66歳,67歳,68歳,69歳,70歳,71歳,72歳,73歳,74歳,75歳,76歳,77歳,78歳,79歳,80歳,81歳,82歳,83歳,84歳,85歳,86歳,87歳,88歳,89歳,90歳,91歳,92歳,93歳,94歳,95歳,96歳,97歳,98歳,99歳,100歳以上
南区合計,ミナミク_ゴウケイ,男,100794,729,778,785,779,785,818,764,761,799,756,749,789,738,762,771,769,764,805,851,916,953,1067,1117,1209,1320,1347,1458,1543,1528,1517,1665,1727,1872,1793,1839,1873,1837,1712,1796,1407,1726,1536,1569,1463,1358,1320,1365,1323,1163,1287,1268,1307,1403,1490,1681,1824,1957,2018,1875,1131,1171,1468,1421,1397,1384,1263,1105,1152,1189,1186,1123,1051,975,938,920,806,819,708,696,573,546,400,375,323,266,256,188,153,149,117,80,84,63,30,27,22,18,10,13,4,13
南区合計,ミナミク_ゴウケイ,女,100048,652,720,743,721,747,804,778,716,757,755,717,724,691,712,707,748,756,771,811,922,974,1066,1174,1217,1273,1354,1440,1414,1420,1577,1534,1605,1697,1624,1720,1695,1591,1599,1497,1241,1459,1367,1344,1283,1237,1239,1131,1216,1116,1152,1190,1145,1212,1325,1403,1566,1747,1747,1724,1061,1135,1468,1428,1564,1397,1309,1189,1170,1360,1306,1225,1172,1216,1137,1120,1005,1029,954,845,848,769,639,623,585,515,501,392,295,285,286,208,170,123,128,102,68,48,32,26,20,28
別所一丁目,ベッショ1,男,576,3,7,8,4,7,15,9,1,8,2,5,5,5,4,9,5,3,4,8,8,5,8,2,5,4,7,3,6,8,7,12,8,13,11,13,19,14,11,11,9,14,16,9,10,12,7,10,4,4,11,10,8,6,5,12,9,6,11,15,1,9,7,9,2,5,4,5,3,5,3,8,4,3,6,1,2,6,2,2,4,1,0,2,0,1,2,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
別所一丁目,ベッショ1,女,599,7,9,7,6,7,7,4,6,6,10,8,2,4,4,4,2,4,3,5,3,9,1,3,3,7,6,7,4,5,11,12,20,15,7,20,17,12,16,14,10,8,8,13,8,6,6,9,8,6,12,8,8,8,4,9,6,10,8,7,7,3,6,5,7,6,4,10,7,3,11,8,3,7,7,3,1,2,5,4,4,4,7,1,1,3,2,1,1,1,1,1,1,1,2,0,0,0,0,0,0,0
別所二丁目,ベッショ2,男,971,7,6,5,8,4,3,4,4,9,8,3,10,6,8,4,8,9,13,17,8,12,9,11,16,8,14,21,12,20,19,12,16,21,9,10,16,10,8,12,13,18,15,15,14,13,10,9,20,10,13,13,9,18,17,12,9,17,26,23,9,11,15,7,19,11,19,12,13,15,17,11,14,12,8,9,8,10,9,9,1,6,4,5,2,1,5,3,1,2,2,0,0,1,1,2,0,1,2,0,0,0
別所二丁目,ベッショ2,女,969,3,5,5,3,4,5,11,6,6,5,7,9,4,8,3,9,8,6,8,13,12,12,12,10,11,16,19,10,15,22,18,15,6,10,12,7,9,16,12,6,9,11,13,21,12,12,12,9,13,8,8,14,14,11,15,10,10,24,28,17,11,22,14,16,17,23,18,13,14,15,19,13,15,6,10,11,13,7,6,7,6,5,6,3,2,7,3,1,1,6,2,1,1,2,1,1,1,0,0,0,1
別所三丁目,ベッショ3,男,1161,10,10,9,8,12,12,7,7,15,11,10,10,9,7,13,11,8,10,5,13,16,14,17,14,21,17,14,19,24,20,13,22,12,14,27,26,18,25,22,15,22,21,11,25,17,18,13,13,10,15,13,11,14,20,20,19,28,27,16,13,12,17,18,9,10,10,12,13,17,8,8,11,7,13,13,11,5,8,10,7,2,7,6,3,1,1,3,2,2,0,1,0,0,0,1,0,0,0,0,0,0
別所三丁目,ベッショ3,女,1108,6,9,7,9,13,12,10,11,3,15,8,6,13,11,8,9,11,12,5,14,14,10,9,11,23,7,10,14,13,19,18,16,25,16,24,17,11,20,21,13,21,16,19,13,13,19,14,15,10,14,19,23,16,14,16,24,12,14,15,11,13,12,13,20,21,11,6,12,13,13,14,15,14,3,16,12,9,7,11,9,10,7,2,3,2,4,2,1,2,1,1,2,1,3,2,0,0,0,0,0,0
別所四丁目,ベッショ4,男,653,7,9,8,4,4,11,3,7,6,6,8,2,7,4,4,10,4,8,6,9,4,9,7,8,9,13,7,12,11,15,10,11,15,13,10,12,8,9,10,7,10,8,6,12,13,11,9,8,8,8,7,13,11,7,12,6,11,12,12,8,3,9,8,10,11,10,11,5,7,9,7,5,6,5,5,4,5,1,2,3,0,1,2,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
別所四丁目,ベッショ4,女,615,7,7,6,2,4,11,4,4,7,7,5,3,6,4,8,8,7,5,9,7,6,2,6,5,4,7,7,14,14,15,10,15,6,7,9,10,7,10,8,10,7,8,11,9,8,10,5,7,7,5,6,9,4,8,13,13,10,11,13,3,11,5,10,11,7,7,6,10,13,5,4,3,5,8,7,4,4,3,5,5,6,1,0,2,2,1,1,2,2,1,1,2,0,1,0,0,0,0,0,0,0
