町名,フリガナ,性別,総数,0歳,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,10歳,11歳,12歳,13歳,14歳,15歳,16歳,17歳,18歳,19歳,20歳,21歳,22歳,23歳,24歳,25歳,26歳,27歳,28歳,29歳,30歳,31歳,32歳,33歳,34歳,35歳,36歳,37歳,38歳,39歳,40歳,41歳,42歳,43歳,44歳,45歳,46歳,47歳,48歳,49歳,50歳,51歳,52歳,53歳,54歳,55歳,56歳,57歳,58歳,59歳,60歳,61歳,62歳,63歳,64歳,65歳,66歳,67歳,68歳,69歳,70歳,71歳,72歳,73歳,74歳,75歳,76歳,77歳,78歳,79歳,80歳,81歳,82歳,83歳,84歳,85歳,86歳,87歳,88歳,89歳,90歳,91歳,92歳,93歳,94歳,95歳,96歳,97歳,98歳,99歳,100歳,101歳,102歳,103歳,104歳,105歳,106歳,107歳,108歳,109歳,110歳,111歳,112歳,113歳,114歳,115歳,116歳,117歳,118歳,119歳,120歳以上
南区合計,ミナミク_ゴウケイ,男,99553,573,549,574,579,602,635,689,707,730,716,710,680,742,686,724,672,736,705,751,805,906,1009,1133,1255,1315,1360,1385,1346,1243,1188,1166,1190,1169,1212,1168,1246,1214,1234,1302,1278,1279,1318,1414,1453,1484,1495,1577,1624,1772,1769,1779,1769,1742,1682,1749,1328,1612,1476,1489,1336,1252,1244,1231,1240,1102,1175,1166,1135,1214,1288,1406,1467,1613,1533,1410,796,830,1054,936,927,843,745,616,626,571,565,488,464,336,308,246,192,158,114,67,46,47,34,15,8,8,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
南区合計,ミナミク_ゴウケイ,女,99482,490,560,603,589,626,605,637,634,657,652,606,682,651,719,669,658,656,724,757,777,883,990,1110,1279,1337,1259,1267,1242,1120,1080,1186,1082,1099,1094,1084,1108,1158,1215,1224,1217,1263,1259,1280,1314,1328,1394,1398,1555,1624,1617,1663,1646,1613,1506,1520,1261,1371,1312,1278,1209,1173,1188,1075,1152,1058,1072,1089,1046,1133,1200,1271,1380,1547,1546,1514,907,951,1235,1197,1279,1149,1074,927,856,951,904,808,690,675,577,519,381,369,295,231,206,143,104,72,65,35,21,9,7,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
別所一丁目,ベッショ1,男,1045,18,18,14,12,12,21,13,14,8,4,14,7,9,6,1,8,3,8,6,4,2,10,7,6,11,8,12,13,9,18,19,18,20,32,18,23,24,22,24,19,18,15,20,13,19,25,18,16,20,20,18,21,14,10,15,4,15,13,10,14,10,12,12,5,6,10,10,11,11,7,16,12,7,11,13,3,8,4,8,4,4,4,4,2,1,1,2,4,2,5,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
別所一丁目,ベッショ1,女,1033,16,17,13,12,13,15,7,10,12,6,3,3,4,5,4,5,1,3,0,6,8,8,6,9,10,8,12,14,19,20,20,13,22,20,17,21,24,20,19,15,26,17,21,17,13,19,11,27,20,13,15,21,12,19,18,9,10,5,17,13,10,7,14,11,15,13,8,10,12,8,11,9,10,9,10,10,6,8,2,5,8,4,8,6,3,8,6,2,5,4,1,0,1,2,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
別所二丁目,ベッショ2,男,974,8,5,3,5,4,7,12,7,4,9,3,6,8,7,6,9,9,6,15,8,4,9,15,9,12,15,9,12,19,12,9,12,14,17,14,10,14,16,10,13,11,16,17,16,27,21,11,14,17,12,14,15,19,10,10,11,19,19,14,14,12,11,7,18,12,13,14,9,11,12,7,7,16,17,18,4,8,10,7,12,6,10,4,5,4,7,5,4,4,4,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
別所二丁目,ベッショ2,女,1002,9,10,10,6,6,9,3,9,6,2,8,6,7,6,2,9,5,7,5,4,5,10,11,16,7,9,12,20,19,13,12,7,12,11,15,11,10,15,15,4,16,14,11,13,14,11,14,11,10,9,21,15,11,19,15,6,15,14,15,20,10,13,10,9,11,9,9,12,9,8,11,11,10,18,24,10,10,14,13,14,15,15,13,9,8,11,15,6,7,6,5,4,6,4,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
別所三丁目,ベッショ3,男,1255,14,5,5,13,9,15,13,14,10,11,14,9,14,12,7,10,12,11,7,10,14,16,11,16,14,13,20,23,14,7,15,26,17,15,15,23,15,25,25,18,22,27,15,18,24,25,17,17,25,11,24,19,20,24,27,19,18,21,11,17,10,16,15,12,9,10,11,10,9,13,16,13,16,22,10,9,8,7,11,3,7,5,5,7,7,3,6,5,3,5,5,2,1,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
別所三丁目,ベッショ3,女,1320,11,14,12,12,17,13,12,11,12,11,8,15,10,12,10,9,13,8,8,18,10,14,18,7,12,13,12,14,11,19,15,26,12,15,20,22,18,18,13,14,19,18,21,24,20,25,24,28,23,20,27,20,15,21,21,13,15,11,16,12,9,15,15,14,11,10,13,19,14,12,13,17,13,11,14,8,11,13,9,16,14,10,4,10,7,11,9,13,8,4,8,7,7,3,3,5,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
別所四丁目,ベッショ4,男,559,4,5,3,4,1,1,3,3,1,2,2,3,1,3,2,4,2,6,6,2,6,11,2,11,6,7,13,8,7,8,5,9,5,10,6,7,6,7,6,11,6,12,12,8,9,11,7,8,13,8,12,10,6,8,11,4,8,6,4,8,5,8,9,8,4,10,4,8,7,5,11,7,8,10,9,7,3,6,4,7,8,4,7,2,1,6,4,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
別所四丁目,ベッショ4,女,583,4,3,2,3,3,2,0,3,3,1,3,2,1,5,4,5,3,3,7,3,5,7,6,5,3,5,8,4,8,14,7,12,6,5,6,6,8,6,4,9,3,3,12,8,15,8,3,9,6,12,6,10,10,11,6,7,7,14,16,8,11,12,2,7,4,7,8,8,5,8,12,12,8,7,15,1,10,4,7,9,5,5,5,5,9,2,3,1,4,7,2,2,2,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
