町名,フリガナ,性別,総数,0歳,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,10歳,11歳,12歳,13歳,14歳,15歳,16歳,17歳,18歳,19歳,20歳,21歳,22歳,23歳,24歳,25歳,26歳,27歳,28歳,29歳,30歳,31歳,32歳,33歳,34歳,35歳,36歳,37歳,38歳,39歳,40歳,41歳,42歳,43歳,44歳,45歳,46歳,47歳,48歳,49歳,50歳,51歳,52歳,53歳,54歳,55歳,56歳,57歳,58歳,59歳,60歳,61歳,62歳,63歳,64歳,65歳,66歳,67歳,68歳,69歳,70歳,71歳,72歳,73歳,74歳,75歳,76歳,77歳,78歳,79歳,80歳,81歳,82歳,83歳,84歳,85歳,86歳,87歳,88歳,89歳,90歳,91歳,92歳,93歳,94歳,95歳,96歳,97歳,98歳,99歳,100歳以上
中区合計,ナカク_ゴウケイ,男,78386,529,570,559,540,576,588,546,624,569,598,538,559,576,533,572,502,584,571,557,609,679,658,747,811,812,839,841,873,891,917,904,848,929,951,968,991,981,1013,1150,1190,1191,1294,1308,1408,1529,1503,1422,1554,1562,1489,1614,1192,1516,1366,1272,1192,1077,1144,1142,1007,947,956,1007,933,970,1110,1060,1247,1280,1303,1242,752,737,945,854,806,775,641,487,511,483,470,495,356,368,327,243,201,179,157,122,112,76,46,42,17,22,14,7,4,7
中区合計,ナカク_ゴウケイ,女,73151,474,533,548,526,556,531,543,547,497,553,576,530,492,531,540,603,520,531,584,620,619,635,744,787,722,752,811,803,844,883,843,913,874,921,1002,1032,964,1080,1017,1156,1161,1254,1260,1346,1389,1437,1429,1423,1389,1362,1271,1140,1193,1110,1046,1031,904,927,828,833,730,733,748,699,788,737,790,852,1000,1016,968,574,660,749,707,724,691,635,513,582,606,592,597,495,537,503,490,383,374,313,295,242,248,155,116,110,85,47,30,32,35
相生町,アイオイチョウ,男,170,2,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,2,4,3,4,4,4,11,7,7,4,9,2,5,4,7,6,5,5,4,1,5,2,5,7,2,4,3,4,4,2,4,0,1,2,1,1,0,0,0,1,1,2,0,1,0,0,0,0,0,2,1,0,2,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
相生町,アイオイチョウ,女,181,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,2,0,0,2,0,1,1,2,3,7,6,8,4,5,6,8,5,5,8,9,6,9,2,3,3,2,6,7,4,1,2,2,7,3,3,3,3,2,0,1,2,0,0,1,1,0,1,0,0,0,2,0,0,1,1,1,0,0,4,2,3,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
 # 相生町１丁目,アイオイチョウ1,男,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,2,0,0,0,0,0,2,0,0,1,0,1,1,0,2,0,0,0,0,1,0,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 # 相生町１丁目,アイオイチョウ1,女,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,2,1,1,0,1,1,0,0,3,0,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 # 相生町２丁目,アイオイチョウ2,男,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,4,1,0,0,2,1,1,2,0,1,1,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 # 相生町２丁目,アイオイチョウ2,女,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,0,0,3,2,1,1,1,1,2,2,1,1,2,0,1,1,1,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
 # 相生町３丁目,アイオイチョウ3,男,69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1,4,2,3,5,5,3,4,1,0,2,4,2,2,2,2,1,2,0,1,3,0,0,3,3,3,0,1,0,0,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 # 相生町３丁目,アイオイチョウ3,女,64,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,2,4,3,3,3,3,3,3,1,3,3,0,5,0,0,0,2,2,5,0,0,0,1,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 # 相生町４丁目,アイオイチョウ4,男,25,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,2,2,2,1,0,0,0,0,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
