町名,フリガナ,性別,総数,0歳,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,10歳,11歳,12歳,13歳,14歳,15歳,16歳,17歳,18歳,19歳,20歳,21歳,22歳,23歳,24歳,25歳,26歳,27歳,28歳,29歳,30歳,31歳,32歳,33歳,34歳,35歳,36歳,37歳,38歳,39歳,40歳,41歳,42歳,43歳,44歳,45歳,46歳,47歳,48歳,49歳,50歳,51歳,52歳,53歳,54歳,55歳,56歳,57歳,58歳,59歳,60歳,61歳,62歳,63歳,64歳,65歳,66歳,67歳,68歳,69歳,70歳,71歳,72歳,73歳,74歳,75歳,76歳,77歳,78歳,79歳,80歳,81歳,82歳,83歳,84歳,85歳,86歳,87歳,88歳,89歳,90歳,91歳,92歳,93歳,94歳,95歳,96歳,97歳,98歳,99歳,100歳以上
西区合計,ニシク_ゴウケイ,男,40602,289,314,328,302,287,237,275,281,247,271,283,277,283,324,281,336,311,321,351,394,410,510,597,654,766,748,828,841,876,894,878,899,883,864,770,692,791,631,653,618,552,540,532,533,525,535,527,507,550,586,631,695,746,771,719,450,461,554,547,553,523,487,397,372,426,442,428,394,409,347,398,348,368,321,317,295,257,217,212,171,176,152,125,115,89,108,101,64,59,50,37,27,20,11,9,5,4,5,2,1,4
西区合計,ニシク_ゴウケイ,女,39748,289,333,260,296,282,268,280,261,271,275,273,265,240,282,303,269,330,328,360,377,407,460,510,601,591,633,726,754,783,780,749,775,734,658,720,541,613,564,555,524,460,467,501,489,434,446,434,421,459,491,560,575,630,703,647,375,435,540,515,560,541,495,414,440,466,496,477,533,469,481,493,454,386,406,404,463,399,339,337,278,301,273,243,234,203,180,140,139,126,108,74,62,70,50,40,19,21,10,7,6,9
赤門町,アカモンチョウ,男,260,2,0,3,1,0,0,2,1,1,4,3,2,4,0,2,0,3,2,3,1,2,5,2,5,9,0,2,3,7,2,3,6,5,5,2,3,2,1,2,2,2,2,2,1,5,2,2,1,6,9,5,2,8,10,7,6,5,3,1,6,8,5,0,2,4,1,2,7,4,4,4,5,2,2,2,2,0,3,2,2,0,2,1,2,1,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0
赤門町,アカモンチョウ,女,229,1,2,0,0,2,0,1,2,2,1,1,0,1,3,1,3,0,1,0,2,3,2,2,5,2,5,3,3,2,4,4,4,4,4,4,1,4,4,3,3,2,2,4,3,3,2,0,5,2,5,4,7,4,1,7,3,1,2,1,2,1,1,2,3,2,3,9,1,4,4,4,1,3,4,3,2,1,4,3,3,2,5,5,1,1,1,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0
 # 赤門町２丁目,アカモンチョウ2,男,260,2,0,3,1,0,0,2,1,1,4,3,2,4,0,2,0,3,2,3,1,2,5,2,5,9,0,2,3,7,2,3,6,5,5,2,3,2,1,2,2,2,2,2,1,5,2,2,1,6,9,5,2,8,10,7,6,5,3,1,6,8,5,0,2,4,1,2,7,4,4,4,5,2,2,2,2,0,3,2,2,0,2,1,2,1,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0
 # 赤門町２丁目,アカモンチョウ2,女,229,1,2,0,0,2,0,1,2,2,1,1,0,1,3,1,3,0,1,0,2,3,2,2,5,2,5,3,3,2,4,4,4,4,4,4,1,4,4,3,3,2,2,4,3,3,2,0,5,2,5,4,7,4,1,7,3,1,2,1,2,1,1,2,3,2,3,9,1,4,4,4,1,3,4,3,2,1,4,3,3,2,5,5,1,1,1,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0
東ケ丘,アヅマガオカ,男,746,3,5,8,3,7,13,9,6,9,14,6,11,11,14,10,9,9,8,6,3,4,4,6,16,9,5,18,14,16,17,15,12,16,11,13,11,14,10,13,11,14,18,7,17,16,11,5,8,11,13,13,11,11,10,22,8,13,14,12,5,5,6,9,5,8,9,6,4,6,4,4,8,2,4,3,1,4,5,4,4,0,0,2,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
東ケ丘,アヅマガオカ,女,658,2,9,8,6,7,3,4,9,10,8,6,11,10,8,9,9,5,3,6,2,10,5,3,13,4,5,13,17,12,13,11,11,8,14,6,11,17,5,17,13,9,12,15,8,5,7,13,10,5,7,7,10,11,8,16,4,4,9,10,10,5,10,7,6,5,7,5,6,4,3,7,9,5,4,4,7,2,3,5,2,5,0,3,1,4,2,3,1,3,2,2,1,1,0,0,0,0,0,1,0,0
中央一丁目,チュウオウ1,男,1415,13,13,7,12,10,9,8,7,8,7,8,12,12,10,13,12,11,15,6,14,9,18,13,31,18,32,38,30,35,36,27,38,43,27,36,27,22,30,28,21,19,22,17,23,21,20,14,18,25,22,17,15,35,18,25,11,20,15,14,17,18,16,11,12,13,9,7,5,14,12,8,9,15,7,9,13,11,14,6,6,6,5,4,6,2,6,3,1,3,3,0,2,1,1,3,0,0,0,0,0,0
中央一丁目,チュウオウ1,女,1376,7,16,7,14,6,8,7,5,3,11,12,6,9,12,11,9,11,13,10,16,18,16,26,23,27,27,40,34,45,29,41,27,28,32,30,19,14,17,21,14,16,16,21,21,12,16,19,13,14,14,15,18,18,18,20,11,17,14,13,20,22,9,9,16,12,16,18,11,18,12,19,10,13,14,10,17,14,9,12,7,6,6,5,3,8,8,3,5,6,3,3,1,2,2,0,0,0,0,0,0,0
中央二丁目,チュウオウ2,男,1665,12,11,9,9,15,10,7,9,10,17,13,14,10,18,8,10,10,6,10,13,23,18,32,35,43,32,36,48,42,40,40,45,22,33,29,22,35,23,27,18,22,16,29,24,22,22,24,23,28,19,19,30,30,29,25,29,19,23,18,27,23,18,16,11,19,16,22,19,11,13,12,18,12,10,17,8,9,4,11,4,8,3,7,5,2,5,4,7,3,0,2,1,1,1,0,0,0,0,0,0,1
