町名,フリガナ,性別,総数,0歳,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,10歳,11歳,12歳,13歳,14歳,15歳,16歳,17歳,18歳,19歳,20歳,21歳,22歳,23歳,24歳,25歳,26歳,27歳,28歳,29歳,30歳,31歳,32歳,33歳,34歳,35歳,36歳,37歳,38歳,39歳,40歳,41歳,42歳,43歳,44歳,45歳,46歳,47歳,48歳,49歳,50歳,51歳,52歳,53歳,54歳,55歳,56歳,57歳,58歳,59歳,60歳,61歳,62歳,63歳,64歳,65歳,66歳,67歳,68歳,69歳,70歳,71歳,72歳,73歳,74歳,75歳,76歳,77歳,78歳,79歳,80歳,81歳,82歳,83歳,84歳,85歳,86歳,87歳,88歳,89歳,90歳,91歳,92歳,93歳,94歳,95歳,96歳,97歳,98歳,99歳,100歳,101歳,102歳,103歳,104歳,105歳,106歳,107歳,108歳,109歳,110歳,111歳,112歳,113歳,114歳,115歳,116歳,117歳,118歳,119歳,120歳以上
西区合計,ニシク_ゴウケイ,男,51818,378,394,382,398,423,406,432,399,392,365,381,398,392,342,372,328,353,361,353,383,379,449,527,676,786,769,879,845,795,836,819,772,750,818,819,845,883,909,840,824,829,906,835,875,877,952,981,983,987,977,962,940,936,950,898,715,783,677,691,649,569,531,573,539,465,451,492,444,451,468,485,543,569,561,502,307,302,368,347,312,282,266,214,195,198,192,178,141,117,114,93,69,76,45,34,18,28,11,7,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
西区合計,ニシク_ゴウケイ,女,51700,348,373,401,381,383,416,386,409,367,392,386,369,341,349,330,319,337,325,333,367,424,490,526,627,750,717,807,723,750,702,702,775,739,742,764,753,757,767,796,781,825,768,786,815,871,828,938,958,967,952,910,921,881,786,817,614,672,680,630,602,513,525,555,509,459,459,436,442,457,456,517,523,547,643,618,333,381,475,414,426,420,393,317,334,335,342,299,319,257,267,221,180,141,111,125,112,71,54,23,16,21,11,2,2,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
赤門町,アカモンチョウ,男,223,1,0,1,1,2,2,0,4,1,1,2,1,2,0,2,1,3,2,1,0,4,5,1,3,3,2,4,3,7,2,3,3,3,2,3,1,1,3,3,5,2,7,7,1,1,5,7,2,3,3,0,6,3,2,0,4,1,1,0,2,1,5,6,3,3,2,4,1,2,6,4,0,6,6,3,5,4,1,1,5,3,1,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
赤門町,アカモンチョウ,女,208,2,0,0,0,1,5,2,0,2,3,2,0,3,1,1,3,1,0,2,2,10,3,1,3,4,1,3,1,3,3,4,1,2,0,2,2,0,2,1,6,7,4,4,5,3,4,1,0,4,5,3,4,3,2,2,0,2,4,3,0,1,2,5,1,1,2,1,6,0,3,2,5,2,4,5,0,1,2,2,0,0,0,1,2,0,2,3,0,2,3,2,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 # 赤門町２丁目,アカモンチョウ2,男,223,1,0,1,1,2,2,0,4,1,1,2,1,2,0,2,1,3,2,1,0,4,5,1,3,3,2,4,3,7,2,3,3,3,2,3,1,1,3,3,5,2,7,7,1,1,5,7,2,3,3,0,6,3,2,0,4,1,1,0,2,1,5,6,3,3,2,4,1,2,6,4,0,6,6,3,5,4,1,1,5,3,1,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 # 赤門町２丁目,アカモンチョウ2,女,208,2,0,0,0,1,5,2,0,2,3,2,0,3,1,1,3,1,0,2,2,10,3,1,3,4,1,3,1,3,3,4,1,2,0,2,2,0,2,1,6,7,4,4,5,3,4,1,0,4,5,3,4,3,2,2,0,2,4,3,0,1,2,5,1,1,2,1,6,0,3,2,5,2,4,5,0,1,2,2,0,0,0,1,2,0,2,3,0,2,3,2,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
東ケ丘,アズマガオカ,男,694,7,1,4,7,7,4,3,5,5,6,7,7,3,8,5,8,6,3,1,3,8,13,10,13,14,8,8,13,12,16,10,9,5,13,11,11,11,10,7,11,5,6,15,9,12,15,11,12,7,14,13,8,8,11,13,11,12,9,8,9,14,7,3,11,11,5,6,9,5,7,5,8,12,4,13,2,7,4,4,7,4,3,4,4,1,5,2,0,0,0,3,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
東ケ丘,アズマガオカ,女,618,1,3,1,5,2,5,4,1,4,3,3,2,1,7,3,5,6,4,4,5,10,13,10,11,7,12,9,14,9,2,9,8,8,12,10,7,5,4,8,4,9,11,7,12,13,11,8,9,11,7,6,10,7,12,10,9,12,3,17,6,6,10,13,5,5,6,8,9,4,4,8,7,9,7,13,3,4,9,3,6,4,3,4,5,3,6,3,1,4,4,3,4,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
中央一丁目,チュウオウ1,男,1831,13,11,6,7,12,6,13,13,10,10,13,9,7,10,8,6,10,6,6,11,13,23,24,23,25,27,43,36,43,45,26,34,32,35,33,29,41,31,25,35,35,37,42,34,28,43,37,44,32,41,41,38,32,41,37,27,21,24,26,24,19,20,23,23,18,7,15,17,13,14,14,17,13,14,13,12,13,14,11,8,6,3,4,2,2,3,2,1,4,4,2,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
中央一丁目,チュウオウ1,女,1893,9,11,6,11,12,21,11,21,17,13,13,11,10,10,5,13,9,12,9,11,16,25,18,21,17,38,47,33,32,26,28,28,47,32,28,29,33,33,29,39,38,21,41,31,43,32,31,43,47,36,44,37,35,44,31,26,25,23,25,20,17,16,17,21,8,13,17,13,11,8,12,14,16,18,17,5,14,11,11,13,17,4,4,12,8,13,11,6,9,4,4,4,5,3,2,1,1,2,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
中央二丁目,チュウオウ2,男,2008,17,11,15,14,20,15,13,9,11,16,9,19,17,23,16,7,12,18,12,7,14,23,32,34,44,41,45,43,38,35,36,30,30,27,42,44,45,27,34,33,31,33,39,31,28,33,40,31,37,38,31,36,35,28,25,17,24,18,20,25,23,16,24,23,23,18,19,11,22,8,16,20,23,20,19,15,10,12,10,10,17,5,10,5,10,11,8,3,3,2,5,2,3,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
中央二丁目,チュウオウ2,女,1972,11,11,11,7,15,18,10,25,8,14,21,13,13,11,10,10,12,13,13,3,14,19,24,38,46,59,46,36,51,32,38,30,30,42,31,36,36,31,26,25,25,29,25,23,30,36,34,25,31,32,21,28,47,19,31,20,23,20,23,20,19,21,27,26,12,14,12,3,12,13,24,14,19,32,21,6,10,18,18,15,12,15,9,10,14,11,11,12,10,7,5,5,7,7,8,1,3,2,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
藤棚町,フジダナチョウ,男,1395,7,7,7,4,9,9,10,10,10,8,7,5,13,8,10,13,10,14,18,13,16,10,10,21,23,20,19,26,14,27,16,22,11,20,15,18,15,24,19,16,20,15,23,16,27,25,17,15,22,21,17,24,28,27,9,17,15,15,16,15,11,14,13,14,17,20,22,11,15,19,22,20,26,27,15,12,16,17,18,14,10,19,14,12,8,9,6,6,8,3,6,3,3,1,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
藤棚町,フジダナチョウ,女,1564,8,3,8,5,7,9,7,5,11,5,11,10,6,12,5,14,8,10,5,8,18,22,13,16,27,28,27,17,15,21,20,14,12,22,18,18,18,20,21,16,17,16,18,14,14,16,26,17,23,27,25,22,16,19,27,12,18,18,21,20,23,14,24,17,14,20,17,18,24,24,25,30,36,28,33,11,17,27,22,20,22,17,17,14,15,16,13,10,8,8,12,3,7,8,3,4,7,4,2,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 # 藤棚町１丁目,フジダナチョウ1,男,481,7,3,3,2,3,1,1,1,4,1,1,3,0,2,4,4,5,5,6,4,6,3,6,5,10,12,13,14,7,14,9,9,5,9,3,9,4,7,7,4,5,4,8,10,6,11,7,3,8,7,6,11,9,9,2,4,5,6,4,3,3,6,4,6,5,7,10,1,5,5,5,7,6,7,2,3,4,6,7,4,3,8,1,3,3,1,4,2,3,1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 # 藤棚町１丁目,フジダナチョウ1,女,547,2,1,3,1,3,2,5,0,3,0,4,5,3,6,3,2,2,3,3,2,4,12,1,4,15,12,12,9,8,10,11,7,7,15,12,8,7,6,11,4,2,10,2,2,5,7,11,5,14,7,13,9,4,6,8,4,7,1,7,8,10,4,4,3,2,9,5,7,6,7,7,2,10,7,8,7,5,7,8,7,5,4,6,6,8,3,5,3,2,2,4,1,4,2,0,1,0,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 # 藤棚町２丁目,フジダナチョウ2,男,914,0,4,4,2,6,8,9,9,6,7,6,2,13,6,6,9,5,9,12,9,10,7,4,16,13,8,6,12,7,13,7,13,6,11,12,9,11,17,12,12,15,11,15,6,21,14,10,12,14,14,11,13,19,18,7,13,10,9,12,12,8,8,9,8,12,13,12,10,10,14,17,13,20,20,13,9,12,11,11,10,7,11,13,9,5,8,2,4,5,2,3,3,2,1,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 # 藤棚町２丁目,フジダナチョウ2,女,1017,6,2,5,4,4,7,2,5,8,5,7,5,3,6,2,12,6,7,2,6,14,10,12,12,12,16,15,8,7,11,9,7,5,7,6,10,11,14,10,12,15,6,16,12,9,9,15,12,9,20,12,13,12,13,19,8,11,17,14,12,13,10,20,14,12,11,12,11,18,17,18,28,26,21,25,4,12,20,14,13,17,13,11,8,7,13,8,7,6,6,8,2,3,6,3,3,7,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
