町名,フリガナ,性別,総数,0歳,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,10歳,11歳,12歳,13歳,14歳,15歳,16歳,17歳,18歳,19歳,20歳,21歳,22歳,23歳,24歳,25歳,26歳,27歳,28歳,29歳,30歳,31歳,32歳,33歳,34歳,35歳,36歳,37歳,38歳,39歳,40歳,41歳,42歳,43歳,44歳,45歳,46歳,47歳,48歳,49歳,50歳,51歳,52歳,53歳,54歳,55歳,56歳,57歳,58歳,59歳,60歳,61歳,62歳,63歳,64歳,65歳,66歳,67歳,68歳,69歳,70歳,71歳,72歳,73歳,74歳,75歳,76歳,77歳,78歳,79歳,80歳,81歳,82歳,83歳,84歳,85歳,86歳,87歳,88歳,89歳,90歳,91歳,92歳,93歳,94歳,95歳,96歳,97歳,98歳,99歳,100歳以上
栄区合計,サカエク_ゴウケイ,男,61023,458,480,544,490,512,521,531,568,585,557,595,639,625,557,574,604,580,574,562,542,540,514,506,536,559,532,536,557,601,654,688,669,659,697,789,796,791,837,870,1022,1058,1143,1118,1112,1099,1068,1034,1033,792,917,833,708,652,707,683,653,587,611,612,633,624,679,735,818,908,939,974,1054,634,786,917,976,985,902,834,757,753,768,697,643,530,426,436,325,277,213,203,155,150,104,84,67,47,32,25,15,12,13,10,6,6
栄区合計,サカエク_ゴウケイ,女,62947,434,442,482,491,491,501,482,531,538,506,553,578,559,566,538,592,538,508,516,542,494,521,494,521,519,567,508,565,582,612,615,688,702,706,680,754,796,836,894,933,1018,1137,1086,1076,1070,975,1008,944,698,800,720,663,718,680,682,692,620,609,648,679,654,757,870,968,1005,1136,1254,1247,813,940,1125,1074,1062,1030,926,762,725,698,724,645,548,468,496,437,376,353,294,269,268,224,195,154,127,118,83,55,40,40,29,21,39
柏陽,ハクヨウ,男,525,5,6,3,5,5,6,2,3,9,4,2,5,2,4,3,3,4,5,6,1,2,3,3,3,5,4,6,9,10,6,14,4,6,6,9,9,8,9,7,7,7,11,8,6,12,9,11,18,6,8,2,4,8,4,5,10,4,4,3,4,9,3,7,6,11,12,9,8,8,8,6,4,9,6,7,8,6,9,3,6,3,1,4,2,0,1,4,2,2,1,1,1,0,0,0,0,1,0,0,0,0
柏陽,ハクヨウ,女,568,8,2,5,5,4,6,3,5,6,3,4,6,4,4,7,2,7,2,3,4,3,4,5,2,5,8,8,4,7,6,4,7,11,8,7,13,5,6,3,9,10,6,8,9,6,8,11,4,6,9,2,5,6,3,4,10,4,4,5,5,8,7,10,10,15,10,12,9,6,9,16,8,5,9,15,4,9,1,5,8,6,2,8,8,3,6,2,2,5,3,1,3,3,0,0,0,0,0,0,0,0
本郷台一丁目,ホンゴウダイ1,男,443,0,4,1,1,2,3,1,4,0,0,5,1,5,2,1,2,3,5,7,2,3,6,3,5,2,3,3,7,4,2,4,2,3,7,9,5,5,10,8,2,2,2,8,5,4,3,5,5,3,6,5,5,4,7,6,3,3,6,6,5,4,5,9,4,9,7,11,12,3,12,7,11,11,7,10,5,10,17,11,3,7,7,7,3,4,2,2,1,2,2,0,1,0,0,0,0,1,1,0,0,0
本郷台一丁目,ホンゴウダイ1,女,515,4,1,3,3,6,3,1,5,5,5,2,6,6,3,1,3,6,2,0,5,5,6,3,5,4,2,4,2,2,2,5,2,4,4,4,4,5,2,4,3,5,5,9,6,7,4,8,6,4,8,3,7,3,6,3,7,8,4,8,5,7,3,10,14,8,6,12,16,14,14,12,7,9,20,12,10,10,10,6,4,6,4,7,4,3,11,2,2,2,1,3,2,3,0,1,1,1,0,0,0,0
本郷台二丁目,ホンゴウダイ2,男,493,3,0,4,1,3,5,3,6,2,3,2,5,4,5,3,4,5,7,2,4,4,3,3,5,3,4,7,5,5,4,4,6,5,6,4,4,7,2,4,8,5,7,10,6,6,3,4,5,4,3,8,6,0,5,10,3,4,4,4,11,4,10,4,10,4,12,7,9,5,11,13,11,12,14,9,5,12,9,9,10,5,6,3,4,5,3,4,2,1,5,1,2,0,0,0,0,0,0,0,0,0
本郷台二丁目,ホンゴウダイ2,女,492,5,2,4,0,4,1,2,3,2,1,2,1,2,5,3,6,7,5,1,4,6,1,7,1,5,4,6,2,1,1,2,4,5,5,6,3,8,5,3,5,3,7,5,10,6,6,8,9,5,6,5,4,6,6,6,2,10,3,8,4,8,7,8,12,9,15,11,13,13,6,11,12,12,10,4,6,7,8,6,6,6,4,6,6,3,7,5,1,3,1,1,0,1,2,1,0,1,1,0,0,0
本郷台三丁目,ホンゴウダイ3,男,840,1,2,3,2,5,7,5,8,11,12,9,4,10,10,11,14,7,6,5,11,10,9,5,10,5,5,10,7,5,7,4,8,4,5,5,10,3,9,7,11,14,10,12,18,18,11,15,13,16,14,9,12,11,11,7,9,14,12,15,8,9,8,13,14,11,8,15,12,8,8,10,9,11,12,16,24,16,15,14,21,9,10,9,5,3,7,0,4,3,1,1,1,2,0,0,0,0,0,0,0,0
本郷台三丁目,ホンゴウダイ3,女,844,0,1,6,5,10,3,4,7,5,7,1,8,12,7,10,7,6,14,8,6,8,6,9,2,9,9,5,5,8,7,3,6,3,2,5,5,5,5,15,10,13,16,19,15,13,14,20,6,12,16,11,6,12,15,15,10,9,7,9,11,8,15,17,9,9,10,14,10,16,11,21,22,16,21,22,14,16,13,16,9,6,7,3,6,5,2,6,1,2,4,1,5,1,0,0,0,1,1,1,0,0
本郷台四丁目,ホンゴウダイ4,男,531,3,2,2,2,2,4,1,1,4,4,3,5,3,5,5,6,5,8,3,6,8,3,5,5,6,4,2,3,3,3,6,3,6,7,6,4,2,1,5,4,5,6,12,10,3,5,6,9,7,9,2,2,10,6,5,4,3,6,1,4,3,11,10,7,8,10,9,15,5,9,7,15,9,14,10,13,18,12,12,14,6,8,3,5,5,2,6,1,3,2,1,1,0,0,1,1,0,0,0,0,0
