町名,フリガナ,性別,総数,0歳,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,10歳,11歳,12歳,13歳,14歳,15歳,16歳,17歳,18歳,19歳,20歳,21歳,22歳,23歳,24歳,25歳,26歳,27歳,28歳,29歳,30歳,31歳,32歳,33歳,34歳,35歳,36歳,37歳,38歳,39歳,40歳,41歳,42歳,43歳,44歳,45歳,46歳,47歳,48歳,49歳,50歳,51歳,52歳,53歳,54歳,55歳,56歳,57歳,58歳,59歳,60歳,61歳,62歳,63歳,64歳,65歳,66歳,67歳,68歳,69歳,70歳,71歳,72歳,73歳,74歳,75歳,76歳,77歳,78歳,79歳,80歳,81歳,82歳,83歳,84歳,85歳,86歳,87歳,88歳,89歳,90歳,91歳,92歳,93歳,94歳,95歳,96歳,97歳,98歳,99歳,100歳,101歳,102歳,103歳,104歳,105歳,106歳,107歳,108歳,109歳,110歳,111歳,112歳,113歳,114歳,115歳,116歳,117歳,118歳,119歳,120歳以上
栄区合計,サカエク_ゴウケイ,男,59045,386,393,382,412,416,447,436,473,455,524,496,525,510,528,575,598,559,584,647,667,598,579,642,564,541,508,468,480,492,505,572,548,552,554,600,608,611,657,677,633,661,757,760,794,812,854,984,1031,1106,1083,1094,1092,1077,1036,994,781,905,804,698,631,664,647,632,570,597,570,585,590,648,663,761,824,854,877,958,558,680,788,846,822,749,692,602,594,572,487,429,341,253,250,161,115,85,74,49,36,28,11,11,3,4,2,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
栄区合計,サカエク_ゴウケイ,女,61871,364,361,400,372,376,408,403,436,444,460,493,493,512,497,519,550,509,549,612,581,594,570,612,541,520,510,532,523,555,486,480,549,548,552,560,544,590,606,643,679,670,683,730,800,822,886,953,983,1140,1074,1071,1050,992,970,933,672,807,716,630,709,664,658,662,613,579,628,670,638,731,845,919,993,1091,1205,1173,784,875,1062,987,976,950,844,694,624,603,578,489,407,345,368,286,221,198,156,134,125,89,64,37,26,26,13,5,7,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
柏陽,ハクヨウ,男,505,1,3,5,0,3,1,4,5,3,2,4,5,5,3,3,10,3,6,6,4,3,3,4,6,8,7,1,4,5,5,6,7,6,6,7,5,4,8,4,5,3,12,9,6,6,4,9,8,12,8,6,7,8,7,17,6,9,1,2,10,6,6,10,4,4,3,5,6,2,9,9,11,12,8,7,8,8,4,5,6,4,7,6,4,5,2,5,4,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
柏陽,ハクヨウ,女,543,2,4,4,1,5,4,3,2,3,5,4,3,5,3,2,5,3,3,8,2,3,7,2,7,4,2,9,2,3,7,3,4,6,3,4,4,6,3,4,6,9,7,14,8,5,5,8,9,6,9,7,6,9,8,5,9,9,2,5,7,3,4,11,6,5,7,7,8,9,9,11,14,10,13,7,7,6,13,6,5,9,11,4,12,1,3,6,5,1,6,3,3,5,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
本郷台一丁目,ホンゴウダイ1,男,429,2,0,1,4,2,4,2,3,7,2,5,5,4,4,5,1,4,5,1,7,2,3,2,3,4,4,1,3,3,3,1,3,2,1,2,2,4,4,3,0,6,10,6,4,8,6,4,3,4,7,3,5,3,4,6,4,6,6,4,7,7,4,3,3,6,7,7,4,5,8,4,7,6,12,13,3,11,7,8,12,7,9,5,9,12,7,2,3,4,3,1,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
本郷台一丁目,ホンゴウダイ1,女,498,0,0,0,1,0,4,4,5,2,2,7,8,4,1,6,4,5,2,5,3,4,0,3,2,1,0,3,3,5,2,3,2,2,5,3,3,4,4,3,5,4,7,5,8,4,3,3,6,7,9,6,6,3,8,7,6,9,4,6,3,6,3,7,7,6,8,6,6,3,9,13,11,7,11,16,14,14,13,6,6,19,10,9,8,9,4,3,3,2,6,3,2,7,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
本郷台二丁目,ホンゴウダイ2,男,488,2,3,4,3,1,7,1,3,2,6,2,4,4,4,8,4,3,6,7,3,6,4,4,3,5,2,2,2,1,4,3,4,6,5,7,2,4,6,6,4,5,6,5,4,4,6,11,8,8,10,5,10,2,5,4,7,4,7,5,1,5,10,5,4,6,1,9,3,8,4,7,4,13,5,8,5,10,12,12,13,10,9,3,10,8,7,5,3,3,0,3,2,1,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
本郷台二丁目,ホンゴウダイ2,女,487,1,2,2,7,1,2,4,5,2,4,3,7,3,2,3,4,2,2,2,3,4,4,4,6,1,2,4,3,1,2,2,3,4,2,4,3,4,3,6,5,4,3,4,8,11,4,8,9,6,6,11,5,5,10,11,7,5,2,5,6,4,7,3,12,3,7,4,7,3,8,12,8,13,9,14,11,6,9,9,10,11,2,7,6,8,4,7,5,4,4,3,2,2,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
本郷台三丁目,ホンゴウダイ3,男,768,5,3,4,4,2,4,4,2,2,3,2,6,5,4,9,12,11,10,4,11,10,7,14,3,3,4,7,5,5,4,9,3,2,5,7,8,6,5,6,7,2,9,12,2,13,5,12,14,9,13,16,17,11,15,12,17,12,10,12,11,12,8,9,15,11,11,9,9,7,9,11,7,7,14,9,9,8,7,9,9,9,14,21,14,12,14,14,7,8,6,1,2,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
本郷台三丁目,ホンゴウダイ3,女,795,3,2,1,2,2,7,1,1,1,8,6,8,4,3,6,4,6,1,7,13,7,8,9,5,11,4,5,5,6,8,3,4,4,1,8,6,7,5,5,5,6,4,6,5,3,17,9,14,16,18,11,13,18,16,9,11,17,12,6,13,13,14,10,10,7,10,11,7,11,15,11,7,9,14,10,14,12,21,22,15,22,23,12,12,9,11,7,5,7,2,4,3,2,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
