町名,フリガナ,性別,総数,0歳,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,10歳,11歳,12歳,13歳,14歳,15歳,16歳,17歳,18歳,19歳,20歳,21歳,22歳,23歳,24歳,25歳,26歳,27歳,28歳,29歳,30歳,31歳,32歳,33歳,34歳,35歳,36歳,37歳,38歳,39歳,40歳,41歳,42歳,43歳,44歳,45歳,46歳,47歳,48歳,49歳,50歳,51歳,52歳,53歳,54歳,55歳,56歳,57歳,58歳,59歳,60歳,61歳,62歳,63歳,64歳,65歳,66歳,67歳,68歳,69歳,70歳,71歳,72歳,73歳,74歳,75歳,76歳,77歳,78歳,79歳,80歳,81歳,82歳,83歳,84歳,85歳,86歳,87歳,88歳,89歳,90歳,91歳,92歳,93歳,94歳,95歳,96歳,97歳,98歳,99歳,100歳以上
瀬谷区合計,セヤク_ゴウケイ,男,64384,657,660,656,686,691,710,670,734,637,670,644,647,592,636,598,597,634,604,677,657,679,678,767,794,707,850,829,920,982,1070,1110,1180,1241,1288,1270,1293,1187,1129,1146,890,1025,920,928,874,799,754,789,738,670,668,746,710,765,823,852,952,998,1025,966,638,664,899,885,929,880,863,789,733,758,757,686,649,597,542,535,460,447,391,368,338,265,223,168,151,132,121,86,66,69,46,47,35,23,21,17,13,10,5,5,0,4
瀬谷区合計,セヤク_ゴウケイ,女,64452,582,640,685,635,705,633,621,696,638,602,573,623,595,588,537,552,583,551,624,603,678,684,721,670,750,798,826,854,916,969,1011,1158,1149,1169,1167,1092,1109,982,1012,798,939,784,811,804,706,708,677,693,605,714,682,760,732,826,856,1020,1133,1145,1075,658,779,973,954,1007,918,923,804,749,802,803,735,651,647,663,615,547,497,466,452,409,361,339,318,270,258,243,193,160,155,140,99,108,70,71,47,40,32,16,8,10,13
相沢一丁目,アイザワ1,男,688,21,3,11,6,8,4,5,5,7,4,7,1,7,7,12,5,9,2,3,2,8,8,3,11,10,17,9,16,13,21,16,8,19,17,11,22,12,18,13,18,15,15,9,5,9,4,7,9,12,7,10,5,3,7,6,3,10,10,5,10,7,9,9,10,6,7,6,5,8,5,6,9,6,8,2,2,8,2,1,3,1,1,3,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
相沢一丁目,アイザワ1,女,679,7,16,14,3,8,9,3,8,3,6,5,6,6,7,8,9,8,8,8,6,3,10,5,10,7,15,12,16,10,16,21,11,11,16,15,14,11,15,9,9,11,4,9,8,10,8,6,5,8,7,6,9,4,4,4,8,10,22,11,9,7,6,2,8,11,5,6,6,8,10,7,2,7,8,8,3,2,4,3,2,1,2,3,3,0,1,2,1,1,0,0,0,0,0,0,1,1,0,0,1,0
相沢二丁目,アイザワ2,男,774,5,3,11,9,12,12,7,8,15,9,6,9,8,8,9,5,9,6,5,8,10,3,6,13,10,6,10,11,14,9,11,24,15,18,12,21,20,13,14,9,13,10,15,10,5,11,9,10,10,7,8,5,10,9,7,8,2,10,14,8,8,9,13,9,8,8,13,11,5,8,10,11,8,8,10,7,3,8,4,3,2,0,2,2,1,2,3,0,1,0,0,0,2,0,0,0,1,0,0,0,0
相沢二丁目,アイザワ2,女,750,6,11,10,10,6,9,12,9,10,8,7,8,6,6,4,7,4,1,8,7,3,6,9,7,5,8,10,6,17,15,15,15,9,14,12,9,15,16,17,13,11,13,5,7,10,10,8,8,3,8,8,8,7,13,7,8,10,9,13,2,9,12,13,13,9,18,11,11,9,10,8,9,9,12,3,9,4,2,3,7,4,3,2,4,1,4,1,4,3,1,0,3,0,0,0,0,0,0,0,0,1
相沢三丁目,アイザワ3,男,637,7,6,5,4,4,5,5,5,10,4,8,5,4,7,3,5,7,9,5,6,4,5,9,7,8,7,13,13,9,10,19,6,10,15,12,12,13,17,17,9,9,15,15,7,11,8,4,6,5,8,4,7,11,4,11,7,5,9,6,3,5,8,12,9,3,5,4,9,5,7,13,6,11,11,2,9,7,3,7,2,1,3,3,4,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
相沢三丁目,アイザワ3,女,583,4,3,1,5,8,1,11,5,5,4,4,7,5,6,6,0,3,5,6,6,3,4,12,6,11,10,9,4,9,9,7,14,10,8,7,7,11,11,11,6,12,7,8,9,10,4,10,9,7,9,8,3,4,4,3,4,11,5,14,7,6,7,6,17,9,11,9,6,7,8,9,8,12,7,11,4,4,4,5,2,3,4,1,0,2,2,1,0,2,0,1,1,2,0,0,0,0,0,0,0,0
相沢四丁目,アイザワ4,男,667,7,10,7,10,3,7,6,7,5,9,4,11,3,6,7,7,4,2,3,7,5,4,2,5,4,8,10,15,8,18,9,17,18,12,19,12,17,11,15,14,9,11,9,10,8,7,8,5,2,8,7,7,2,4,11,11,10,9,10,4,4,5,12,8,5,9,7,9,9,15,11,8,10,4,7,6,5,8,8,5,4,1,2,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
相沢四丁目,アイザワ4,女,668,12,7,6,8,6,7,4,12,4,10,5,7,2,2,3,1,7,3,7,4,2,8,7,12,9,7,12,9,11,8,9,11,11,13,14,10,11,12,9,6,12,7,8,5,6,10,9,7,10,8,6,5,9,7,8,4,6,16,14,3,9,8,10,10,12,10,5,11,14,12,10,5,7,9,7,7,7,8,5,4,3,3,6,4,3,2,0,1,1,0,0,2,0,2,1,0,2,0,0,0,0
