町名,フリガナ,性別,総数,0歳,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,10歳,11歳,12歳,13歳,14歳,15歳,16歳,17歳,18歳,19歳,20歳,21歳,22歳,23歳,24歳,25歳,26歳,27歳,28歳,29歳,30歳,31歳,32歳,33歳,34歳,35歳,36歳,37歳,38歳,39歳,40歳,41歳,42歳,43歳,44歳,45歳,46歳,47歳,48歳,49歳,50歳,51歳,52歳,53歳,54歳,55歳,56歳,57歳,58歳,59歳,60歳,61歳,62歳,63歳,64歳,65歳,66歳,67歳,68歳,69歳,70歳,71歳,72歳,73歳,74歳,75歳,76歳,77歳,78歳,79歳,80歳,81歳,82歳,83歳,84歳,85歳,86歳,87歳,88歳,89歳,90歳,91歳,92歳,93歳,94歳,95歳,96歳,97歳,98歳,99歳,100歳,101歳,102歳,103歳,104歳,105歳,106歳,107歳,108歳,109歳,110歳,111歳,112歳,113歳,114歳,115歳,116歳,117歳,118歳,119歳,120歳以上
瀬谷区合計,セヤク_ゴウケイ,男,60446,404,415,443,422,450,455,454,478,514,513,512,571,552,621,610,623,617,643,674,651,685,668,740,643,659,603,623,591,614,570,595,598,607,674,635,649,634,684,732,722,720,756,822,876,918,982,1071,1108,1150,1115,1117,1082,1018,1024,833,951,854,854,777,683,684,695,665,608,605,646,619,653,710,714,803,865,837,801,507,525,718,683,706,639,615,551,471,460,447,376,344,255,212,197,143,117,86,77,58,31,31,15,2,8,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
瀬谷区合計,セヤク_ゴウケイ,女,62692,363,374,401,381,466,483,470,485,475,507,482,560,542,532,596,562,608,644,626,698,619,622,690,610,620,575,588,571,617,509,525,577,567,604,580,639,667,700,672,605,696,741,816,800,871,922,1054,1063,1076,1108,998,1050,919,1001,771,917,751,777,734,686,678,639,651,595,639,626,708,682,756,784,911,1049,1042,985,615,716,888,869,894,796,791,687,643,645,605,567,444,435,429,382,299,234,202,175,113,98,78,54,48,30,20,6,5,4,4,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0
相沢一丁目,アイザワ1,男,665,4,8,7,3,6,10,3,5,7,8,2,3,3,2,3,5,5,5,4,5,5,9,10,8,3,8,16,4,7,10,10,11,12,14,13,9,10,9,9,15,11,9,12,15,15,14,4,9,12,10,13,8,16,10,16,9,12,7,8,10,3,4,9,6,5,9,1,6,6,6,4,12,10,4,9,6,3,5,7,4,4,5,5,4,1,2,5,1,3,0,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
相沢一丁目,アイザワ1,女,679,11,16,5,9,6,10,8,10,3,7,2,5,5,2,3,3,3,10,4,4,4,5,4,9,8,12,10,6,12,6,20,12,6,12,8,8,3,15,6,9,10,11,12,9,13,12,9,7,14,12,9,7,13,8,5,8,4,3,9,7,11,8,5,5,5,4,7,4,6,4,8,8,19,13,4,7,5,6,9,7,3,2,3,8,4,4,1,6,4,3,2,2,2,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
相沢二丁目,アイザワ2,男,693,7,3,8,7,8,5,4,6,6,5,5,6,3,5,5,9,5,9,12,6,7,6,13,9,11,3,6,10,8,11,10,6,8,5,13,11,5,12,10,6,6,9,11,5,10,12,16,13,11,6,9,10,15,16,8,12,10,8,7,5,12,6,10,12,4,7,4,7,3,6,6,6,8,11,8,7,5,11,5,2,6,9,7,2,3,5,7,4,3,4,2,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
相沢二丁目,アイザワ2,女,741,11,5,8,5,8,7,7,2,6,11,4,8,4,5,6,8,7,7,10,5,6,6,7,3,10,7,10,8,7,9,6,3,7,6,5,12,9,9,9,6,10,7,9,9,8,10,10,13,11,15,11,14,16,13,7,13,13,8,6,5,9,9,10,5,10,5,5,9,8,7,6,12,8,9,1,9,10,13,9,7,15,14,9,7,6,7,6,5,12,2,4,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
相沢三丁目,アイザワ3,男,662,11,6,7,7,5,6,4,14,6,5,3,7,4,7,2,6,2,4,3,5,9,11,4,11,10,9,9,6,10,12,13,9,12,12,6,15,8,7,7,12,12,6,11,4,4,10,15,13,10,9,11,13,9,12,8,10,12,18,5,10,7,6,6,3,8,3,5,10,4,10,6,7,4,7,2,3,8,5,7,1,5,1,5,3,4,9,2,5,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
相沢三丁目,アイザワ3,女,647,4,3,13,7,7,7,3,9,6,6,8,3,5,4,4,2,3,2,7,6,4,10,5,12,8,5,12,8,6,10,3,14,12,9,12,7,8,15,6,5,10,6,3,8,6,5,11,7,9,7,8,10,7,14,9,11,9,8,7,9,4,8,7,10,6,8,5,2,6,4,6,7,5,13,3,8,4,7,11,7,9,8,5,6,7,8,4,4,5,4,4,3,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
相沢四丁目,アイザワ4,男,666,3,6,3,4,14,5,9,10,5,8,5,4,6,4,8,7,4,2,9,3,7,7,7,8,8,6,12,8,17,11,7,9,6,10,6,6,9,7,16,17,3,6,11,10,8,5,13,10,8,14,3,13,7,10,13,10,14,12,6,8,7,9,9,5,7,6,5,1,5,11,3,8,7,8,2,3,4,9,4,5,7,4,7,7,8,6,3,3,0,3,4,3,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
相沢四丁目,アイザワ4,女,686,9,1,12,3,5,8,4,6,7,4,4,5,7,4,2,5,7,7,8,8,7,4,7,5,5,6,13,9,14,10,10,5,6,8,9,9,10,16,11,7,10,6,6,9,7,3,4,8,11,14,13,9,8,14,9,14,7,10,5,8,7,7,4,8,3,7,4,9,5,8,3,5,11,11,3,6,8,6,9,11,7,3,9,12,11,7,7,5,8,6,2,4,1,2,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
