町名,フリガナ,性別,総数,0歳,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,10歳,11歳,12歳,13歳,14歳,15歳,16歳,17歳,18歳,19歳,20歳,21歳,22歳,23歳,24歳,25歳,26歳,27歳,28歳,29歳,30歳,31歳,32歳,33歳,34歳,35歳,36歳,37歳,38歳,39歳,40歳,41歳,42歳,43歳,44歳,45歳,46歳,47歳,48歳,49歳,50歳,51歳,52歳,53歳,54歳,55歳,56歳,57歳,58歳,59歳,60歳,61歳,62歳,63歳,64歳,65歳,66歳,67歳,68歳,69歳,70歳,71歳,72歳,73歳,74歳,75歳,76歳,77歳,78歳,79歳,80歳,81歳,82歳,83歳,84歳,85歳,86歳,87歳,88歳,89歳,90歳,91歳,92歳,93歳,94歳,95歳,96歳,97歳,98歳,99歳,100歳以上
鶴見区合計,ツルミク_ゴウケイ,男,134876,1310,1290,1250,1181,1231,1119,1199,1073,1106,1096,1137,1140,1110,1177,1210,1174,1233,1291,1289,1515,1580,1760,1900,2145,2358,2677,2793,3010,2927,2926,2750,2824,2772,2710,2033,2480,2327,2162,2103,1876,1886,1820,1733,1674,1741,1830,1889,1906,2101,2174,2396,2560,2511,2509,1484,1697,2095,1945,1962,1934,1562,1386,1436,1479,1410,1312,1179,1214,1108,1083,954,949,886,807,800,725,600,471,425,401,390,291,304,265,237,283,187,167,133,115,69,47,34,28,14,9,8,5,7,2,3
鶴見区合計,ツルミク_ゴウケイ,女,123105,1243,1249,1246,1172,1121,1070,1136,1030,1039,1104,1013,1030,1134,1079,1104,1141,1248,1190,1255,1408,1420,1527,1599,1788,1823,2043,2187,2297,2314,2477,2343,2201,2065,2137,1640,1947,1837,1700,1678,1552,1554,1564,1546,1388,1472,1441,1505,1632,1674,1777,1949,2122,2254,2081,1326,1414,1795,1675,1744,1683,1516,1324,1342,1480,1514,1355,1270,1329,1340,1181,1133,1092,984,1045,995,934,819,782,771,692,775,542,563,468,399,407,343,344,249,232,165,128,140,87,45,45,25,26,17,16,8
安善町,アンゼンチョウ,男,39,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,4,3,0,2,0,1,0,0,0,1,0,1,0,0,0,0,0,1,2,0,0,0,2,0,0,0,2,1,2,5,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
安善町,アンゼンチョウ,女,29,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,4,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
 # 安善町１丁目,アンゼンチョウ1,男,27,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,3,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,2,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 # 安善町１丁目,アンゼンチョウ1,女,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
 # 安善町２丁目,アンゼンチョウ2,男,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 # 安善町２丁目,アンゼンチョウ2,女,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
朝日町,アサヒチョウ,男,1610,6,16,11,10,14,12,14,13,13,17,14,25,15,20,24,18,25,19,26,24,24,29,36,36,26,35,36,21,22,26,15,22,11,16,16,13,18,19,18,20,21,12,21,18,27,25,35,24,35,42,24,56,37,45,22,32,25,33,25,24,22,19,19,15,11,13,14,11,16,7,7,7,7,7,8,7,3,5,4,6,4,2,1,4,1,2,3,3,0,1,1,1,0,1,0,0,0,0,0,0,0
朝日町,アサヒチョウ,女,1511,7,6,10,17,14,8,10,14,15,19,8,16,16,18,22,28,23,26,21,23,28,25,25,23,17,15,21,19,13,16,23,20,15,11,13,15,19,21,21,21,24,19,23,19,31,26,30,30,34,33,39,44,38,33,21,19,16,23,23,18,14,12,15,21,22,9,11,12,16,9,11,8,7,7,9,11,6,3,4,11,12,4,6,2,3,4,3,4,1,0,1,2,0,3,1,1,0,0,0,1,0
 # 朝日町１丁目,アサヒチョウ1,男,519,4,4,5,5,5,2,5,4,4,3,2,6,3,4,3,4,7,1,6,1,4,6,15,16,7,17,16,10,8,11,5,7,5,8,7,9,8,8,8,9,10,4,7,2,4,6,4,6,8,17,7,14,13,13,6,15,8,6,9,10,9,8,7,2,4,2,3,3,7,2,2,1,3,3,3,2,2,3,2,5,3,2,1,3,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
 # 朝日町１丁目,アサヒチョウ1,女,443,3,1,5,7,5,5,2,6,5,3,1,6,4,2,2,5,3,8,3,5,8,5,3,5,2,5,11,4,1,3,9,9,8,2,7,7,5,5,2,8,3,5,5,0,10,7,4,5,12,7,10,7,11,9,8,8,4,8,9,4,6,4,5,3,7,1,6,4,7,6,5,4,5,4,4,7,2,1,3,8,9,3,4,0,1,2,2,2,0,0,0,0,0,1,0,0,0,0,0,1,0
 # 朝日町２丁目,アサヒチョウ2,男,1091,2,12,6,5,9,10,9,9,9,14,12,19,12,16,21,14,18,18,20,23,20,23,21,20,19,18,20,11,14,15,10,15,6,8,9,4,10,11,10,11,11,8,14,16,23,19,31,18,27,25,17,42,24,32,16,17,17,27,16,14,13,11,12,13,7,11,11,8,9,5,5,6,4,4,5,5,1,2,2,1,1,0,0,1,0,2,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0
 # 朝日町２丁目,アサヒチョウ2,女,1068,4,5,5,10,9,3,8,8,10,16,7,10,12,16,20,23,20,18,18,18,20,20,22,18,15,10,10,15,12,13,14,11,7,9,6,8,14,16,19,13,21,14,18,19,21,19,26,25,22,26,29,37,27,24,13,11,12,15,14,14,8,8,10,18,15,8,5,8,9,3,6,4,2,3,5,4,4,2,1,3,3,1,2,2,2,2,1,2,1,0,1,2,0,2,1,1,0,0,0,0,0
馬場一丁目,ババ1,男,1381,10,15,12,15,15,13,15,11,17,15,13,8,11,11,9,12,5,15,15,19,19,21,13,15,16,21,25,32,27,35,27,28,30,34,18,23,17,23,14,21,13,16,15,10,10,19,13,20,17,20,21,27,25,28,10,22,16,28,26,19,25,15,23,28,18,16,18,16,11,18,12,14,15,14,2,7,4,7,4,7,3,1,3,0,4,2,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0
馬場一丁目,ババ1,女,1274,6,9,14,14,11,11,8,8,6,11,7,10,12,12,9,14,12,12,8,12,15,20,16,18,17,17,22,27,25,27,27,23,24,25,17,15,24,16,18,11,13,12,16,10,17,10,8,18,12,11,20,20,27,17,16,12,20,26,31,26,24,14,25,28,26,17,12,14,11,18,12,14,15,9,7,9,8,4,6,5,6,4,5,4,3,3,7,4,1,2,0,2,2,0,1,0,0,0,0,0,0
馬場二丁目,ババ2,男,1446,15,10,16,10,18,14,15,7,12,21,16,14,9,8,12,8,16,13,18,15,15,24,29,30,27,23,26,28,36,21,29,31,24,25,29,22,34,19,23,21,18,18,20,17,24,18,19,14,17,18,26,25,29,29,11,17,21,15,24,14,21,18,20,19,15,18,14,16,13,9,13,7,14,5,13,6,10,3,5,3,3,3,3,3,2,4,2,2,2,1,0,1,0,0,0,0,0,0,1,0,0
