町名,フリガナ,性別,総数,0歳,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,10歳,11歳,12歳,13歳,14歳,15歳,16歳,17歳,18歳,19歳,20歳,21歳,22歳,23歳,24歳,25歳,26歳,27歳,28歳,29歳,30歳,31歳,32歳,33歳,34歳,35歳,36歳,37歳,38歳,39歳,40歳,41歳,42歳,43歳,44歳,45歳,46歳,47歳,48歳,49歳,50歳,51歳,52歳,53歳,54歳,55歳,56歳,57歳,58歳,59歳,60歳,61歳,62歳,63歳,64歳,65歳,66歳,67歳,68歳,69歳,70歳,71歳,72歳,73歳,74歳,75歳,76歳,77歳,78歳,79歳,80歳,81歳,82歳,83歳,84歳,85歳,86歳,87歳,88歳,89歳,90歳,91歳,92歳,93歳,94歳,95歳,96歳,97歳,98歳,99歳,100歳,101歳,102歳,103歳,104歳,105歳,106歳,107歳,108歳,109歳,110歳,111歳,112歳,113歳,114歳,115歳,116歳,117歳,118歳,119歳,120歳以上
都筑区合計,ツヅキク_ゴウケイ,男,106006,822,864,897,982,1034,1160,1117,1155,1163,1253,1253,1247,1184,1267,1281,1245,1251,1272,1385,1324,1288,1364,1409,1311,1168,1120,1104,1039,1015,1052,983,1013,1036,1067,1123,1210,1316,1330,1367,1391,1436,1507,1625,1617,1790,1810,1938,2093,1984,2012,2098,2178,2143,2140,1643,1993,1866,1707,1533,1441,1286,1244,1173,970,987,933,852,878,911,927,990,1092,1062,1014,598,584,703,706,723,689,574,464,495,442,416,369,314,245,215,200,137,103,84,71,41,40,26,11,9,3,6,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
都筑区合計,ツヅキク_ゴウケイ,女,107117,710,808,886,962,1001,1087,1103,1078,1085,1136,1161,1175,1205,1136,1135,1111,1210,1195,1222,1253,1323,1316,1261,1237,1219,1094,1115,998,1023,1069,1031,991,1037,1135,1133,1193,1254,1384,1403,1452,1557,1584,1648,1714,1734,1929,1973,2146,2172,2108,2077,2144,2043,2060,1597,1816,1679,1480,1383,1247,1142,1078,984,937,898,867,860,891,945,905,1015,1097,1116,1068,687,749,868,888,869,848,748,650,639,633,609,517,445,470,415,358,303,237,224,207,145,130,71,49,45,42,22,12,5,4,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
あゆみが丘,アユミガオカ,男,802,7,3,6,6,7,6,11,8,8,7,8,4,4,11,11,13,12,12,18,15,25,11,11,10,12,10,4,5,3,10,6,5,9,7,9,5,8,8,4,9,6,7,13,4,12,11,15,12,14,18,16,24,20,22,21,24,18,22,12,13,8,7,9,10,8,6,8,5,7,5,8,3,5,5,4,2,7,4,2,5,5,2,1,6,3,2,2,2,0,3,0,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
あゆみが丘,アユミガオカ,女,825,5,7,8,9,3,11,6,4,4,3,5,14,6,10,6,18,6,7,12,10,14,16,8,16,12,12,6,8,5,3,5,10,5,8,10,10,9,9,10,8,10,13,10,3,16,9,15,18,18,18,22,26,18,26,16,18,26,15,15,6,7,8,4,9,8,6,1,3,5,11,4,3,6,8,5,3,5,6,8,9,6,4,6,3,3,3,3,2,3,2,3,1,4,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
茅ケ崎中央,チガサキチュウオウ,男,2730,33,22,23,36,34,33,26,33,24,32,39,30,23,38,33,30,20,29,30,22,27,25,35,28,26,29,31,26,32,28,24,36,32,37,31,38,47,50,47,49,42,62,44,59,65,54,64,65,64,64,66,77,47,63,45,51,44,43,42,23,19,21,23,12,20,15,9,10,7,12,9,19,12,13,11,3,3,6,14,5,10,5,10,11,14,17,9,7,11,8,12,6,2,6,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
茅ケ崎中央,チガサキチュウオウ,女,3187,30,35,32,40,21,32,32,29,27,33,35,31,32,35,31,29,34,21,23,30,28,32,46,48,54,47,55,35,32,48,32,39,29,44,49,48,51,58,50,53,51,66,61,71,61,62,67,84,62,69,56,62,63,57,45,48,49,31,26,29,22,13,12,13,16,15,11,14,19,12,17,11,13,14,7,10,15,18,22,22,15,23,17,40,19,25,29,25,24,12,12,9,11,6,3,2,6,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
茅ケ崎町,チガサキチョウ,男,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
茅ケ崎町,チガサキチョウ,女,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
茅ケ崎東一丁目,チガサキヒガシ1,男,1415,4,2,6,12,5,12,7,16,11,13,10,19,12,13,20,17,17,21,27,27,22,34,28,26,28,22,18,14,12,10,12,7,3,7,7,6,3,6,17,6,12,10,7,13,9,17,21,19,14,19,26,29,40,35,32,41,54,42,52,43,33,33,38,22,16,17,16,12,13,8,8,15,11,13,7,7,7,6,7,5,4,2,4,1,5,2,3,1,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
茅ケ崎東一丁目,チガサキヒガシ1,女,1450,8,1,7,9,8,10,10,10,11,12,6,18,19,14,13,16,21,21,18,25,29,31,17,27,28,14,22,14,11,9,11,7,8,12,8,5,9,9,14,14,13,14,10,7,18,20,26,18,24,33,25,45,43,33,51,56,44,46,46,32,25,33,22,16,17,17,7,13,7,4,12,10,17,8,8,1,6,6,7,6,5,6,4,4,3,2,0,4,2,4,2,1,4,1,0,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
