町名,フリガナ,性別,総数,0歳,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,10歳,11歳,12歳,13歳,14歳,15歳,16歳,17歳,18歳,19歳,20歳,21歳,22歳,23歳,24歳,25歳,26歳,27歳,28歳,29歳,30歳,31歳,32歳,33歳,34歳,35歳,36歳,37歳,38歳,39歳,40歳,41歳,42歳,43歳,44歳,45歳,46歳,47歳,48歳,49歳,50歳,51歳,52歳,53歳,54歳,55歳,56歳,57歳,58歳,59歳,60歳,61歳,62歳,63歳,64歳,65歳,66歳,67歳,68歳,69歳,70歳,71歳,72歳,73歳,74歳,75歳,76歳,77歳,78歳,79歳,80歳,81歳,82歳,83歳,84歳,85歳,86歳,87歳,88歳,89歳,90歳,91歳,92歳,93歳,94歳,95歳,96歳,97歳,98歳,99歳,100歳以上
都筑区合計,ツヅキク_ゴウケイ,男,72449,1003,1067,1024,1022,1066,1025,1027,957,917,900,931,928,840,860,893,805,776,788,805,830,854,916,958,1013,1156,1236,1279,1340,1396,1604,1575,1631,1317,1631,1572,1489,1389,1398,1261,1305,1228,1060,1126,1009,1006,1016,1033,1135,1179,1267,1246,1203,705,751,884,834,900,898,810,645,711,687,656,601,538,482,437,418,361,341,307,291,249,219,172,157,132,137,99,93,95,74,87,76,59,53,56,41,22,20,20,12,6,6,3,6,1,2,1,0,2
都筑区合計,ツヅキク_ゴウケイ,女,68902,919,993,1041,1015,1013,942,883,927,930,826,855,805,799,857,766,798,727,779,784,782,771,781,872,890,1022,1168,1169,1254,1349,1528,1526,1630,1251,1533,1453,1341,1278,1194,1175,1086,959,1041,920,950,910,929,970,997,1029,1147,1144,1103,721,741,872,911,865,837,780,651,650,645,608,521,472,470,441,408,356,320,354,296,281,314,221,233,239,206,214,172,166,149,134,134,123,116,109,72,72,62,44,33,21,22,10,9,7,4,1,1,3
茅ケ崎中央,チガサキチュウオウ,男,241,10,6,6,6,4,3,3,5,0,1,0,0,1,0,0,1,1,2,1,1,0,1,2,2,6,3,13,13,5,9,20,15,16,8,8,11,11,8,2,2,4,1,1,3,1,2,1,0,4,0,2,4,0,1,0,0,2,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,2,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
茅ケ崎中央,チガサキチュウオウ,女,242,12,3,6,7,0,3,1,2,0,3,1,1,0,4,2,1,1,2,1,2,4,2,1,3,7,13,6,15,14,13,15,17,10,6,9,5,7,1,2,0,2,2,2,4,1,1,3,2,4,0,2,0,2,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,2,1,0,2,0,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
茅ケ崎町,チガサキチョウ,男,296,3,3,4,3,3,2,1,3,2,8,3,2,3,4,0,2,5,1,6,0,2,2,4,2,8,4,4,5,6,7,7,4,4,13,7,3,5,3,2,3,8,4,4,4,3,4,8,8,4,2,8,5,2,1,2,4,9,6,3,6,6,6,3,2,6,2,5,2,1,5,0,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
茅ケ崎町,チガサキチョウ,女,254,3,4,4,4,1,4,1,2,1,3,1,2,1,2,1,3,3,3,3,5,3,3,5,3,5,5,3,6,7,11,3,6,4,2,7,5,8,3,1,2,5,2,2,3,3,3,1,2,5,5,2,3,3,3,5,3,8,4,2,4,5,2,6,5,5,3,1,1,3,0,0,0,1,1,1,0,1,2,2,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
茅ケ崎東一丁目,チガサキヒガシ1,男,600,11,10,13,13,19,16,23,8,14,9,11,4,4,7,5,7,7,1,4,2,5,3,9,7,3,5,5,8,8,5,10,11,8,9,25,14,24,25,23,23,26,11,10,7,10,5,9,7,6,7,12,7,8,4,7,4,4,3,2,3,5,0,4,4,0,1,3,0,0,1,1,2,0,1,1,3,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
茅ケ崎東一丁目,チガサキヒガシ1,女,604,7,13,22,9,24,17,15,16,15,10,4,13,5,10,5,3,7,4,1,5,3,8,2,4,6,7,5,9,4,8,15,13,16,22,21,22,28,16,15,23,12,10,11,10,4,6,2,4,7,8,13,6,4,3,3,3,4,3,4,7,3,0,1,1,0,2,1,2,0,1,1,0,0,5,2,0,1,1,2,0,2,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
茅ケ崎東二丁目,チガサキヒガシ2,男,450,6,12,7,12,10,3,7,6,6,3,12,7,6,3,8,6,1,7,1,6,3,1,4,4,7,6,8,4,11,13,6,15,3,13,9,14,10,9,8,10,10,9,12,7,9,9,7,6,6,8,10,8,1,6,1,2,3,6,5,3,4,2,2,4,2,3,0,2,1,2,2,0,0,4,0,0,0,1,0,1,2,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
茅ケ崎東二丁目,チガサキヒガシ2,女,434,9,7,10,8,7,11,6,5,9,6,4,6,6,4,4,6,7,6,1,3,5,2,7,4,7,7,12,6,9,12,10,14,14,7,7,12,14,5,12,6,4,7,7,7,8,9,5,6,5,6,4,8,3,2,4,3,6,2,1,3,2,4,0,4,1,1,4,1,4,0,1,2,0,3,0,0,3,0,1,1,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
